BP10MB[0],BP10MB[1],BP10MB[2],BP10MB[3],BP10MB[4],BP10MB[5],BP10MB[>5],BPArm[0],BPArm[1],BPArm[2],BPArm[3],BPArm[4],BPArm[5],BPArm[6],BPArm[7],BPArm[8],BPArm[9],BPArm[10],BPArm[>10 & <=20],BPArm[>20 & <=30],BPArm[>30],CN[0],CN[1],CN[2],CN[3],CN[4],CN[>4 & <=8],CN[>8],CNCP[0],CNCP[1],CNCP[2],CNCP[3],CNCP[4],CNCP[>4 & <=8],CNCP[>8],OsCN[0],OsCN[1],OsCN[2],OsCN[3],OsCN[4],OsCN[>4 & <=10],OsCN[>10],SS[<=2],SS[>2 & <=3],SS[>3 & <=4],SS[>4 & <=5],SS[>5 & <=6],SS[>6 & <=7],SS[>7 & <=8],SS[>8],NC50[<=2],NC50[3],NC50[4],NC50[5],NC50[6],NC50[7],NC50[>7],BoChr[1],BoChr[2],BoChr[3],BoChr[4],BoChr[5],BoChr[6],BoChr[7],BoChr[8],BoChr[9],BoChr[10],BoChr[11],BoChr[12],BoChr[13],BoChr[14],BoChr[15],BoChr[16],BoChr[17],BoChr[18],BoChr[19],BoChr[20],BoChr[21],BoChr[22],BoChr[23],type
305,4,5,2,0,0,0,40,0,4,0,1,0,0,0,1,0,0,0,0,0,1,10,32,0,0,0,0,17,18,2,0,0,0,0,17,6,0,2,0,0,0,0,0,0,0,5,9,16,13,1,0,0,0,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1,0
295,10,5,1,3,2,6,33,1,7,0,1,0,0,0,0,0,1,5,0,0,2,53,71,2,0,0,0,12,104,0,0,0,0,0,13,4,1,3,0,1,4,0,1,9,31,26,16,33,12,0,1,0,0,0,0,0,0,11,2,13,6,0,10,6,1,0,0,1,1,1,2,0,0,0,0,0,1,0,1,0
304,9,7,1,0,0,1,40,3,1,1,2,0,0,0,0,0,0,1,0,0,2,15,28,4,7,6,0,15,23,13,0,2,0,0,21,5,3,0,1,1,0,0,0,0,2,14,10,25,11,1,0,0,0,0,0,0,2,0,0,3,0,4,1,1,15,2,0,0,0,0,0,2,1,0,0,0,0,0,1,0
313,3,6,0,0,0,0,42,0,4,2,0,0,0,0,0,0,0,0,0,0,1,12,24,2,0,0,0,18,15,0,0,0,0,0,19,5,1,0,0,0,0,0,0,0,2,4,3,17,13,0,1,0,0,0,0,0,1,0,1,1,2,0,0,1,0,2,4,0,0,0,0,0,1,0,0,0,0,0,1,0
286,7,17,2,0,1,3,29,2,8,0,1,0,3,0,0,0,0,3,0,0,0,13,41,27,6,16,1,9,49,17,11,3,1,0,32,13,2,2,2,0,0,0,0,2,13,29,19,30,11,0,1,0,0,0,0,0,12,1,3,1,0,5,1,6,1,0,0,0,1,13,1,0,2,13,0,0,0,1,2,0
285,10,12,3,3,0,3,28,2,8,3,2,0,1,0,0,0,0,1,1,0,0,19,39,17,11,18,0,6,51,19,10,1,0,0,22,15,5,0,0,2,0,0,0,5,8,26,19,37,9,1,0,0,0,0,0,0,25,2,1,3,3,11,1,2,2,1,0,2,1,0,0,1,5,0,3,0,1,0,1,0
235,29,31,7,4,5,5,19,2,6,1,7,0,1,2,1,1,1,3,1,1,5,99,104,14,2,2,0,3,190,12,0,1,0,0,13,18,3,4,0,2,4,0,0,6,19,71,62,63,5,0,0,1,0,0,0,0,11,37,1,10,5,9,2,5,5,2,2,2,3,1,1,0,11,1,1,2,0,1,10,0
278,20,12,4,0,0,2,30,3,5,0,3,0,2,0,0,1,0,2,0,0,3,32,54,5,0,0,0,8,64,7,0,0,0,0,18,8,1,2,0,1,2,0,4,5,4,14,22,33,12,0,1,0,0,0,0,0,0,1,8,0,6,2,1,1,1,1,0,8,2,0,0,1,2,3,0,0,2,0,1,0
311,4,4,1,2,0,0,38,4,3,0,2,1,0,0,0,0,0,0,0,0,2,9,30,5,1,0,0,14,20,3,0,0,0,0,19,5,0,2,0,0,0,0,0,0,4,7,6,15,15,0,1,0,0,0,0,0,4,1,1,0,0,1,2,1,0,0,1,0,1,1,0,0,2,0,0,0,0,0,1,0
316,5,1,0,0,0,0,45,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,25,0,1,1,0,20,3,2,2,0,0,0,21,3,0,0,0,0,0,0,0,0,0,2,1,13,15,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
