BP10MB[0],BP10MB[1],BP10MB[2],BP10MB[3],BP10MB[4],BP10MB[5],BP10MB[>5],BPArm[0],BPArm[1],BPArm[2],BPArm[3],BPArm[4],BPArm[5],BPArm[6],BPArm[7],BPArm[8],BPArm[9],BPArm[10],BPArm[>10 & <=20],BPArm[>20 & <=30],BPArm[>30],CN[0],CN[1],CN[2],CN[3],CN[4],CN[>4 & <=8],CN[>8],CNCP[0],CNCP[1],CNCP[2],CNCP[3],CNCP[4],CNCP[>4 & <=8],CNCP[>8],OsCN[0],OsCN[1],OsCN[2],OsCN[3],OsCN[4],OsCN[>4 & <=10],OsCN[>10],SS[<=2],SS[>2 & <=3],SS[>3 & <=4],SS[>4 & <=5],SS[>5 & <=6],SS[>6 & <=7],SS[>7 & <=8],SS[>8],NC50[<=2],NC50[3],NC50[4],NC50[5],NC50[6],NC50[7],NC50[>7],BoChr[1],BoChr[2],BoChr[3],BoChr[4],BoChr[5],BoChr[6],BoChr[7],BoChr[8],BoChr[9],BoChr[10],BoChr[11],BoChr[12],BoChr[13],BoChr[14],BoChr[15],BoChr[16],BoChr[17],BoChr[18],BoChr[19],BoChr[20],BoChr[21],BoChr[22],BoChr[23],type
287,17,17,1,0,0,0,23,10,8,3,3,1,0,0,0,0,0,0,0,0,2,12,32,27,5,0,0,5,50,4,0,0,0,0,13,10,2,0,2,1,0,0,0,1,6,14,9,37,11,0,0,0,0,0,1,0,1,1,2,1,1,3,4,2,1,4,4,1,3,2,4,2,1,1,1,1,1,1,3,0
278,6,14,8,4,1,5,34,0,4,1,0,0,0,1,0,0,0,5,1,0,2,63,70,2,0,0,0,15,114,0,0,0,0,0,15,5,0,0,0,2,3,0,1,7,12,35,38,31,13,1,0,0,0,0,0,0,22,6,0,0,0,1,1,0,14,1,15,0,0,0,0,2,0,1,0,0,0,1,3,0
314,0,0,1,0,0,1,45,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,27,0,0,0,0,22,9,0,0,0,0,0,22,0,0,0,0,1,0,0,0,0,0,6,2,8,16,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286,12,17,3,3,0,1,32,2,5,0,3,1,1,1,2,0,0,1,0,0,7,29,54,2,5,0,0,10,54,15,3,1,0,0,16,11,2,3,0,2,1,0,1,0,6,18,27,35,10,0,0,1,0,0,0,0,5,0,2,0,1,1,0,0,8,3,4,3,1,0,0,0,1,0,6,0,1,3,1,0
318,2,2,0,0,0,0,45,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,25,1,1,0,0,21,4,2,0,0,0,0,21,3,0,0,0,0,0,0,0,0,0,1,1,12,16,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
283,12,15,1,0,1,4,28,5,6,3,0,0,1,1,0,0,0,2,0,0,0,0,5,12,36,45,0,9,61,12,1,1,0,0,14,8,1,3,1,1,1,0,0,1,10,13,35,30,9,0,1,0,0,0,0,0,1,5,2,3,8,2,1,5,2,35,2,5,1,1,1,3,3,1,1,1,2,1,7,0
314,4,2,2,0,0,0,41,2,3,2,0,0,0,0,0,0,0,0,0,0,0,10,25,2,1,0,0,19,12,2,0,0,0,0,21,2,1,0,1,0,0,0,0,0,0,4,3,19,12,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,3,0,1,0,0,0,3,0,0,0,0,0,0,1,0
299,10,10,0,1,1,1,33,2,8,1,1,2,0,0,0,0,0,1,0,0,0,20,34,14,10,1,0,12,29,12,12,2,0,0,16,10,1,4,1,1,0,0,0,0,10,23,5,27,14,1,0,0,0,0,0,0,1,2,2,0,3,2,1,19,0,0,0,0,0,2,0,0,8,0,0,0,1,1,1,0
248,20,36,4,2,2,10,17,2,9,1,4,2,3,1,5,0,1,1,0,2,17,13,53,63,34,69,2,3,72,125,16,8,6,0,35,29,9,10,3,4,1,1,6,12,46,70,44,66,6,1,0,0,0,0,0,0,11,5,17,6,1,6,89,7,8,8,4,3,2,4,1,5,3,4,1,8,1,1,3,0
300,9,6,1,0,0,0,34,3,7,2,0,0,0,0,0,0,0,0,0,0,2,10,31,4,0,0,0,12,21,3,0,0,0,0,16,7,0,1,0,0,0,0,0,1,3,6,2,20,15,0,0,1,0,0,0,0,0,2,1,0,2,1,0,0,1,1,0,0,0,1,0,0,1,2,0,1,0,2,1,0
279,24,7,1,1,2,2,27,10,2,3,0,0,1,1,0,1,0,1,0,0,5,19,35,13,15,5,0,7,27,29,7,6,0,0,30,10,2,1,1,0,0,0,1,5,4,13,24,34,11,0,0,1,0,0,0,0,3,0,0,0,1,3,6,1,8,0,0,14,1,1,3,1,5,1,5,1,0,2,1,0
308,2,4,0,2,0,0,41,0,2,0,2,1,0,0,0,0,0,0,0,0,2,5,29,3,1,1,0,18,11,6,1,0,0,0,19,5,0,1,0,0,0,0,0,0,3,6,4,15,13,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,2,1,0
296,11,7,0,0,1,1,30,5,7,2,0,1,0,0,0,0,1,0,0,0,0,0,5,5,24,18,11,11,18,7,1,4,2,8,25,6,2,0,0,0,0,0,2,2,9,4,6,27,13,0,0,0,1,0,0,0,6,4,1,3,3,1,1,4,2,2,1,4,1,1,1,1,11,1,4,1,2,3,0,0
195,49,42,9,8,5,8,8,3,6,0,5,3,4,4,4,1,1,5,1,1,6,27,61,76,76,59,14,0,143,93,22,7,17,14,74,55,6,7,4,4,0,6,10,29,44,66,72,91,1,0,0,0,1,0,0,0,22,18,8,13,6,12,13,11,8,6,53,12,1,2,6,5,8,8,24,10,1,1,10,1
318,2,2,0,0,0,0,45,0,3,0,0,0,0,0,0,0,0,0,0,0,1,5,24,0,0,0,0,21,5,1,0,0,0,0,21,2,0,0,0,0,0,0,0,0,2,1,1,11,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0
300,19,3,0,0,0,0,36,6,5,1,0,0,0,0,0,0,0,0,0,0,0,7,4,12,19,7,0,8,12,12,1,0,0,0,17,5,0,0,0,0,0,0,0,0,1,4,5,30,9,0,0,0,0,0,1,0,2,3,2,1,2,2,3,1,4,2,1,1,3,1,2,3,3,1,1,1,1,1,3,0
299,12,8,1,1,0,1,34,2,7,1,3,0,0,0,0,0,1,0,0,0,1,7,35,15,7,0,0,11,38,3,0,0,0,0,13,12,1,1,0,1,0,0,0,0,4,11,12,26,12,1,0,0,0,0,0,0,0,1,13,0,0,1,0,2,2,1,1,0,0,2,0,0,1,1,0,1,0,2,1,0
314,2,0,0,0,0,0,45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,21,1,0,0,0,22,2,0,0,0,0,0,22,1,0,0,0,0,0,0,0,0,0,0,1,8,16,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
321,1,0,0,0,0,0,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22,0,0,0,0,23,1,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,1,0,8,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
308,6,2,0,0,0,0,40,3,2,1,0,0,0,0,0,0,0,0,0,0,0,5,22,4,1,0,1,18,7,1,0,0,0,2,19,3,0,0,0,0,0,0,0,0,0,3,3,11,16,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,2,3,0,0,0,1,0,1,0
312,3,1,0,0,0,0,42,3,1,0,0,0,0,0,0,0,0,0,0,0,0,3,22,3,0,0,0,19,4,1,0,0,0,0,22,1,0,0,0,0,0,0,0,0,1,0,0,14,13,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0
290,12,14,2,2,1,1,31,5,6,3,1,0,0,0,0,0,0,1,1,0,1,26,40,18,6,3,0,10,48,15,7,0,0,0,32,8,1,4,1,0,0,0,1,7,6,17,20,33,10,1,0,0,0,0,0,0,10,1,0,17,2,1,0,6,0,1,2,1,0,1,0,3,2,1,1,0,0,3,1,0
301,10,3,1,1,0,0,38,1,4,0,3,0,0,0,0,0,0,0,0,0,0,10,32,2,2,0,0,15,20,2,1,0,0,0,16,6,0,1,1,0,0,0,0,0,2,6,8,17,13,0,1,0,0,0,0,0,0,0,0,0,1,2,1,3,0,0,0,0,1,0,0,0,0,3,0,0,1,0,2,0
272,18,18,0,5,0,3,25,2,8,1,5,0,1,0,1,0,2,1,0,0,1,7,24,28,20,31,8,7,68,9,13,1,4,1,30,12,2,3,0,1,1,0,1,6,8,28,27,37,12,0,0,1,0,0,0,0,5,3,20,1,2,4,1,2,1,5,1,1,3,1,1,1,1,11,11,13,5,0,2,0
287,7,12,2,2,3,3,31,0,7,1,2,0,1,0,1,0,0,2,1,0,0,42,65,3,0,0,0,12,87,0,0,0,0,0,12,6,0,2,0,2,3,0,0,1,22,18,25,32,12,0,1,0,0,0,0,0,0,1,6,2,9,4,4,2,1,0,0,11,0,1,0,3,0,0,0,0,0,0,1,0
279,20,21,1,0,1,0,28,2,8,2,0,3,4,1,0,0,0,0,0,0,1,16,40,29,7,1,0,10,57,13,0,0,0,0,15,15,4,3,1,0,0,0,0,1,5,20,17,45,6,0,0,0,1,0,0,0,2,4,6,0,4,4,5,10,5,4,0,1,0,1,1,2,3,0,0,0,0,0,1,0
294,5,10,0,2,0,5,34,1,5,2,1,0,0,0,0,1,0,2,0,0,3,0,32,6,37,9,0,14,4,58,1,0,1,0,18,4,3,1,0,5,0,0,0,2,11,22,16,24,12,0,0,1,0,0,0,0,3,1,1,3,2,1,4,8,8,10,1,3,1,1,1,1,1,0,1,1,1,1,1,0
315,2,5,0,0,0,0,43,1,3,0,1,0,0,0,0,0,0,0,0,0,3,4,28,1,0,0,0,20,6,6,0,0,0,0,20,6,0,0,0,0,0,0,0,2,2,2,2,15,13,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
319,2,1,0,0,0,0,46,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,24,0,0,0,0,22,4,0,0,0,0,0,22,2,0,0,0,0,0,0,0,0,1,0,0,12,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
260,18,17,5,4,3,15,21,3,5,2,5,2,3,0,0,1,1,2,1,2,1,17,45,61,51,57,16,5,133,62,8,3,9,9,71,31,10,4,1,5,0,1,5,7,36,82,64,45,8,1,0,0,0,0,0,0,5,5,37,6,3,7,67,9,5,1,17,14,1,2,1,2,5,9,4,1,1,0,1,0
294,11,8,0,3,0,0,32,4,6,1,1,0,2,0,0,0,0,0,0,0,6,16,39,1,0,0,0,11,27,12,0,0,0,0,13,4,0,4,0,2,0,0,0,0,3,11,13,27,8,0,0,1,0,0,0,0,0,0,2,3,0,1,1,3,0,1,3,2,3,0,0,1,1,1,0,0,0,0,1,0
301,8,11,0,0,0,2,34,4,8,0,1,0,0,0,0,0,0,1,0,0,0,19,35,8,4,1,0,14,40,3,0,0,0,0,15,7,1,2,0,0,1,0,0,0,3,12,13,29,10,1,0,0,0,0,0,0,1,2,1,1,0,2,7,3,0,11,0,0,1,0,0,0,1,0,0,0,0,0,1,0
309,5,6,0,2,0,0,38,1,7,0,1,1,0,0,0,0,0,0,0,0,0,0,3,9,25,12,0,14,17,6,2,0,0,0,15,8,1,0,1,0,0,0,0,1,4,8,1,23,12,0,0,0,0,1,0,0,2,3,3,6,1,1,3,1,1,3,1,3,4,1,1,4,1,2,1,1,1,1,1,0
319,1,2,0,0,0,0,45,1,2,0,0,0,0,0,0,0,0,0,0,0,1,4,21,3,0,0,0,21,3,2,0,0,0,0,22,2,0,0,0,0,0,0,0,0,0,2,1,11,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0
311,4,1,0,0,0,0,43,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,24,0,0,0,0,20,6,0,0,0,0,0,20,3,0,0,0,0,0,0,0,0,0,0,5,11,13,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
