MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J
BP10MB[0]	0.7039713585376739	0.5119937846064567	0.017975122949716208	0.0013438339624320297	0.02798714536226317	0.007618881196059554	0.156233039367944	0.018631871052566303	0.13212685519478776	0.0847784466786834
BP10MB[1]	0.00024337072266576384	0.06773103871848435	0.043655415163375434	0.0017863203003798845	0.004482629107951652	0.0	0.0006377454366884195	0.00238161285960814	0.0049178379662726006	0.004783304051670712
BP10MB[2]	0.0	0.03197525798575953	0.04193755082786083	0.0012835316144355602	0.007470268898832728	0.004964324940810911	0.07061713184815886	0.0	0.03691331247158814	0.010647649246979174
BP10MB[3]	5.971254403956683e-09	0.001209277718444355	0.023228828981518745	0.0050952671730192375	0.006471959832124412	0.0003599278909678105	0.0019783803981127334	0.0008868841203366173	0.001946997005958906	0.0015066652639058138
BP10MB[4]	0.0	1.804845524020493e-05	0.01447968621738255	0.0022160553743015045	0.004170239876839332	0.006573778331876383	0.012217380513902754	1.0819057933986187e-05	0.004806653719861061	0.0025825326275707994
BP10MB[5]	1.5457550031072743e-08	0.0	0.0061608524713665245	0.0028417155594797805	0.002202742401859723	0.0015198447218062938	0.00021102097806698417	0.0011458640175987967	0.0006823762322717472	0.0021279597472999966
BP10MB[>5]	1.2418142787684605e-09	0.0	0.0001413377615972422	0.0069278970867952695	0.003959827907920044	0.020885231820866466	0.00023906722234222854	0.012492564013227821	0.0017882035823328123	0.010864345609475095
BPArm[0]	0.10063185356557369	0.02247081408277154	0.0010329912637881754	0.000375620869690532	0.0017062868449647794	0.0003157827528867055	0.006629090846981853	0.0009204721678731327	0.005212657157145124	0.002840316252243168
BPArm[1]	0.0015895324433222414	0.015147691508755088	2.0621946367200826e-05	1.9817670076605066e-06	9.706014714403466e-06	1.392104945097117e-07	5.8566176460317364e-06	0.0002455754444635172	0.00026613500151142946	0.0005594288886086929
BPArm[2]	0.002125518562970683	0.02238153544254601	0.0	1.698345630796183e-11	0.0005164135821566873	5.3436486346924996e-11	0.004477138994127275	6.821269125105722e-06	0.00440771403897088	0.0019528113984627192
BPArm[3]	4.2415068346457474e-08	0.009019626613007859	0.0009154933376642482	3.0996905115898697e-06	1.536179105924518e-05	2.1970248599245678e-06	0.0008124704899222479	3.5935885970577177e-05	0.0008429121402713324	0.0004883678669369829
BPArm[4]	1.489509031227243e-08	0.00799288134323433	0.00011969272273745446	3.125569855910726e-06	0.0009294926745678822	2.022884936252467e-05	0.006575815797322093	5.6542771950669947e-05	0.0034774228954008637	0.0011724735080402126
BPArm[5]	2.472009547616061e-08	0.0037442557304166258	0.002822750413324684	1.0568957804935053e-07	4.341761519312204e-05	1.4453873154707252e-06	0.001045425080738056	2.261771251966582e-05	0.0007182514104947302	0.0004054222615389794
BPArm[6]	2.8020185299793e-09	0.0025684300319699107	0.001275252835257561	6.518951168800414e-05	0.0008036515972025881	9.688148651560316e-05	0.0050308042381921325	2.1425336784437475e-05	0.002757293151807971	0.0007277780372637466
BPArm[7]	2.8190630887436897e-08	0.001324525917880237	0.0031813493906520307	0.00011463195682779315	0.00012755426507021832	2.566857772762887e-05	0.0008576052801757328	8.831567043663016e-05	0.000674871555941282	0.00041447628639133425
BPArm[8]	1.51123288505417e-08	0.0004503882036829765	0.00200444430927746	0.00025486170399371846	0.0010851882056476824	9.823324148783286e-05	0.003143776356233445	0.0	0.001557893205572327	0.000443130452713838
BPArm[9]	2.1831249332748825e-08	0.0001780515894279233	0.0022910435684025286	0.0003380944362288574	0.00036715088041091806	6.180705287988531e-05	0.0008828583388654465	2.1953695952561248e-05	0.0006202115481573855	0.0003229354157400621
BPArm[10]	2.1584824159148754e-08	5.9273911438140205e-05	0.0019698347465600817	7.434945871933606e-05	0.0006237281928360972	0.00015144047337116716	0.0020616792533743934	1.359863490506541e-06	0.0010748978896231165	0.00040132418680045986
BPArm[>10 & <=20]	1.4363066136446889e-09	0.0	0.011064512124285102	0.0012558964216600544	0.0015910600341364975	0.002022098929155618	0.004010559890884906	0.00020564191665187081	0.002534770484053297	0.0015018719534974486
BPArm[>20 & <=30]	2.6552169511973034e-08	0.0	0.0015714424767065793	0.0012032971658481983	0.00017210620697611035	0.002028311607427895	0.0001171061211732649	0.0005740233315373189	0.00022617054411398598	0.0009387035598791727
BPArm[>30]	6.57555022698375e-08	0.0	0.0	0.00022535999445175037	4.887004816391816e-06	0.00325211884352143	4.83252719277516e-06	0.002474082986591384	0.0001620111573598315	0.0007350755109706597
CN[0]	6.635850888514483e-07	5.797338073776359e-07	5.369237252736525e-05	1.7646950709604425e-08	0.005047130671552722	0.0	0.04772030386156985	4.997364806516783e-05	0.0028449442254851274	4.509770525487511e-05
CN[1]	0.0034419812401756643	0.00020563741525336354	0.0006302580187912099	3.434671903960407e-05	0.18144658654928209	0.0006913204831653275	0.023337822707837238	0.00011800035135820509	0.016556130687531555	0.0011771835223815862
CN[2]	0.04170581161975861	0.007087464904780063	0.0285547335119918	0.0002825486473739147	0.1841175129264593	0.06066916684620082	0.11413371719419957	0.001273434501513293	0.017831488585234184	0.027909256221901164
CN[3]	2.6775982697751586e-05	0.031120766578242184	0.10332131709903479	0.00025919594394509097	0.0	0.10050013581290841	0.0018926379175147978	0.0008125583933352231	0.03427558407607648	0.0623594299540855
CN[4]	4.387391394633511e-11	0.005976794392500437	0.014801601010790932	0.12762504134327174	0.0	0.022213110739830882	0.004789207472691909	0.004072286062542058	0.03320373367751017	0.034352760355668005
CN[>4 & <=8]	2.1582589315727317e-09	0.0	0.0006613674987484331	0.15987156227929517	0.0	0.0006344056692115175	0.0051787371361280065	0.06791190937161445	0.03928570982104802	0.008668767344243093
