MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J
BP10MB[0]	1.21E-03	2.64E-03	1.33E-03	3.01E-04	2.15E-03	7.73E-04	7.21E-03	9.31E-04	1.47E-02	1.15E-02
BP10MB[1]	3.05E-05	2.11E-03	1.14E-03	2.04E-04	4.67E-04	0.00E+00	2.27E-04	1.29E-04	2.12E-03	1.50E-03
BP10MB[2]	0.00E+00	1.67E-03	8.63E-04	2.58E-04	8.75E-04	7.93E-04	2.29E-03	0.00E+00	3.26E-03	2.50E-03
BP10MB[3]	1.06E-09	1.16E-04	2.83E-04	1.51E-04	1.36E-04	1.18E-04	1.46E-04	5.65E-05	4.98E-04	2.29E-04
BP10MB[4]	0.00E+00	1.80E-05	2.75E-04	1.11E-04	1.40E-04	3.16E-04	2.85E-04	1.08E-05	3.72E-04	4.11E-04
BP10MB[5]	5.75E-10	0.00E+00	9.94E-05	7.19E-05	5.17E-05	1.15E-04	3.34E-05	4.44E-05	1.50E-04	1.60E-04
BP10MB[>5]	6.32E-10	0.00E+00	8.18E-05	2.57E-04	1.52E-04	4.66E-04	1.69E-04	1.88E-04	3.67E-04	7.25E-04
BPArm[0]	1.73E-04	2.03E-04	6.29E-05	3.44E-05	1.07E-04	3.82E-05	2.58E-04	5.96E-05	5.84E-04	4.83E-04
BPArm[1]	2.64E-05	4.68E-04	6.10E-06	1.47E-06	2.74E-06	1.31E-07	5.84E-06	1.88E-05	2.23E-04	3.22E-04
BPArm[2]	3.46E-05	3.56E-04	0.00E+00	1.20E-11	6.66E-05	5.34E-11	3.84E-04	5.16E-06	8.89E-04	6.18E-04
BPArm[3]	2.64E-09	2.11E-04	6.25E-05	2.71E-06	6.98E-06	1.58E-06	3.91E-05	6.99E-06	1.65E-04	1.78E-04
BPArm[4]	1.42E-09	2.21E-04	2.06E-05	1.86E-06	8.66E-05	7.80E-06	3.29E-04	1.06E-05	5.33E-04	3.70E-04
BPArm[5]	1.20E-09	7.37E-05	6.48E-05	1.06E-07	1.27E-05	1.45E-06	4.39E-05	4.92E-06	1.22E-04	8.00E-05
BPArm[6]	4.47E-10	1.15E-04	4.90E-05	1.31E-05	6.11E-05	2.59E-05	1.68E-04	5.00E-06	2.34E-04	1.74E-04
BPArm[7]	1.16E-09	6.70E-05	4.90E-05	2.15E-05	3.03E-05	1.02E-05	3.95E-05	1.02E-05	1.00E-04	5.53E-05
BPArm[8]	7.29E-10	5.55E-05	3.67E-05	2.53E-05	5.90E-05	2.53E-05	9.76E-05	0.00E+00	1.23E-04	9.28E-05
BPArm[9]	8.36E-10	2.11E-05	3.29E-05	1.79E-05	2.23E-05	1.67E-05	2.99E-05	4.85E-06	5.43E-05	4.10E-05
BPArm[10]	7.08E-10	1.79E-05	2.80E-05	1.15E-05	3.22E-05	2.67E-05	6.00E-05	8.29E-07	7.43E-05	4.97E-05
BPArm[>10 & <=20]	4.26E-10	0.00E+00	9.94E-05	8.13E-05	7.99E-05	1.53E-04	1.57E-04	2.87E-05	2.45E-04	1.89E-04
BPArm[>20 & <=30]	1.20E-09	0.00E+00	1.03E-04	6.55E-05	2.24E-05	7.31E-05	2.30E-05	3.20E-05	5.70E-05	1.15E-04
BPArm[>30]	2.04E-09	0.00E+00	0.00E+00	2.31E-05	2.17E-06	7.85E-05	4.83E-06	3.45E-05	5.19E-05	9.41E-05
CN[0]	3.22E-07	5.49E-07	2.72E-05	1.56E-08	4.47E-04	0.00E+00	1.59E-03	1.82E-05	9.18E-04	2.93E-05
CN[1]	5.63E-05	1.21E-04	2.39E-04	2.12E-05	1.36E-03	2.66E-04	1.50E-03	5.45E-05	1.61E-03	4.63E-04
CN[2]	9.65E-04	8.77E-04	1.38E-03	2.83E-04	1.20E-03	1.88E-03	7.57E-03	2.64E-04	3.06E-03	7.81E-03
CN[3]	7.67E-06	1.36E-03	1.40E-03	1.95E-04	0.00E+00	1.89E-03	3.53E-04	2.31E-04	3.48E-03	3.33E-03
CN[4]	3.66E-11	5.06E-04	8.00E-04	1.82E-03	0.00E+00	8.37E-04	1.45E-03	3.88E-04	3.71E-03	2.30E-03
CN[>4 & <=8]	1.02E-09	0.00E+00	6.11E-04	2.49E-03	0.00E+00	6.28E-04	6.74E-04	9.42E-04	4.59E-03	2.37E-03
CN[>8]	2.73E-09	6.57E-09	2.21E-05	5.33E-05	1.20E-10	1.73E-08	1.06E-09	1.13E-03	1.50E-05	2.21E-04
CNCP[0]	8.38E-05	0.00E+00	4.84E-09	1.40E-47	0.00E+00	0.00E+00	2.81E-05	0.00E+00	1.58E-05	2.87E-09
CNCP[1]	0.00E+00	8.97E-04	2.22E-03	5.69E-04	1.52E-03	2.64E-03	2.71E-04	4.17E-47	7.16E-03	7.57E-03
CNCP[2]	2.50E-09	3.20E-04	3.89E-04	2.60E-03	7.24E-04	6.91E-04	4.97E-03	8.00E-04	3.74E-03	5.12E-03
CNCP[3]	1.85E-09	0.00E+00	6.66E-04	6.73E-04	2.28E-08	2.80E-47	1.99E-03	5.38E-04	4.10E-03	1.47E-03
CNCP[4]	3.47E-09	2.90E-09	2.92E-04	2.65E-04	0.00E+00	0.00E+00	8.71E-04	3.66E-04	1.98E-03	8.00E-04
CNCP[>4 & <=8]	4.32E-09	1.35E-09	3.21E-04	6.21E-05	0.00E+00	0.00E+00	8.68E-04	7.80E-04	2.18E-03	9.85E-04
CNCP[>8]	1.02E-07	7.45E-09	0.00E+00	0.00E+00	5.14E-09	4.37E-09	9.52E-09	5.75E-04	4.12E-06	1.11E-08
OsCN[0]	6.33E-04	1.19E-04	1.74E-03	1.58E-03	5.55E-04	8.26E-04	4.31E-03	9.73E-04	3.03E-03	6.44E-03
OsCN[1]	2.12E-05	8.68E-04	4.99E-04	3.22E-04	4.12E-04	5.70E-04	1.58E-03	3.96E-04	3.11E-03	1.16E-03
OsCN[2]	3.72E-10	1.58E-04	1.55E-04	1.38E-04	1.16E-04	1.23E-04	1.42E-04	7.53E-05	3.61E-04	2.72E-04
OsCN[3]	1.32E-10	1.25E-04	1.57E-04	1.28E-04	1.83E-04	1.08E-04	2.69E-04	1.29E-05	3.14E-04	2.81E-04
OsCN[4]	6.72E-10	2.37E-05	4.11E-05	3.93E-05	3.80E-05	6.93E-05	3.05E-05	1.40E-47	7.52E-05	1.09E-04
OsCN[>4 & <=10]	5.24E-10	6.82E-21	1.18E-04	4.78E-05	6.19E-05	1.88E-04	1.09E-04	0.00E+00	1.85E-04	3.23E-04
OsCN[>10]	1.12E-09	2.06E-10	2.24E-09	9.20E-10	2.88E-05	6.15E-05	1.30E-06	5.94E-10	1.49E-05	5.10E-05
SS[<=2]	3.53E-09	3.70E-06	0.00E+00	2.81E-05	3.70E-06	1.01E-04	6.00E-05	3.86E-05	1.99E-04	8.85E-05
SS[>2 & <=3]	3.43E-09	0.00E+00	2.11E-05	2.42E-05	1.42E-08	4.01E-04	8.16E-04	3.07E-04	1.84E-03	3.38E-04
SS[>3 & <=4]	2.61E-08	0.00E+00	9.97E-05	0.00E+00	1.35E-04	2.26E-03	3.46E-03	8.81E-04	7.40E-03	1.91E-03
SS[>4 & <=5]	0.00E+00	1.16E-04	0.00E+00	3.54E-04	8.45E-04	4.59E-03	1.32E-03	1.10E-03	6.08E-03	3.48E-03
SS[>5 & <=6]	7.74E-11	6.39E-23	4.74E-04	1.49E-03	1.17E-03	3.55E-03	1.92E-03	1.43E-03	1.96E-03	4.68E-03
SS[>6 & <=7]	0.00E+00	8.99E-05	1.53E-03	1.31E-03	1.34E-03	2.20E-03	1.44E-03	6.39E-04	3.69E-03	2.81E-03
SS[>7 & <=8]	1.07E-04	7.53E-04	6.74E-04	4.14E-04	9.97E-04	7.36E-04	2.35E-03	1.59E-04	4.11E-03	3.45E-03
SS[>8]	7.41E-05	1.20E-04	0.00E+00	2.04E-10	0.00E+00	6.25E-10	0.00E+00	7.68E-10	5.81E-05	7.41E-05
NC50[<=2]	4.89E-06	1.46E-11	0.00E+00	0.00E+00	6.97E-10	8.26E-07	0.00E+00	4.32E-06	8.60E-07	4.73E-07
NC50[3]	4.49E-06	8.21E-06	0.00E+00	5.71E-07	4.23E-06	1.01E-06	0.00E+00	4.84E-06	2.70E-08	5.80E-06
