Samples	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K
0009b464-b376-4fbc-8a56-da538269a02f	0	718	135	844	114	121	505	0	0	0	236
003819bc-c415-4e76-887c-931d60ed39e7	429	4	0	0	18	11	0	0	0	5	0
0040b1b6-b07a-4b6e-90ef-133523eaf412	194	32	223	0	81	53	51	0	0	0	25
00493087-9d9d-40ca-86d5-936f1b951c93	402	0	38	0	17	35	0	1	0	0	0
00508f2b-36bf-44fc-b66b-97e1f3e40bfa	306	68	79	0	28	310	50	0	17	0	0
005794f1-5a87-45b5-9811-83ddf6924568	440	0	0	0	1	33	1	2	0	9	0
005e85a3-3571-462d-8dc9-2babfc7ace21	380	16	19	0	59	48	0	0	0	0	0
007aab66-2f07-459d-8952-3041d6ea24a8	437	0	0	0	5	7	0	3	0	9	0
008aef39-0c97-48ce-9dfd-f12d67116c59	294	0	105	0	63	247	116	0	0	0	0
008bad10-d41b-4bbb-86fa-9976ecea46b1	267	46	87	20	141	143	0	0	0	19	0
00aa769d-622c-433e-8a8a-63fb5c41ea42	410	0	17	1	25	10	0	5	0	3	0
00b9d0e6-69dc-4345-bffd-ce32880c8eef	432	1	0	0	36	10	0	1	0	6	0
00bf0350-8c7c-4b9e-8143-13ea2dc1122f	420	20	12	0	27	42	6	0	0	0	0
00c27940-c623-11e3-bf01-24c6515278c0	335	0	112	44	25	62	0	0	0	32	1
00db1b95-8ca3-4cc4-bb46-6b8c8019a7c7	245	101	177	165	0	0	77	0	0	0	0
00db4dc2-3ec7-4ff9-9233-d69c8c8a607f	77	326	9	255	288	199	313	10	0	184	321
01658141-8398-4585-9f0f-8355dd9b0604	1	376	191	580	175	131	430	280	0	0	258
0168a2a6-c3af-4d58-a51c-d33f0fc7876d	387	0	59	3	26	38	0	4	0	0	0
0176cf1d-0760-4769-a493-277f4bb7585e	309	147	51	58	55	142	109	34	70	0	0
0192d529-7340-45d8-a5f0-249cbb11ca19	271	14	118	4	95	199	15	0	0	0	20
01b0848c-ae36-4ade-a3da-d297b003c99f	63	458	180	393	51	117	292	0	120	315	23
01c8e465-2b4e-4519-bdef-c3ac06b43eeb	387	0	50	0	30	42	0	0	6	0	6
01dc6872-c623-11e3-bf01-24c6515278c0	299	0	116	0	43	58	0	0	35	46	75
01df36af-3617-40fc-9892-f54ce433cf71	12	284	285	392	100	91	389	0	0	0	147
02078f77-2b35-4fa3-ab02-2c017181295e	435	2	0	0	11	5	0	1	0	7	0
020fab36-c7de-4933-b2bf-dc7b019a1326	191	218	122	388	0	21	127	241	90	0	320
0250e6f7-2538-4d1f-a8ff-ca34a7057dde	53	0	286	312	130	0	142	0	97	372	0
02706819-bcab-4c49-a569-a4a8c60db1c0	449	3	0	0	8	8	0	2	0	4	0
02917220-6a7a-46a1-8656-907e96bef88e	328	0	86	0	61	48	10	0	0	0	0
0292a46f-a282-4b7f-a7d6-ac55cc7324fb	433	0	0	0	11	5	0	1	0	14	0
02c6a893-49c5-49d1-8eb1-195021e70d52	313	1	120	20	50	48	20	4	9	12	6
02c97e2b-914e-4afc-bf50-78f0cfbfa67b	232	11	206	42	0	51	0	19	38	125	0
02e5c36f-5bec-45e2-a048-875653b85ca1	275	46	78	62	113	53	56	29	10	5	48
030695f6-c623-11e3-bf01-24c6515278c0	240	131	153	41	25	176	17	18	33	0	49
031962d6-fc7d-4c6c-9d47-ffa45997b249	453	9	0	0	0	8	0	2	1	0	14
0332b017-17d5-4083-8fc4-9d6f8fdbbbde	362	6	96	74	0	0	10	56	0	0	1
0363fe2c-d765-450e-8b1a-d13a23d9af2a	460	7	0	0	0	2	0	5	0	0	2
0385961e-ea99-40b2-ad79-6872bc30d8a1	415	5	0	0	37	11	11	0	0	0	0
03ad38a6-0902-4aaa-84a3-91ea88fa9883	396	1	11	5	59	22	7	0	0	17	0
03b5268e-881e-49e7-824f-170c3fc8b11b	277	0	198	80	0	0	16	43	0	0	17
03c3c692-8a86-4843-85ae-e045f0fa6f88	0	234	266	278	90	52	151	101	213	221	99
03c88506-d72e-4a44-a34e-a7f0564f1799	271	0	164	0	53	97	55	0	13	0	13
03ced0ce-186a-4349-8d98-572c2bc90382	0	321	242	544	210	0	222	59	70	20	23
03cff38d-7e29-4409-a508-749bddb1b3df	0	248	206	174	268	21	263	0	43	196	0
041e3b42-c623-11e3-bf01-24c6515278c0	232	19	149	82	83	83	41	4	43	0	31
04339769-517c-448d-a7ca-951f83608c60	319	15	92	0	33	101	63	74	0	0	0
0448206f-3ade-4087-b1a9-4fb2d14e1367	53	975	0	567	0	631	596	218	0	495	261
046d7386-95c8-4501-9e55-c85bec272a7a	67	115	254	14	123	496	67	0	0	0	51
047f9e4d-86b5-4943-aef5-68199bf29e8c	198	43	176	28	86	80	72	136	42	79	45
04aa6b77-8074-480c-872e-a1a47afa5314	89	32	301	89	120	16	139	0	72	0	25
04b570c2-3224-4e9b-81cc-089b4a7ff07a	436	0	2	0	29	17	0	2	0	0	0
04b9837e-9ab5-4eb9-9a9c-ef49e3a62662	254	0	234	69	0	0	0	0	0	0	11
04c09376-8756-41d9-bbca-f464170a8cfb	252	164	73	42	157	48	205	0	4	4	37
04db8bef-8777-48ac-bc2e-3c9acb103f48	390	4	63	12	0	0	9	0	0	0	11
05070acd-3ec1-44bb-9c32-26d3a483a72a	307	110	92	16	33	151	0	1	38	0	0
051cb117-16fd-459e-81e5-002eca2b7eea	420	4	31	0	0	0	0	0	0	0	26
