MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K
BP10MB[0]	1.43E-03	1.64E-03	5.72E-03	5.56E-04	1.29E-02	1.70E-03	4.92E-04	8.14E-04	3.70E-03	4.45E-03	3.39E-03
BP10MB[1]	3.23E-05	2.04E-03	2.68E-03	4.02E-04	6.09E-04	6.09E-04	4.98E-05	1.13E-04	2.33E-04	9.86E-04	4.24E-04
BP10MB[2]	0.00E+00	1.21E-03	1.81E-03	3.79E-04	2.53E-03	8.16E-04	4.20E-04	1.22E-05	1.97E-03	2.41E-03	4.56E-04
BP10MB[3]	9.12E-10	4.86E-04	1.97E-04	2.04E-04	1.19E-04	1.73E-04	5.74E-05	5.63E-05	2.30E-04	4.32E-04	1.73E-04
BP10MB[4]	1.82E-10	4.74E-04	0.00E+00	1.54E-04	5.10E-04	1.58E-04	3.25E-04	3.16E-06	4.37E-04	6.78E-04	3.89E-04
BP10MB[5]	7.01E-10	1.40E-04	0.00E+00	8.93E-05	2.37E-05	5.99E-05	8.62E-05	4.58E-05	1.04E-04	2.28E-04	1.43E-04
BP10MB[>5]	6.09E-10	2.05E-04	0.00E+00	3.09E-04	0.00E+00	1.51E-04	5.66E-04	1.94E-04	3.25E-04	7.64E-04	7.08E-04
BPArm[0]	2.12E-04	7.36E-05	4.39E-04	3.77E-05	5.93E-04	9.20E-05	2.21E-05	6.49E-05	1.72E-04	2.46E-04	1.68E-04
BPArm[1]	4.02E-05	1.43E-05	5.32E-04	1.79E-06	1.19E-04	6.57E-06	7.03E-06	1.98E-05	0.00E+00	8.49E-06	1.32E-05
BPArm[2]	4.58E-05	0.00E+00	5.88E-04	0.00E+00	1.04E-03	5.38E-05	0.00E+00	2.83E-06	1.13E-04	1.13E-04	1.98E-05
BPArm[3]	3.02E-09	1.11E-04	2.57E-04	7.49E-06	1.02E-04	1.63E-05	1.57E-06	6.25E-06	4.23E-05	5.80E-05	2.73E-05
BPArm[4]	1.43E-09	2.87E-05	2.68E-04	6.84E-06	4.62E-04	7.65E-05	5.27E-06	1.72E-05	1.91E-04	2.10E-04	2.32E-05
BPArm[5]	1.29E-09	1.23E-04	1.30E-04	1.81E-05	7.94E-05	3.22E-05	0.00E+00	3.97E-06	5.06E-05	6.22E-05	4.04E-05
BPArm[6]	7.30E-10	6.02E-05	1.31E-04	2.35E-05	1.88E-04	5.80E-05	1.17E-05	8.52E-06	1.36E-04	1.71E-04	2.58E-05
BPArm[7]	1.33E-09	8.95E-05	9.99E-05	3.32E-05	6.85E-05	2.88E-05	2.56E-06	1.03E-05	5.49E-05	5.20E-05	5.64E-05
BPArm[8]	8.79E-10	4.45E-05	3.79E-05	3.04E-05	1.16E-04	6.75E-05	1.20E-05	1.24E-06	9.92E-05	1.16E-04	2.85E-05
BPArm[9]	9.03E-10	4.36E-05	3.01E-05	2.30E-05	4.73E-05	2.36E-05	8.80E-06	4.77E-06	4.46E-05	5.55E-05	3.97E-05
BPArm[10]	9.38E-10	3.41E-05	5.87E-06	1.70E-05	7.88E-05	3.46E-05	1.35E-05	1.12E-06	7.38E-05	8.42E-05	2.86E-05
