Samples	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L
0009b464-b376-4fbc-8a56-da538269a02f	0	654	147	790	74	64	462	359	11	0	0	112
003819bc-c415-4e76-887c-931d60ed39e7	427	0	0	0	18	5	17	0	0	0	0	0
0040b1b6-b07a-4b6e-90ef-133523eaf412	187	13	226	0	80	41	83	25	0	0	0	4
00493087-9d9d-40ca-86d5-936f1b951c93	400	0	33	0	24	35	0	0	1	0	0	0
00508f2b-36bf-44fc-b66b-97e1f3e40bfa	309	79	43	0	70	301	0	55	0	0	0	1
005794f1-5a87-45b5-9811-83ddf6924568	436	0	0	0	3	26	19	0	2	0	0	0
005e85a3-3571-462d-8dc9-2babfc7ace21	381	16	8	0	69	48	0	0	0	0	0	0
007aab66-2f07-459d-8952-3041d6ea24a8	437	0	0	0	6	3	12	0	2	0	1	0
008aef39-0c97-48ce-9dfd-f12d67116c59	291	0	86	0	83	244	0	121	0	0	0	0
008bad10-d41b-4bbb-86fa-9976ecea46b1	268	50	72	8	134	138	0	0	0	0	53	0
00aa769d-622c-433e-8a8a-63fb5c41ea42	409	0	15	0	25	11	0	0	4	0	7	0
00b9d0e6-69dc-4345-bffd-ce32880c8eef	428	0	0	0	37	9	6	0	0	0	6	0
00bf0350-8c7c-4b9e-8143-13ea2dc1122f	417	15	7	0	34	39	15	0	0	0	0	0
00c27940-c623-11e3-bf01-24c6515278c0	333	3	104	41	32	64	0	0	1	0	29	4
00db1b95-8ca3-4cc4-bb46-6b8c8019a7c7	244	107	172	157	0	5	0	80	0	0	0	0
00db4dc2-3ec7-4ff9-9233-d69c8c8a607f	69	244	104	237	136	129	584	153	28	32	144	122
01658141-8398-4585-9f0f-8355dd9b0604	0	307	266	555	55	55	539	283	293	33	0	36
0168a2a6-c3af-4d58-a51c-d33f0fc7876d	385	0	51	2	35	37	0	0	4	0	1	2
0176cf1d-0760-4769-a493-277f4bb7585e	304	133	38	51	70	131	67	85	31	65	0	0
0192d529-7340-45d8-a5f0-249cbb11ca19	272	19	91	6	120	195	0	16	0	0	0	17
01b0848c-ae36-4ade-a3da-d297b003c99f	57	455	167	395	65	107	225	240	0	87	194	20
01c8e465-2b4e-4519-bdef-c3ac06b43eeb	387	0	38	0	43	41	0	1	0	5	0	6
01dc6872-c623-11e3-bf01-24c6515278c0	293	0	102	6	66	71	0	0	0	33	12	89
01df36af-3617-40fc-9892-f54ce433cf71	0	225	321	369	55	39	389	260	0	0	0	42
02078f77-2b35-4fa3-ab02-2c017181295e	433	0	0	0	11	1	15	0	0	0	1	0
020fab36-c7de-4933-b2bf-dc7b019a1326	190	226	113	369	0	44	0	166	230	73	0	307
0250e6f7-2538-4d1f-a8ff-ca34a7057dde	45	12	288	309	121	0	62	158	0	44	353	0
02706819-bcab-4c49-a569-a4a8c60db1c0	447	0	0	0	9	6	8	0	2	0	2	0
02917220-6a7a-46a1-8656-907e96bef88e	327	0	77	0	67	47	7	6	0	0	2	0
0292a46f-a282-4b7f-a7d6-ac55cc7324fb	431	0	0	0	11	0	16	0	0	0	6	0
02c6a893-49c5-49d1-8eb1-195021e70d52	311	0	112	19	56	44	26	11	4	10	8	2
02c97e2b-914e-4afc-bf50-78f0cfbfa67b	231	38	198	38	0	58	0	0	18	25	118	0
02e5c36f-5bec-45e2-a048-875653b85ca1	270	20	87	54	89	39	115	14	29	35	0	23
030695f6-c623-11e3-bf01-24c6515278c0	234	127	130	35	48	172	0	24	14	29	0	70
031962d6-fc7d-4c6c-9d47-ffa45997b249	452	10	0	0	0	11	0	0	2	2	1	9
0332b017-17d5-4083-8fc4-9d6f8fdbbbde	362	9	93	68	0	0	0	8	55	0	0	10
0363fe2c-d765-450e-8b1a-d13a23d9af2a	459	7	0	0	0	4	0	0	4	0	1	1
0385961e-ea99-40b2-ad79-6872bc30d8a1	410	0	0	0	34	4	31	0	0	0	0	0
03ad38a6-0902-4aaa-84a3-91ea88fa9883	394	0	6	4	59	19	19	0	0	0	17	0
03b5268e-881e-49e7-824f-170c3fc8b11b	276	0	194	77	1	0	0	25	41	0	0	17
03c3c692-8a86-4843-85ae-e045f0fa6f88	0	237	295	250	22	43	162	127	93	179	264	33
03c88506-d72e-4a44-a34e-a7f0564f1799	264	0	146	0	77	96	10	51	0	6	0	16
03ced0ce-186a-4349-8d98-572c2bc90382	0	287	244	517	174	0	185	144	57	96	7	0
03cff38d-7e29-4409-a508-749bddb1b3df	0	249	173	169	281	28	108	235	0	9	167	0
041e3b42-c623-11e3-bf01-24c6515278c0	229	5	144	75	82	70	77	14	5	50	0	16
04339769-517c-448d-a7ca-951f83608c60	316	14	86	0	39	98	17	56	71	0	0	0
0448206f-3ade-4087-b1a9-4fb2d14e1367	39	881	0	525	0	458	910	370	215	0	357	41
046d7386-95c8-4501-9e55-c85bec272a7a	71	133	200	19	172	485	0	74	2	0	0	31
047f9e4d-86b5-4943-aef5-68199bf29e8c	195	29	186	24	59	66	121	39	131	50	78	7
04aa6b77-8074-480c-872e-a1a47afa5314	78	3	293	80	126	3	117	97	0	78	0	8
04b570c2-3224-4e9b-81cc-089b4a7ff07a	434	0	0	0	30	18	0	0	1	0	3	0
04b9837e-9ab5-4eb9-9a9c-ef49e3a62662	250	0	236	66	0	1	0	3	0	0	1	11
04c09376-8756-41d9-bbca-f464170a8cfb	238	117	95	29	121	28	191	134	0	28	0	5
04db8bef-8777-48ac-bc2e-3c9acb103f48	386	0	66	11	0	0	15	4	1	0	0	6
05070acd-3ec1-44bb-9c32-26d3a483a72a	306	113	77	12	46	148	0	0	0	38	8	0
051cb117-16fd-459e-81e5-002eca2b7eea	421	6	32	0	0	0	0	4	1	0	0	17
052015bc-8c24-467c-8ff7-9e0dc4ad39fd	246	49	125	0	91	166	0	8	4	0	13	0
052665d1-ab75-4f40-be5a-b88154c8beed	0	110	376	296	19	63	370	248	324	0	0	54
05486349-24a4-4931-bf5f-c9fefe369af2	365	55	74	0	4	84	7	5	1	9	0	7
0554ffe5-31f7-43f5-8372-2b73c9cf3527	374	2	90	26	0	0	9	0	0	1	5	16
05616329-e7ba-4efd-87b1-d79cd0f7af3d	288	19	113	3	71	35	73	8	0	0	0	0
0567d3e6-6278-4d0a-81ae-c084d73c6dd3	439	0	0	0	2	1	8	0	1	0	4	0
05780d48-80e7-4d70-b00c-081f8a9519f2	326	24	26	1	117	55	18	15	0	1	0	10
05c487aa-72d8-42e6-aa2b-b9b5ce273f5c	444	0	0	0	4	8	4	0	1	0	3	0
05da3161-1444-4188-914d-19762de3a443	453	0	0	0	0	10	0	0	4	0	4	0
06018aae-1107-4899-bd24-14e6b1f94709	433	0	0	0	11	1	15	0	0	0	1	0
0609b182-0396-4755-b463-10f949c5b8bb	399	0	45	0	8	16	12	0	3	1	5	1
0624eb1d-3aff-4037-a3c5-fc363a9edd02	403	0	27	0	25	7	5	0	3	0	2	0
062e96d4-c623-11e3-bf01-24c6515278c0	276	53	113	9	52	99	8	4	17	39	33	35
063cfacf-9933-4a2d-8921-0aeb76e12779	419	10	0	0	28	23	9	0	0	0	0	0
0664753b-7566-41e0-8006-7009c6735406	2	202	134	0	278	85	624	48	0	0	0	0
068f4f69-d2fe-4f25-912e-ca7d4623efb6	380	0	41	0	42	37	28	5	0	0	8	3
06dad93a-4b67-49b3-8fa5-f2546e22bae7	206	110	117	73	112	92	66	53	48	35	42	13
06ecd127-6c24-422d-a7fb-bf5aee1b8b7b	297	59	88	29	68	77	0	18	0	3	41	5
072f4146-c623-11e3-bf01-24c6515278c0	420	0	13	3	29	13	0	0	2	1	8	0
074fd614-5d9c-4bcc-96ad-351aa14387e3	352	6	61	0	43	53	9	0	0	0	4	3
07531318-87e8-4db8-aa61-9b93597d063b	345	0	62	0	67	60	0	5	3	0	32	0
075fc96d-6742-4ef3-9369-482592ad3a2f	228	2	28	252	0	433	0	758	1607	0	415	35
07835447-5d7e-4828-80fd-89b063989c9a	322	12	82	33	46	88	25	7	19	17	19	1
079bcb09-a075-4313-9a3e-dd67734a8c5d	204	78	216	110	20	34	83	52	34	17	0	0
07a7c634-bd9a-4fc2-b9fe-87b060ec3d1f	411	0	0	0	30	77	6	32	1	0	0	0
07b5141f-ac79-439b-883b-b0183bbe7ff5	0	90	344	0	158	193	0	82	0	14	0	30
07d20658-3db4-47e7-877b-66536266edfc	219	34	159	0	90	146	0	23	0	17	27	11
07e0e938-f61f-477a-92a2-5b7e74b78943	163	11	158	22	206	37	54	105	0	3	3	20
07f16397-71bb-4594-ad4d-caa7d2baeabd	280	28	51	0	120	200	0	73	0	0	0	0
080ecc31-756a-4a1b-a51e-d632ac8219f7	207	180	156	439	25	49	0	249	101	78	0	0
08227616-02a5-46e8-9db1-f2d1d691ab23	33	187	301	266	117	0	0	97	117	61	29	9
0831e45e-c623-11e3-bf01-24c6515278c0	168	42	189	8	135	59	73	11	0	4	1	40
089be98d-c3c9-4fb4-aef2-7a8578a91d51	229	76	126	3	111	185	0	9	2	0	0	0
08ac57ec-0036-4134-a9bb-f22eaa27ab0d	230	76	135	0	97	220	59	11	8	0	0	0
08b5d0e4-4661-460e-a9f7-f2e687414711	310	0	80	96	19	0	0	0	0	0	196	0
08d2a566-8407-4e9b-836c-bf5e1e9f85b2	446	0	0	0	6	9	1	0	2	0	13	0
08e1d976-6c39-428e-a4c2-f655b675683e	403	0	0	0	63	13	0	0	0	6	23	0
08f7812b-0d74-42ba-985b-d0a027e8a80c	434	0	0	0	30	14	0	0	2	0	0	0
09497b9b-6fca-48cb-af97-161a3e434a51	24	345	17	1794	43	9	210	572	1448	93	431	137
09508a0d-ebe0-4fa1-b7b2-1710814181cd	0	799	0	3178	0	0	111	180	427	0	1486	24
09537dce-c797-4b60-962a-d4c3cd6ab00a	437	0	12	2	0	15	0	0	1	5	3	0
0972bfcf-c6c6-48cc-b820-cdfa6279a4f3	183	137	207	285	0	51	188	170	102	0	59	39
097a7d36-905b-72be-e050-11ac0d482c9a	303	31	123	0	17	121	0	0	0	0	0	0
0980e7fd-051d-45e9-9ca6-2baf073da4e8	364	0	60	0	51	26	4	18	0	0	0	0
09bc8542-4ea1-4599-91b3-d606425b37e2	116	292	174	336	9	154	220	99	118	96	66	160
09cb8bc5-13ac-44ac-9b7d-6de143373570	209	0	176	182	86	15	34	83	33	56	0	59
09e1fe3e-bfd8-4175-ac42-0e1bf0ba5523	119	10	140	0	215	353	75	18	0	0	0	3
0a6be23a-d5a0-4e95-ada2-a61b2b5d9485	286	0	98	0	76	75	0	0	0	0	48	0
0a9c9db0-c623-11e3-bf01-24c6515278c0	210	0	243	96	26	6	12	12	0	15	5	17
0ab4d782-9a50-48b9-96e4-6ce42b2ea034	298	26	96	3	85	85	3	10	0	0	0	13
0ae2193f-0d68-485a-b8c2-7568cbcce33e	377	18	36	0	24	21	32	1	0	0	37	0
0b19bee7-5281-4915-9d98-c20eb3e84ecf	99	165	248	16	110	274	0	47	0	10	18	0
0b29c893-03bf-4131-b192-c14a2788d411	318	0	151	75	0	0	0	34	0	0	0	1
0b6cd7df-6970-4d60-b7b5-85002a7d8781	438	0	6	0	19	7	6	0	2	1	7	0
0b811c6a-8f05-44bd-ac33-fb720d189e71	455	3	0	0	0	0	10	0	3	0	2	0
0ba8f2e2-935a-4123-86aa-6e7f5de85bf4	415	10	6	0	26	18	0	0	0	0	0	0
0bafd9ae-64b3-492d-a6fd-12aa8edefcbe	378	9	20	0	58	63	39	9	0	0	0	0
0bbc7ede-5022-4084-925c-d65baaf7abc2	86	85	266	202	91	95	14	45	205	6	122	66
0bd3a230-531e-44aa-9999-b8ed8da0176b	279	9	64	0	127	124	0	21	0	0	0	0
0be08326-c623-11e3-bf01-24c6515278c0	198	0	215	11	91	75	0	21	5	14	4	7
0bfd1043-5142-3662-e050-11ac0c486501	135	192	212	110	38	63	248	52	0	86	33	77
0bfd1043-70fb-d2dc-e050-11ac0c4860cb	164	187	190	83	25	83	178	60	0	48	106	0
0bfd1043-7343-fdd0-e050-11ac0c484cab	0	332	177	598	191	17	0	88	424	67	0	146
0bfd1043-7344-fdd0-e050-11ac0c484cab	0	1121	0	381	0	291	2095	164	0	0	0	0
0bfd1043-7346-fdd0-e050-11ac0c484cab	172	58	234	139	46	6	32	24	0	1	196	0
0bfd1043-7ebf-aaec-e050-11ac0c482f39	81	239	155	93	84	585	68	299	64	74	0	352
