MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L
BP10MB[0]	0.7086865895986557	0.023838972271466172	0.5104312719404698	0.0017157185318635406	0.3764362096041441	0.01865624323035672	0.02462020304657485	0.003251990548045393	0.02083497526211431	0.07710857516430733	0.04781201000502911	0.05671563072944991
BP10MB[1]	0.00015306717583015938	0.05255768099799752	0.08592410599812865	0.001360755896257615	0.0026509717551877906	0.007937650882522575	0.001020825994392004	0.00023389083158690483	0.0013836162901498072	0.0008619002142222598	0.0027517757249097487	0.00446673007147183
BP10MB[2]	0.0	0.04117858439683914	0.01448828074761117	0.0022408395355159884	0.08635589749304699	0.003769127632549498	0.010195255359285511	0.0010542567101947497	1.401298464324817e-47	0.046534360744990406	0.026175887643694294	0.0015971495631676963
BP10MB[3]	1.969698723014446e-09	0.02586078142747283	0.0017409110741573386	0.004501893103006296	0.0011694605318160855	0.006337401706259698	0.0029283425956769804	1.782662590656514e-05	0.0006779087673613399	0.0020748766545625164	0.0030469126054720164	0.0018575011484608713
BP10MB[4]	0.0	0.01313528251601383	0.0	0.0023400673167270724	0.005371611150330864	0.0037763815532764512	0.007909355169340415	0.003378649254300399	3.544753902588127e-05	0.010734504087595268	0.007252979089817018	0.00044522261142049046
BP10MB[5]	1.5794082032227763e-08	0.00611632261890918	0.0	0.0026591431422275493	5.372648211086073e-05	0.0021202140623063316	0.0029631288425910896	0.0005882797102822224	0.0011783802601712523	0.0010308447365917947	0.00091683341945199	0.0017524067338973931
BP10MB[>5]	1.329968560281891e-09	8.205633769989618e-05	0.0	0.0067793118301779035	0.0	0.003808318500543919	0.012728921696550653	0.01595026375085581	0.012921789092943073	0.0006147334277272875	0.003791989425482143	0.00937124425530783
BPArm[0]	0.10160376623272896	0.001292416350050369	0.023066281354986132	0.00022927357028494695	0.015179399027256296	0.0010954806961469485	0.0006471403994566012	0.000267091411092224	0.0010481187474215403	0.0034812868095468728	0.002273416906974391	0.002312912659656092
BPArm[1]	0.0014069326329627075	0.00010226068824522372	0.020414341278374194	2.802596928649634e-47	0.00029394395228187875	3.1698729126673555e-05	5.108348426485776e-09	3.570547783210643e-05	0.00013698200163517527	1.2070583034073933e-06	2.3194683364522462e-05	3.7486338738830226e-05
BPArm[2]	0.001980506806867197	0.0	0.019369213783647865	1.7240068928003893e-09	0.019172537062695484	0.00025098269394286277	2.4605170524178988e-05	1.2618141548159655e-06	1.0703214321923226e-05	0.00035842682317635874	0.0003641514905409782	7.170204807869474e-05
BPArm[3]	2.8297339181304614e-08	0.001477448609711718	0.01080733626615256	0.0	0.0017045161204937642	3.295803499854921e-05	4.100576391465438e-05	1.959036308564017e-05	1.0726290360878465e-05	0.0003618291836304621	0.0004329794872403148	0.00016525549046831234
BPArm[4]	7.873276609560164e-09	0.0002689068518201787	0.00561236178240506	3.08682695049356e-07	0.012249615319526015	0.0003897450609269182	0.00010112719959718993	5.965160671621561e-06	0.00013890704971196045	0.0022950804235837906	0.0018572610989872152	5.7678779466669994e-05
BPArm[5]	1.7269724410517995e-08	0.0034026784030720594	0.004073946021671873	3.4778833651216702e-06	0.001723087712821183	9.306212372986344e-05	6.623478495740187e-05	1.0095002653542906e-06	1.655303236475447e-05	0.00048405956092317125	0.0005913350418956043	0.00021465954705525891
BPArm[6]	3.980295332009498e-09	0.0013465354908566952	0.0013458971533970043	8.633308225309713e-05	0.006207279210109249	0.0005342377568326561	0.00029942828143134646	7.466500387153019e-05	4.931081241011294e-05	0.0032657434555585494	0.0018223190428784618	0.00014509149994796416
BPArm[7]	2.7491077387864492e-08	0.0035618621623143554	0.0013689783116569742	0.0001267295395336987	0.0012035591158200986	0.00011608106979801302	0.0002583263467257524	7.196853693585136e-06	6.263428503020085e-05	0.0006506632955385205	0.0005742938108414819	0.00031272428230959547
BPArm[8]	1.4423909955318948e-08	0.0020536518277367577	0.0001910703020373461	0.00018872871582630067	0.0030918628815607006	0.0007980907839047546	0.00030090912940490734	6.216379618816604e-05	2.5409091904293747e-06	0.0021089054674121145	0.0012755662122069112	0.0002480825526434671
BPArm[9]	2.0133162910163095e-08	0.0024907671695109457	0.0002519305295663798	0.0002600422092837107	0.0005432743557926755	0.00030316409297256544	0.0003867003373989064	4.392300794279436e-05	1.867132566303553e-05	0.0009237132953313771	0.000596424371937588	0.0001953764805608671
BPArm[10]	2.015649143594089e-08	0.0019333006185479461	1.431250562347941e-05	6.566423269099175e-05	0.0014209470484816222	0.0004963837832840343	0.00043695817937773997	7.826988904071186e-05	5.235381104284897e-07	0.0019107797677861526	0.0009014480282485238	9.668008904753833e-05
BPArm[>10 & <=20]	1.9784086810470393e-09	0.010875251907855273	0.0	0.0011068526960709936	0.001073565281694755	0.0015290142061681422	0.0034879136959937895	0.0010603866313977051	0.000167527673411314	0.005188175145885907	0.0029321991159671156	0.0007245416195459598
BPArm[>20 & <=30]	2.923782783881279e-08	0.0013976694096345455	0.0	0.0012102247006259858	2.1150423017388675e-05	0.00016944294597422526	0.001887812885995004	0.0009565711599498172	0.0006644418868222601	0.0003063056659607355	0.0004707520918421281	0.0005466693693563229
BPArm[>30]	6.119538841886652e-08	6.453160895034671e-06	0.0	0.00033834477112350215	0.0	9.677951661863915e-06	0.0015972715208085386	0.002407366693551012	0.0026657953462563455	0.0	0.000201146038252773	0.00036368574639034535
