MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L
BP10MB[0]	1.49E-03	2.40E-03	6.18E-03	3.46E-04	1.28E-02	1.93E-03	3.86E-03	7.75E-04	8.71E-04	3.87E-03	5.28E-03	3.41E-03
BP10MB[1]	3.13E-05	2.35E-03	2.96E-03	2.02E-04	1.18E-03	6.43E-04	3.60E-04	6.86E-05	1.24E-04	3.61E-04	3.99E-04	4.90E-04
BP10MB[2]	0.00E+00	1.40E-03	1.74E-03	3.42E-04	2.70E-03	8.52E-04	1.16E-03	2.94E-04	1.40E-47	1.97E-03	2.98E-03	6.09E-04
BP10MB[3]	7.21E-10	4.24E-04	2.20E-04	1.97E-04	1.94E-04	1.85E-04	3.66E-04	1.54E-05	5.92E-05	2.67E-04	2.62E-04	3.03E-04
BP10MB[4]	0.00E+00	4.79E-04	0.00E+00	1.43E-04	5.18E-04	1.84E-04	6.51E-04	3.20E-04	1.71E-05	4.41E-04	6.81E-04	1.28E-04
BP10MB[5]	6.40E-10	1.72E-04	0.00E+00	9.40E-05	2.23E-05	6.52E-05	2.12E-04	8.40E-05	5.59E-05	1.10E-04	1.51E-04	1.54E-04
BP10MB[>5]	4.75E-10	7.59E-05	0.00E+00	3.10E-04	0.00E+00	1.65E-04	8.86E-04	8.39E-04	2.27E-04	1.56E-04	6.38E-04	6.65E-04
BPArm[0]	2.45E-04	8.08E-05	5.38E-04	2.79E-05	5.85E-04	9.68E-05	1.01E-04	6.27E-05	6.79E-05	1.80E-04	2.33E-04	2.61E-04
BPArm[1]	4.12E-05	4.49E-05	5.79E-04	2.80E-47	1.85E-04	8.59E-06	2.95E-09	9.60E-06	1.90E-05	1.21E-06	1.14E-05	1.48E-05
BPArm[2]	5.31E-05	0.00E+00	6.30E-04	1.23E-09	1.01E-03	5.02E-05	1.28E-05	1.26E-06	5.35E-06	1.09E-04	1.36E-04	2.45E-05
