Samples	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M
0009b464-b376-4fbc-8a56-da538269a02f	0	818	524	259	807	0	26	14	96	0	0	0	129
003819bc-c415-4e76-887c-931d60ed39e7	430	0	4	3	5	0	6	0	0	19	0	0	0
0040b1b6-b07a-4b6e-90ef-133523eaf412	187	0	2	118	89	191	40	0	5	18	0	2	7
00493087-9d9d-40ca-86d5-936f1b951c93	398	0	0	18	0	34	33	0	0	10	0	0	0
00508f2b-36bf-44fc-b66b-97e1f3e40bfa	306	0	68	115	28	0	291	0	0	0	50	0	0
005794f1-5a87-45b5-9811-83ddf6924568	435	0	0	0	10	0	25	2	0	14	0	0	0
005e85a3-3571-462d-8dc9-2babfc7ace21	376	0	16	52	0	12	46	0	0	20	0	0	0
007aab66-2f07-459d-8952-3041d6ea24a8	436	0	0	0	3	1	4	2	0	15	0	0	0
008aef39-0c97-48ce-9dfd-f12d67116c59	284	0	0	99	5	61	257	0	0	0	113	0	6
008bad10-d41b-4bbb-86fa-9976ecea46b1	267	10	59	127	0	61	130	0	0	56	0	13	0
00aa769d-622c-433e-8a8a-63fb5c41ea42	404	0	0	10	0	25	9	4	0	19	0	0	0
00b9d0e6-69dc-4345-bffd-ce32880c8eef	427	0	1	20	0	7	10	0	0	21	0	0	0
00bf0350-8c7c-4b9e-8143-13ea2dc1122f	419	0	14	35	12	1	38	0	0	8	0	0	0
00c27940-c623-11e3-bf01-24c6515278c0	330	43	5	48	0	88	59	1	0	20	0	12	5
00db1b95-8ca3-4cc4-bb46-6b8c8019a7c7	240	152	95	69	50	116	0	0	0	0	43	0	0
00db4dc2-3ec7-4ff9-9233-d69c8c8a607f	81	225	230	191	513	24	124	24	48	170	34	228	90
01658141-8398-4585-9f0f-8355dd9b0604	0	536	227	235	615	107	76	281	102	0	28	195	20
0168a2a6-c3af-4d58-a51c-d33f0fc7876d	383	0	0	32	0	49	35	4	0	12	0	0	2
0176cf1d-0760-4769-a493-277f4bb7585e	305	51	119	109	83	0	137	30	60	0	79	2	0
0192d529-7340-45d8-a5f0-249cbb11ca19	273	5	13	140	25	60	187	0	0	15	0	7	11
01b0848c-ae36-4ade-a3da-d297b003c99f	58	386	425	95	312	125	85	0	112	132	150	101	31
01c8e465-2b4e-4519-bdef-c3ac06b43eeb	389	0	0	60	0	18	43	0	3	0	0	4	4
01dc6872-c623-11e3-bf01-24c6515278c0	289	7	0	63	3	99	63	0	26	28	0	20	74
01df36af-3617-40fc-9892-f54ce433cf71	0	397	146	279	561	153	26	5	0	0	57	24	52
02078f77-2b35-4fa3-ab02-2c017181295e	434	0	3	0	4	0	2	0	0	18	0	0	0
020fab36-c7de-4933-b2bf-dc7b019a1326	189	357	208	29	98	83	42	224	93	0	54	71	270
0250e6f7-2538-4d1f-a8ff-ca34a7057dde	35	345	0	115	118	294	0	6	71	196	139	31	42
02706819-bcab-4c49-a569-a4a8c60db1c0	447	0	5	0	0	0	6	1	0	15	0	0	0
02917220-6a7a-46a1-8656-907e96bef88e	323	0	0	56	9	78	44	0	0	23	0	0	0
0292a46f-a282-4b7f-a7d6-ac55cc7324fb	429	0	1	0	5	6	1	1	0	21	0	0	0
02c6a893-49c5-49d1-8eb1-195021e70d52	311	16	0	58	31	102	39	5	13	23	0	0	5
02c97e2b-914e-4afc-bf50-78f0cfbfa67b	222	46	48	0	0	206	43	20	30	75	0	34	0
02e5c36f-5bec-45e2-a048-875653b85ca1	273	52	14	97	106	71	35	31	36	37	0	3	20
030695f6-c623-11e3-bf01-24c6515278c0	234	38	123	79	20	99	169	13	32	0	0	0	76
031962d6-fc7d-4c6c-9d47-ffa45997b249	450	0	8	0	0	0	11	1	0	3	0	13	1
