MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M
BP10MB[0]	1.69E-03	9.48E-04	3.04E-03	1.02E-02	1.34E-03	8.58E-03	1.51E-03	6.98E-04	3.40E-03	6.21E-03	2.46E-03	3.99E-03	4.17E-03
BP10MB[1]	1.66E-05	2.30E-04	2.69E-03	8.90E-04	4.20E-04	2.78E-03	6.02E-04	1.09E-04	1.49E-03	2.90E-04	2.82E-04	1.02E-03	5.41E-04
BP10MB[2]	0.00E+00	6.86E-04	1.32E-03	1.80E-03	1.11E-03	9.80E-04	6.63E-04	2.58E-05	1.88E-03	2.78E-03	1.12E-03	1.11E-03	5.06E-04
BP10MB[3]	3.81E-10	2.29E-04	4.72E-04	1.55E-04	4.07E-04	2.43E-04	2.08E-04	6.12E-05	3.99E-04	2.23E-04	1.49E-04	3.66E-04	3.78E-04
BP10MB[4]	1.76E-10	1.93E-04	5.99E-04	3.23E-04	4.21E-04	0.00E+00	1.80E-04	3.78E-06	4.58E-04	6.54E-04	3.29E-04	3.47E-04	3.16E-04
BP10MB[5]	8.19E-10	1.19E-04	2.09E-04	1.93E-05	1.66E-04	0.00E+00	7.40E-05	5.57E-05	1.24E-04	6.98E-05	6.43E-05	1.78E-04	1.87E-04
BP10MB[>5]	8.35E-10	4.24E-04	2.41E-04	0.00E+00	6.31E-04	0.00E+00	1.91E-04	2.37E-04	2.41E-04	4.19E-04	8.06E-04	7.32E-04	6.74E-04
BPArm[0]	2.29E-04	4.23E-05	9.68E-05	5.33E-04	3.77E-05	8.04E-04	9.40E-05	6.68E-05	1.87E-04	2.48E-04	1.89E-04	1.17E-04	2.93E-04
BPArm[1]	5.30E-05	3.56E-07	4.39E-05	1.89E-04	1.16E-09	4.70E-04	1.18E-05	1.25E-05	4.68E-05	8.05E-10	9.32E-06	2.11E-05	6.67E-06
BPArm[2]	3.75E-05	6.20E-11	0.00E+00	7.82E-04	1.68E-10	6.18E-04	2.90E-05	9.41E-06	5.15E-05	1.80E-04	6.30E-10	2.32E-05	3.91E-05
BPArm[3]	2.10E-09	1.60E-27	2.00E-04	1.13E-04	1.89E-06	2.88E-04	1.23E-05	1.88E-06	1.22E-04	5.30E-05	1.92E-05	7.31E-05	3.14E-05
BPArm[4]	1.33E-09	2.85E-05	5.51E-05	3.41E-04	1.03E-05	1.84E-04	5.57E-05	2.08E-05	1.41E-04	2.62E-04	6.72E-05	5.96E-05	3.87E-05
BPArm[5]	1.86E-09	7.84E-06	1.86E-04	1.04E-04	3.47E-05	2.04E-04	3.01E-05	5.10E-06	1.07E-04	6.78E-05	2.91E-05	8.70E-05	3.81E-05
BPArm[6]	7.64E-10	3.94E-05	7.05E-05	1.58E-04	3.83E-05	8.57E-05	5.33E-05	1.08E-05	1.33E-04	2.05E-04	7.82E-05	8.21E-05	4.80E-05
BPArm[7]	1.57E-09	2.33E-05	1.14E-04	8.78E-05	4.20E-05	1.25E-04	2.56E-05	9.41E-06	8.89E-05	5.43E-05	2.43E-05	9.09E-05	5.15E-05
BPArm[8]	9.50E-10	3.15E-05	5.13E-05	1.04E-04	4.33E-05	1.63E-05	6.04E-05	2.15E-06	9.38E-05	1.42E-04	4.84E-05	5.79E-05	2.87E-05
BPArm[9]	1.14E-09	2.06E-05	5.38E-05	4.67E-05	4.64E-05	4.34E-05	2.75E-05	3.44E-06	5.22E-05	5.27E-05	3.70E-05	6.26E-05	3.05E-05
BPArm[10]	1.05E-09	1.61E-05	5.17E-05	7.53E-05	4.82E-05	1.13E-05	3.69E-05	3.33E-07	7.70E-05	1.04E-04	3.25E-05	4.51E-05	2.50E-05
BPArm[>10 & <=20]	8.46E-10	1.20E-04	3.55E-04	9.20E-05	2.79E-04	0.00E+00	9.75E-05	2.95E-05	2.47E-04	2.57E-04	1.17E-04	1.67E-04	1.71E-04
