Samples	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N
0009b464-b376-4fbc-8a56-da538269a02f	0	614	814	191	41	595	0	220	0	0	54	25	18	101
003819bc-c415-4e76-887c-931d60ed39e7	427	0	0	11	0	15	6	0	0	8	0	0	0	0
0040b1b6-b07a-4b6e-90ef-133523eaf412	177	5	0	104	205	90	36	6	0	3	9	10	8	6
00493087-9d9d-40ca-86d5-936f1b951c93	397	0	0	27	26	2	34	0	1	4	0	0	2	0
00508f2b-36bf-44fc-b66b-97e1f3e40bfa	304	83	0	105	0	13	271	51	0	0	0	10	21	0
005794f1-5a87-45b5-9811-83ddf6924568	434	0	0	0	0	19	24	0	3	6	0	0	0	0
005e85a3-3571-462d-8dc9-2babfc7ace21	379	14	0	63	3	5	45	0	0	13	0	0	0	0
007aab66-2f07-459d-8952-3041d6ea24a8	432	0	0	1	0	10	5	0	3	7	0	0	0	3
008aef39-0c97-48ce-9dfd-f12d67116c59	278	0	0	108	64	1	235	127	0	0	0	0	0	12
008bad10-d41b-4bbb-86fa-9976ecea46b1	271	56	5	131	55	8	126	0	0	59	0	0	12	0
00aa769d-622c-433e-8a8a-63fb5c41ea42	405	0	0	22	14	0	13	0	5	12	0	0	0	0
00b9d0e6-69dc-4345-bffd-ce32880c8eef	425	0	0	29	0	5	11	0	1	13	0	2	0	0
00bf0350-8c7c-4b9e-8143-13ea2dc1122f	417	11	0	40	0	21	35	0	1	2	0	0	0	0
00c27940-c623-11e3-bf01-24c6515278c0	328	5	36	45	89	4	57	0	3	28	0	11	2	3
00db1b95-8ca3-4cc4-bb46-6b8c8019a7c7	233	112	153	50	135	0	7	73	0	0	0	0	0	2
00db4dc2-3ec7-4ff9-9233-d69c8c8a607f	66	227	240	146	85	518	102	87	15	121	44	107	153	71
01658141-8398-4585-9f0f-8355dd9b0604	0	288	595	143	184	528	22	197	219	0	72	0	162	12
0168a2a6-c3af-4d58-a51c-d33f0fc7876d	380	0	1	38	44	0	37	0	5	8	0	0	0	4
0176cf1d-0760-4769-a493-277f4bb7585e	301	117	35	91	6	79	123	55	30	0	58	80	0	0
