MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N
BP10MB[0]	0.714473444223404	0.035132488735253	0.0008096705197345104	0.42607812911272047	0.5364269877970219	0.00600260593014829	0.014830279718260642	0.005967070348684498	0.022762376465834677	0.05017024337194024	0.0607141223642979	0.037454560585314954	0.05479715819442444	0.07163633473954663
BP10MB[1]	8.743700974029877e-05	0.05977488427422941	0.0011943601407397861	0.003772324943947751	0.09078490260289981	0.0004702504345914778	0.00849725260536161	0.002560539950155124	0.0012381910278535144	0.0015337650446700835	0.0008814737209468149	0.002163523721621914	0.002710732362883932	0.0030339397568824
BP10MB[2]	0.0	0.04466168052516878	0.0017120740620926377	0.09495759956538677	0.005397773893106432	0.009132549745991127	0.0011255974315888294	0.0008385930500662653	1.401298464324817e-47	0.03814213504549116	0.04623524204362184	0.008028164762435407	0.002689276120508911	0.0012493167194770648
BP10MB[3]	8.300235787572774e-10	0.02763033553957939	0.004488633982255123	0.0007643826194291137	0.001690393207991292	0.0031050250614045893	0.005922118940507062	0.0003361847972701071	0.0007127627937234137	0.0038666904207667586	0.002591791364749024	0.0021241364323105073	0.001844851328801127	0.0006726124876394124
BP10MB[4]	1.4396376979419757e-10	0.012525020008906722	0.0019654294635256518	0.0033799531289150763	0.0	0.010728305767988786	0.0030890482832950285	0.002224026352968482	2.291692464496009e-05	0.01286603696149541	0.012078382063191385	0.0013598611197301125	0.00039603679197541597	0.0003054328253188032
BP10MB[5]	1.3739706312132505e-08	0.005869489414617419	0.002939874477988269	0.0001553445402532816	0.0	0.0037861526983050454	0.0019645589871652193	0.00043297811804222876	0.0012503344019933137	0.0009006214954565906	0.0015101674377365271	0.00040424244280790945	0.0010996002421931905	0.0014930132672073269
BP10MB[>5]	1.3452186917173314e-09	0.0	0.008751537388889119	3.840810852125287e-05	0.0	0.017504464068242208	0.0033045090547761903	0.012761703929863871	0.013774861707352102	0.0020060086156127	0.0007639806399531899	0.0013596650289164813	0.004172022101368924	0.009126816437928937
BPArm[0]	0.10252722352743149	0.0015691933656896773	0.00017485233240850502	0.016652791587403043	0.026074374178424477	0.0004348578683892118	0.0010686412519261114	0.0003513762249258434	0.0011344841514983272	0.003260010635567596	0.0028869751514866947	0.0016304614467088996	0.00043280464742565536	0.0034214639477764485
BPArm[1]	0.0010676171747570607	0.00017875423088121068	1.5156212396227887e-12	0.00021280379096367597	0.02404156409204006	1.7876001745520399e-09	2.111533132158172e-05	0.00016146937947476793	6.0904595664525996e-05	2.2874719007859312e-10	2.245636778752669e-09	1.27345719569405e-06	2.601682518641457e-06	1.2413958639569955e-05
BPArm[2]	0.0019533897831570356	1.401298464324817e-47	5.815575310208487e-10	0.022922618392622097	0.019560786343645303	3.433222062199093e-10	0.00011050329325375863	2.703183085043026e-05	2.1813708970359612e-05	0.00034414756118925636	0.00014851842541247607	6.842498123660335e-10	1.2687188662567906e-05	0.00040365146853115874
BPArm[3]	1.971277734824639e-08	0.0019092754724260885	0.0	0.0019934906550696497	0.011510430563939736	9.570178650464278e-07	3.718928240557418e-05	0.00018574936855722868	9.54433398029142e-06	0.0005443534895810842	0.00037379700279416284	9.174711086531672e-05	7.7505740552572e-05	0.0001232226213518218
BPArm[4]	7.548118258204895e-09	0.00041409375990042463	3.531398906488903e-06	0.014777452360559096	0.00417837684508413	2.5566925724120893e-05	0.00011784461712842642	9.0049107093364e-05	0.00023624076419082485	0.0024399628238733584	0.001755433777871076	0.00013017461028938076	0.00019651592361583426	0.00015964790152183994
BPArm[5]	2.1664806897480486e-08	0.0038630240631755443	7.436484884237871e-07	0.0022358500555856153	0.003629681277088821	1.108035122712181e-06	5.2750535441270506e-05	0.00010742424405379758	2.0194923627059326e-05	0.0006084292135410507	0.0003481476252090943	0.00020254923623829745	0.0005304629836348341	0.0002411376689921345
BPArm[6]	4.374769850684635e-09	0.0015965662329108453	7.568307204904825e-05	0.007061356223839397	0.0005915451785412985	0.0001344956476984116	0.0002851436985503142	0.00011299246834823861	3.590397835296244e-05	0.002600435720150358	0.003103918069973588	0.000476453975310136	0.0004569383957095982	0.00013377174556271696
BPArm[7]	2.803192819866851e-08	0.003915677821496501	0.00010082402085117792	0.0013502149800631003	0.0010915228302474133	0.00010853093251435464	0.00010220070568482064	0.00012710070873548585	5.131488588631328e-05	0.00046011098208932567	0.0005719820131769283	0.0004400854641329488	0.0009183939592492152	0.00016154726477359381
BPArm[8]	1.39384753907763e-08	0.0022259529438451863	0.0001093266933820994	0.0033378517744696978	5.841336576850154e-05	0.00022626651999193114	0.00045726545079332936	6.524269278088468e-05	2.4123607727233322e-06	0.0019026947604027101	0.0021345824042509776	0.00022122304416101192	0.00013439833875466433	0.0002682034960321291
BPArm[9]	1.655567706704275e-08	0.002683211477706209	0.00017214732501770415	0.00048240294697563966	0.00016910831067434628	0.0003095982792112295	0.00021601999361135605	0.00010321462695173977	4.131353380216751e-06	0.0007779701140589168	0.0009933944622753188	0.0005193961772715738	0.0005051611043921867	0.0001478669979121605
BPArm[10]	2.0142931969058252e-08	0.0019691479625180363	1.40073426294407e-05	0.0013705990275994396	3.088733812344202e-06	0.00044990959360717396	0.0003259129050632481	5.946846542883577e-05	2.9802367862430404e-08	0.0012723205051878494	0.0021217296029863064	9.945411150461326e-05	0.00023691728276048707	8.900453620478643e-05
BPArm[>10 & <=20]	2.7513364256326333e-09	0.011027448158711196	0.0011481305334544345	0.00012642423767829315	0.0	0.004361142555590508	0.0013283986487242316	0.0010563172706315527	0.00011873666958152285	0.004444613472085166	0.006147445822134614	0.0002746110186338769	0.0006991930356902465	0.0006043979294554447
BPArm[>20 & <=30]	3.2740159747746136e-08	0.001301462308038026	0.0015014710478277492	7.33286258764565e-06	0.0	0.0025080681872901777	0.00011069110871460453	0.0005700909297385514	0.0007360790709208232	0.0004885210631845638	0.0004257128281824407	9.103144006610789e-05	0.00018030501154453206	0.0003625365876399656
BPArm[>30]	6.465613349604383e-08	0.0	0.000707183774909943	0.0	0.0	0.0023080335272049977	1.669278589052414e-05	0.0016212738439207897	0.0027757098770234733	7.675482987352212e-05	3.04472167044878e-06	0.00016491810752341962	0.00012594936502694054	0.0002246568177736208
CN[0]	3.3287188595920725e-06	0.00010110083886797128	0.0	0.0018989707304226141	1.7109845389384757e-08	2.732519703840808e-09	0.0032387799386066262	1.2003076335987185e-06	2.0504212034921925e-08	0.0728758259498568	0.009741357908942235	7.010546637566892e-08	0.0	0.0005174531946559569
CN[1]	0.00266957582140531	0.001323349970043637	0.0	0.0005863307497929782	0.00014940048245648543	0.0002658251998946071	0.2361362312734127	0.002472633996366085	0.0	0.02773498405818831	0.028087393222376703	0.0006208730582147837	0.00041501970496028663	0.0009776881686411798
