MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N
BP10MB[0]	2.04E-03	3.56E-03	2.07E-04	9.60E-03	7.41E-03	2.74E-03	1.20E-03	3.73E-03	7.24E-04	4.49E-03	3.17E-03	4.14E-03	3.60E-03	4.21E-03
BP10MB[1]	2.89E-05	2.78E-03	1.97E-04	1.17E-03	2.93E-03	2.10E-04	6.08E-04	1.77E-03	1.22E-04	2.51E-04	3.42E-04	4.67E-04	5.11E-04	3.59E-04
BP10MB[2]	0.00E+00	1.09E-03	3.38E-04	2.46E-03	1.20E-03	9.87E-04	5.42E-04	2.17E-04	1.40E-47	2.31E-03	1.66E-03	1.11E-03	5.98E-04	9.60E-04
BP10MB[3]	4.49E-10	4.47E-04	2.02E-04	1.48E-04	1.81E-04	3.65E-04	2.12E-04	1.43E-04	6.24E-05	2.57E-04	3.13E-04	3.27E-04	3.02E-04	1.50E-04
BP10MB[4]	1.24E-10	6.12E-04	1.66E-04	3.07E-04	0.00E+00	5.37E-04	2.05E-04	2.75E-04	1.92E-05	4.83E-04	4.18E-04	3.07E-04	1.22E-04	1.82E-04
BP10MB[5]	8.25E-10	2.12E-04	1.33E-04	9.66E-05	0.00E+00	2.05E-04	7.79E-05	1.06E-04	5.82E-05	1.38E-04	1.38E-04	1.10E-04	1.33E-04	1.36E-04
BP10MB[>5]	5.76E-10	0.00E+00	4.10E-04	3.84E-05	0.00E+00	8.37E-04	1.85E-04	9.05E-04	2.43E-04	4.55E-04	1.27E-04	4.40E-04	5.21E-04	6.09E-04
BPArm[0]	2.64E-04	1.22E-04	2.47E-05	4.83E-04	7.89E-04	6.42E-05	9.80E-05	1.29E-04	6.12E-05	2.24E-04	1.66E-04	2.04E-04	1.01E-04	3.08E-04
BPArm[1]	5.09E-05	8.61E-05	1.52E-12	1.55E-04	4.72E-04	8.07E-10	8.24E-06	1.33E-04	1.33E-05	1.61E-10	2.25E-09	1.27E-06	2.59E-06	6.28E-06
BPArm[2]	6.02E-05	1.40E-47	3.47E-10	7.54E-04	5.78E-04	2.55E-10	2.08E-05	2.70E-05	6.49E-06	1.30E-04	6.04E-05	5.19E-10	7.31E-06	2.24E-04
BPArm[3]	2.29E-09	2.28E-04	0.00E+00	1.33E-04	2.99E-04	4.78E-07	1.30E-05	1.73E-04	4.05E-06	5.95E-05	4.86E-05	4.41E-05	2.00E-05	3.34E-05
BPArm[4]	1.58E-09	6.94E-05	2.09E-06	3.95E-04	2.29E-04	1.06E-05	5.18E-05	7.52E-05	2.07E-05	2.32E-04	1.35E-04	4.43E-05	4.32E-05	8.51E-05
BPArm[5]	1.76E-09	1.71E-04	7.44E-07	1.07E-04	1.94E-04	1.10E-06	1.38E-05	9.09E-05	5.60E-06	6.47E-05	4.09E-05	4.76E-05	6.03E-05	4.91E-05
BPArm[6]	7.50E-10	5.78E-05	1.75E-05	1.90E-04	9.38E-05	3.19E-05	4.60E-05	3.84E-05	7.38E-06	1.65E-04	1.07E-04	7.49E-05	7.23E-05	7.48E-05
