Samples	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O
0009b464-b376-4fbc-8a56-da538269a02f	0	237	516	752	800	0	21	4	0	125	0	16	50	42	110
003819bc-c415-4e76-887c-931d60ed39e7	419	6	2	1	0	1	4	0	0	0	34	0	0	0	0
0040b1b6-b07a-4b6e-90ef-133523eaf412	176	112	0	85	0	189	35	0	7	8	25	0	4	12	6
00493087-9d9d-40ca-86d5-936f1b951c93	389	18	0	0	0	35	29	0	0	0	22	0	0	0	0
00508f2b-36bf-44fc-b66b-97e1f3e40bfa	300	103	70	48	0	0	264	0	0	0	0	13	0	60	0
005794f1-5a87-45b5-9811-83ddf6924568	428	0	0	8	0	0	20	0	0	0	30	0	0	0	0
005e85a3-3571-462d-8dc9-2babfc7ace21	370	52	15	0	0	13	40	0	6	0	26	0	0	0	0
007aab66-2f07-459d-8952-3041d6ea24a8	428	0	0	0	0	1	1	0	0	0	30	0	0	0	1
008aef39-0c97-48ce-9dfd-f12d67116c59	269	101	0	20	0	71	229	0	0	0	15	109	0	0	11
008bad10-d41b-4bbb-86fa-9976ecea46b1	266	122	61	3	0	56	118	0	55	0	32	0	5	5	0
00aa769d-622c-433e-8a8a-63fb5c41ea42	397	11	0	0	0	24	7	2	4	0	26	0	0	0	0
00b9d0e6-69dc-4345-bffd-ce32880c8eef	419	21	0	0	0	6	6	0	3	0	31	0	0	0	0
00bf0350-8c7c-4b9e-8143-13ea2dc1122f	413	34	14	11	0	1	32	0	0	0	22	0	0	0	0
00c27940-c623-11e3-bf01-24c6515278c0	328	44	7	6	32	85	53	4	30	0	10	0	10	0	2
00db1b95-8ca3-4cc4-bb46-6b8c8019a7c7	234	68	102	38	155	114	0	0	0	0	0	45	0	0	9
00db4dc2-3ec7-4ff9-9233-d69c8c8a607f	78	187	190	532	194	26	104	30	160	60	123	16	184	37	61
01658141-8398-4585-9f0f-8355dd9b0604	0	215	242	565	530	107	44	258	0	107	60	72	200	0	22
0168a2a6-c3af-4d58-a51c-d33f0fc7876d	377	32	0	0	0	49	32	3	4	0	18	0	0	0	2
0176cf1d-0760-4769-a493-277f4bb7585e	307	95	120	91	50	0	118	24	0	59	26	51	0	34	0
0192d529-7340-45d8-a5f0-249cbb11ca19	274	133	20	39	0	59	168	0	26	0	6	0	6	0	5
01b0848c-ae36-4ade-a3da-d297b003c99f	70	94	403	327	340	95	73	0	186	107	60	110	87	16	44
