MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O
BP10MB[0]	0.7144165700674057	0.44358638398349287	0.04361057578972897	0.002109476488403743	0.0016903477486413174	0.5550923329591751	0.01482130922382108	0.02424293884076178	0.044246074081895015	0.059209188320674004	0.03559436383122085	0.0024662842544652896	0.05471574170447344	0.02971990797751423	0.07355993084609508
BP10MB[1]	1.2040055250679416e-05	0.0021439046987677558	0.0625283650122583	0.0018041844922117888	0.001043570077454207	0.09529517188668252	0.007605412150294342	0.0009563832601634203	0.0023652682708780047	0.000906130784136778	0.004499103636216531	0.0007152165551099994	0.0021101110358726586	0.004651814370881766	0.0028084172906111876
BP10MB[2]	0.0	0.09937056124210358	0.04474830428138375	0.008990645318990574	0.0025246112894922136	0.00296841139386388	0.00046673496244011405	2.111245645210147e-05	0.03716542820911854	0.04743955911253579	0.005457524061247012	0.001100362291035708	0.001657092247795903	0.01037752891038228	0.0020166898477701357
BP10MB[3]	1.4022231287214026e-09	0.0009725853542477125	0.02749185273423791	0.0034199818140405115	0.003692994550365256	0.0014181350021578965	0.00510434254512802	0.0007247454627577099	0.004230344673851505	0.002610211798866917	0.0035411577441481733	0.0002342378760658903	0.001898182787335827	0.004203463132962497	0.0009132591608685914
BP10MB[4]	1.722619078492471e-09	0.003513762387856332	0.011731568784452974	0.011811838744906709	0.0023907179840186163	0.0	0.0029324406176203218	8.173727110261098e-07	0.013273991709793336	0.01272042007301934	0.002458861410738066	0.0014712503952170647	0.00017208513697219158	0.0016480599897910509	0.00035628940496925
BP10MB[5]	1.490849424357066e-08	5.92355610569939e-05	0.005627360711805522	0.004084655936494528	0.0023883504311277993	0.0	0.0017345949007102491	0.0012765273461627657	0.0010826284831698275	0.0016468736522074322	0.001571636812594619	0.00017578315193532036	0.0012620872269752076	0.0007660091675121371	0.0015925073425796653
BP10MB[>5]	6.849428157290616e-09	0.0	0.00024003988597542047	0.020230092173442245	0.007250258354601442	0.0	0.0032754027429274402	0.014063027803786099	0.002003427205382593	0.0009579477521256001	0.0028392062047609733	0.011025914559140801	0.0037033537168764496	0.0017409482206255688	0.006324531449200777
BPArm[0]	0.10276940993964673	0.017578629448544235	0.0016413136896849215	0.000312788857677333	0.0001740506882608397	0.027501875879243017	0.0011941435551509718	0.0011067826642027967	0.003137580178154167	0.002717945223428246	0.0016300259591702116	0.00026561036323982987	0.0007615369629638735	0.001322180885108537	0.004067566386682495
BPArm[1]	0.0008845764372343013	5.334699060767889e-05	0.00025408398990829363	5.5926430613229e-06	6.437701348094293e-07	0.02592177010141313	9.001099268388657e-06	4.3430316814756506e-05	0.0	2.5390379576606393e-10	9.536972048827863e-05	2.0892968991912397e-05	1.1762704673401458e-05	2.0538356128270153e-05	5.0561998386911e-06
BPArm[2]	0.0018298520088262649	0.02404613503953442	4.652569186873734e-06	5.7539444320298115e-11	2.5171342676877375e-10	0.019816832188516854	0.00013973168691439497	2.5065939259008018e-05	0.00023097319675899008	0.00011174497813044581	0.0001084039329560893	4.7532936150673775e-07	1.2704914527965627e-05	4.165156133240089e-07	0.0001712694107565227
BPArm[3]	1.643492464120655e-08	0.0019074068346526473	0.0023828200924007835	6.162726203001512e-05	2.493489192900711e-11	0.011918539060279726	3.0488794193139767e-05	7.7276067527432e-06	0.0004930443493768166	0.00026600609124736605	0.00022105516599657982	2.4420046502031667e-05	0.00012862206154749424	0.00013444946522117362	9.775972692236868e-05
BPArm[4]	4.461644733666503e-09	0.015572949245106429	0.0005506825034163398	2.366343115681957e-05	1.4343369614380208e-05	0.003840928031131625	5.2497554827724e-05	0.0002685348626482664	0.0020753843952789454	0.001760013787279604	0.0002564369986889403	8.988511215472978e-08	0.0002114258404822067	0.00020853853062590132	0.0001964980676802952
BPArm[5]	2.386173031165839e-08	0.0022422684589400886	0.004136585019296035	0.00010159914555245564	5.541292407542641e-06	0.003539173115277663	8.789970123573409e-05	2.281174219150195e-05	0.0006214440443022807	0.00031923568156344117	0.0003495795677804149	1.6936113320298319e-06	0.0006279786461520587	0.00035825828163366325	0.000309529628851557
BPArm[6]	4.748145034372264e-09	0.0074091943528037515	0.0017278306954540312	9.521972297079628e-05	0.00012032284442739183	0.0004240531334340858	0.00023828155889503961	5.597552313702181e-05	0.0024198915008128096	0.003113741370907519	0.0005285425778926012	7.436998988850974e-05	0.00037168966290835215	0.0004035664087018631	0.00015215603081415453
