MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O
BP10MB[0]	1.95E-03	8.64E-03	4.42E-03	9.64E-04	5.16E-04	6.61E-03	1.36E-03	6.20E-04	4.44E-03	3.40E-03	5.01E-03	9.49E-04	4.07E-03	3.69E-03	3.85E-03
BP10MB[1]	7.02E-06	3.77E-04	3.15E-03	1.03E-03	1.92E-04	3.05E-03	6.90E-04	9.58E-05	3.56E-04	3.20E-04	1.65E-03	2.07E-04	4.57E-04	1.20E-03	3.41E-04
BP10MB[2]	0.00E+00	1.58E-03	1.23E-03	1.08E-03	5.73E-04	8.15E-04	3.74E-04	2.11E-05	2.37E-03	1.64E-03	1.39E-03	5.52E-04	4.44E-04	1.18E-03	1.17E-03
BP10MB[3]	4.85E-10	2.15E-04	4.87E-04	5.12E-04	2.30E-04	2.30E-04	2.89E-04	6.81E-05	2.45E-04	3.41E-04	6.64E-04	1.32E-04	3.14E-04	4.37E-04	2.09E-04
BP10MB[4]	7.74E-10	3.89E-04	7.06E-04	4.70E-04	2.45E-04	0.00E+00	2.35E-04	8.17E-07	5.26E-04	4.49E-04	5.54E-04	2.63E-04	8.43E-05	4.14E-04	2.47E-04
BP10MB[5]	1.32E-09	4.54E-05	2.77E-04	1.98E-04	1.43E-04	0.00E+00	9.03E-05	7.08E-05	1.23E-04	1.45E-04	3.20E-04	4.81E-05	1.83E-04	1.69E-04	1.71E-04
BP10MB[>5]	1.49E-09	0.00E+00	2.03E-04	8.48E-04	4.93E-04	0.00E+00	2.45E-04	2.74E-04	3.99E-04	1.68E-04	7.80E-04	9.94E-04	6.50E-04	4.74E-04	5.40E-04
BPArm[0]	2.57E-04	4.94E-04	1.25E-04	3.74E-05	3.23E-05	8.09E-04	1.21E-04	6.74E-05	2.22E-04	1.81E-04	2.28E-04	6.84E-05	1.97E-04	2.15E-04	3.11E-04
BPArm[1]	5.84E-05	5.33E-05	1.12E-04	5.59E-06	6.43E-07	3.63E-04	5.39E-06	1.14E-05	0.00E+00	2.54E-10	9.52E-05	6.85E-06	1.18E-05	1.81E-05	3.79E-06
BPArm[2]	5.92E-05	7.33E-04	4.20E-06	5.75E-11	1.67E-10	5.86E-04	2.63E-05	7.30E-06	9.05E-05	5.01E-05	6.85E-05	4.75E-07	1.05E-05	4.17E-07	4.19E-05
BPArm[3]	1.69E-09	6.74E-05	2.91E-04	5.59E-05	2.49E-11	3.07E-04	1.37E-05	3.83E-06	5.89E-05	3.56E-05	1.56E-04	8.93E-06	3.83E-05	9.67E-05	3.66E-05
BPArm[4]	1.01E-09	3.12E-04	8.53E-05	1.73E-05	6.02E-06	1.93E-04	2.66E-05	2.37E-05	2.23E-04	1.36E-04	8.60E-05	8.99E-08	6.33E-05	5.95E-05	5.29E-05
BPArm[5]	1.89E-09	1.04E-04	2.30E-04	7.17E-05	3.89E-06	2.43E-04	3.61E-05	5.59E-06	7.08E-05	5.28E-05	1.29E-04	1.69E-06	9.43E-05	1.04E-04	5.15E-05
BPArm[6]	8.44E-10	1.60E-04	6.30E-05	3.71E-05	2.76E-05	7.64E-05	3.69E-05	1.02E-05	1.75E-04	1.20E-04	9.78E-05	2.28E-05	5.86E-05	7.29E-05	6.16E-05
BPArm[7]	1.52E-09	8.38E-05	1.30E-04	7.30E-05	2.44E-05	1.23E-04	2.14E-05	8.50E-06	6.04E-05	5.62E-05	1.24E-04	2.41E-05	8.75E-05	1.16E-04	5.65E-05
BPArm[8]	8.88E-10	1.23E-04	7.03E-05	4.96E-05	3.00E-05	1.85E-05	5.55E-05	4.77E-07	1.30E-04	8.53E-05	8.22E-05	2.25E-05	3.05E-05	3.75E-05	7.15E-05
BPArm[9]	1.22E-09	4.87E-05	5.43E-05	5.58E-05	2.07E-05	3.12E-05	2.23E-05	2.75E-06	4.64E-05	4.55E-05	1.03E-04	3.35E-05	7.13E-05	6.13E-05	4.68E-05
BPArm[10]	1.07E-09	7.81E-05	5.23E-05	4.89E-05	1.59E-05	1.01E-06	3.39E-05	0.00E+00	9.44E-05	7.36E-05	5.84E-05	2.08E-05	3.76E-05	4.98E-05	3.95E-05
BPArm[>10 & <=20]	9.77E-10	1.74E-04	4.20E-04	2.92E-04	1.52E-04	0.00E+00	1.11E-04	2.18E-05	2.19E-04	2.36E-04	3.33E-04	1.13E-04	1.21E-04	2.26E-04	1.37E-04
BPArm[>20 & <=30]	1.96E-09	2.57E-05	1.22E-04	1.01E-04	7.86E-05	0.00E+00	1.73E-05	4.39E-05	5.74E-05	6.37E-05	1.39E-04	7.82E-05	7.92E-05	1.19E-04	6.22E-05
BPArm[>30]	2.16E-09	0.00E+00	6.86E-06	1.35E-04	6.28E-05	0.00E+00	5.44E-06	4.29E-05	1.70E-05	2.63E-06	9.97E-05	1.52E-04	8.00E-05	5.21E-05	4.35E-05
