Samples	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P
0009b464-b376-4fbc-8a56-da538269a02f	0	229	504	669	710	0	46	0	0	99	220	78	0	94	6	18
003819bc-c415-4e76-887c-931d60ed39e7	420	1	6	2	0	2	2	0	0	0	0	0	34	0	0	0
0040b1b6-b07a-4b6e-90ef-133523eaf412	173	124	0	80	0	178	36	0	2	5	25	0	23	5	4	4
00493087-9d9d-40ca-86d5-936f1b951c93	387	16	3	0	0	35	27	0	0	0	0	0	24	0	1	0
00508f2b-36bf-44fc-b66b-97e1f3e40bfa	290	107	75	60	0	0	239	0	0	0	0	25	3	0	59	0
005794f1-5a87-45b5-9811-83ddf6924568	423	0	0	11	2	0	18	2	0	0	0	0	30	0	0	0
005e85a3-3571-462d-8dc9-2babfc7ace21	367	50	22	0	0	12	36	0	5	0	0	0	30	0	0	0
007aab66-2f07-459d-8952-3041d6ea24a8	422	0	0	0	0	3	1	3	0	0	0	0	30	2	0	0
008aef39-0c97-48ce-9dfd-f12d67116c59	265	94	5	28	0	79	199	0	0	0	0	115	31	9	0	0
008bad10-d41b-4bbb-86fa-9976ecea46b1	261	120	64	14	5	57	106	0	51	0	0	0	36	0	7	2
00aa769d-622c-433e-8a8a-63fb5c41ea42	393	9	0	0	2	26	7	3	4	0	0	0	27	0	0	0
00b9d0e6-69dc-4345-bffd-ce32880c8eef	415	20	0	0	2	8	6	0	4	0	0	0	31	0	0	0
00bf0350-8c7c-4b9e-8143-13ea2dc1122f	408	34	17	14	0	0	29	0	0	0	0	0	25	0	0	0
00c27940-c623-11e3-bf01-24c6515278c0	323	48	5	11	36	84	51	1	28	0	3	0	13	3	2	3
00db1b95-8ca3-4cc4-bb46-6b8c8019a7c7	236	82	102	19	122	88	3	0	0	0	57	50	0	6	0	0
00db4dc2-3ec7-4ff9-9233-d69c8c8a607f	72	199	190	510	201	17	107	22	145	47	88	45	98	60	44	137
01658141-8398-4585-9f0f-8355dd9b0604	0	241	236	512	521	87	53	234	0	73	129	131	43	19	0	143
0168a2a6-c3af-4d58-a51c-d33f0fc7876d	371	33	1	0	3	49	31	3	3	0	0	0	21	2	0	0
0176cf1d-0760-4769-a493-277f4bb7585e	295	101	109	98	50	2	108	21	0	58	19	43	28	0	43	0
0192d529-7340-45d8-a5f0-249cbb11ca19	266	135	27	50	0	55	151	0	23	0	0	4	16	4	3	2
01b0848c-ae36-4ade-a3da-d297b003c99f	79	113	382	281	268	55	101	1	177	91	231	112	37	34	0	50
01c8e465-2b4e-4519-bdef-c3ac06b43eeb	374	61	0	0	0	18	39	1	0	2	0	0	12	2	9	3
01dc6872-c623-11e3-bf01-24c6515278c0	285	69	0	24	8	85	58	2	28	23	10	0	17	45	0	18
01df36af-3617-40fc-9892-f54ce433cf71	0	316	145	466	315	88	42	2	0	0	187	77	0	41	0	21
02078f77-2b35-4fa3-ab02-2c017181295e	425	0	3	0	0	0	0	0	0	0	0	0	33	0	0	0
020fab36-c7de-4933-b2bf-dc7b019a1326	169	40	206	68	425	99	34	175	0	69	0	152	0	168	0	113
0250e6f7-2538-4d1f-a8ff-ca34a7057dde	48	123	0	126	279	249	0	1	280	43	45	90	41	21	45	1
02706819-bcab-4c49-a569-a4a8c60db1c0	437	0	4	0	0	0	2	1	0	0	0	0	30	0	0	0
02917220-6a7a-46a1-8656-907e96bef88e	310	58	0	10	0	79	35	0	7	0	0	3	30	0	0	1
0292a46f-a282-4b7f-a7d6-ac55cc7324fb	416	0	1	0	3	9	0	1	0	0	0	0	34	0	0	0
