MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P
BP10MB[0]	0.7217846721410751	0.45996743384748695	0.038811736996304	0.0029419442281810437	0.0011162472317665256	0.5427243918925524	0.015333865738666469	0.024757563420571387	0.053096094995271945	0.06174074095673859	0.040601997992320935	0.0022469096065716667	0.06380439084042874	0.0695679587937494	0.020455203072505	0.04635016005366056
BP10MB[1]	1.8475328193261476e-05	0.004673886742857576	0.058930730279535055	0.0006100520410109311	0.00198370356570182	0.09743452740833164	0.006520598646529195	0.0010060000204248354	0.002321068767829999	0.0011001016781665386	0.004213490368081807	0.0003345020834240131	0.006693078499899911	0.0036173507256899036	0.004450499757515419	0.003478869880491402
BP10MB[2]	0.0	0.0940683388710022	0.04729253329336643	0.008735155723406933	0.001971262544402524	0.0025891091104085716	0.0007066249133276883	2.802596928649634e-47	0.04178474208340049	0.04973349691252224	0.00856465261064309	0.0012387197981894354	0.007966453719102446	0.0008309287426527589	0.008405552883182281	0.001902381903710193
BP10MB[3]	8.692684022593156e-10	0.0009513727024818763	0.028801579140126706	0.0031809006673574913	0.004113050757732708	0.002176255675731227	0.0044229475557222035	0.0007788428865387687	0.004038397667754907	0.003140016085089883	0.001992795617433295	0.0001519405411090702	0.001949702058739824	0.0007627057124045678	0.004435724727084569	0.0019416475155912848
BP10MB[4]	1.8047064190285234e-09	0.0029084632352942208	0.013961670910939574	0.011655725021846593	0.001957462334053176	0.0	0.0025154276941619005	2.8235721447346094e-06	0.013584994028933579	0.012927656800020487	0.0015637916872952929	0.002081162999074877	0.00182425942400414	9.281663340516389e-05	0.0020143403816391234	0.000266635850421153
BP10MB[5]	1.6148827155504362e-08	3.1314825190057473e-40	0.006106390884378925	0.0042354007763788105	0.0030514436747762375	4.230978898704052e-05	0.001514837133254332	0.0012720373900810954	0.0009763467249413793	0.0017852984815544914	0.00041085776545145335	0.00018146508125937543	0.0003155242681121706	0.0017476718606508257	0.0012156271605877579	0.0014168560994747281
BP10MB[>5]	1.604306666846966e-08	0.0	0.00012304247007705271	0.021190773839106215	0.009941068209009245	0.0	0.0022035549884211036	0.013802762016421184	0.0023034884174893476	0.0011256665990367766	0.0005951761648066167	0.013638650576649525	0.0002076013801277554	0.005205535500293774	0.0017773179650683345	0.0024201647170944795
BPArm[0]	0.10428697407245636	0.019293701730202884	0.0016506581445719349	0.0003657726823077944	0.0001747102358065776	0.02715148749004584	0.0012994673532011802	0.0011133497516857462	0.003473965407392825	0.002989877669897396	0.0013319845421928692	0.00036117974970695845	0.002701363364484489	0.003828228516491027	0.0006151279915641987	0.0005150089522416769
BPArm[1]	0.0008890501841342768	0.0008252397241164999	0.00015417624511869122	1.0119795668117603e-09	1.5766185852328363e-06	0.025670871294569225	3.856822536345561e-06	4.6061225422429074e-05	5.416067553341009e-06	5.2974070285927156e-09	0.00011533478784560458	1.5307890407960655e-05	0.00016201169593934138	1.2388392115170176e-06	1.649496272140283e-06	3.583120577133059e-08
BPArm[2]	0.0015314831980504096	0.025146292955614626	0.0	6.821591647110381e-10	2.1447268318386393e-06	0.018874376560652877	0.0001221995471498971	2.5187676712441486e-05	0.00031396013784353195	6.958744298529495e-05	1.770663109779136e-05	2.802596928649634e-47	0.0014529971193098846	0.00013299328447394565	6.626555748567852e-11	4.0862143217026416e-05
