MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P
BP10MB[0]	2.25E-03	1.09E-02	3.56E-03	1.78E-03	3.06E-04	1.13E-02	1.32E-03	8.38E-04	4.91E-03	3.22E-03	4.99E-03	1.00E-03	1.10E-02	4.01E-03	2.82E-03	3.83E-03
BP10MB[1]	1.17E-05	1.69E-03	3.40E-03	1.98E-04	3.29E-04	3.83E-03	6.04E-04	1.06E-04	3.25E-04	3.77E-04	2.06E-03	9.91E-05	2.74E-03	4.73E-04	7.08E-04	1.03E-03
BP10MB[2]	0.00E+00	2.56E-03	1.49E-03	9.98E-04	4.17E-04	8.26E-04	3.49E-04	2.80E-47	2.85E-03	1.63E-03	1.20E-03	6.11E-04	2.38E-03	2.87E-04	1.09E-03	6.51E-04
BP10MB[3]	3.74E-10	3.49E-04	5.05E-04	3.98E-04	3.11E-04	3.73E-04	2.62E-04	6.36E-05	2.47E-04	3.79E-04	3.78E-04	1.22E-04	5.21E-04	2.18E-04	5.30E-04	4.39E-04
BP10MB[4]	6.15E-10	3.75E-04	8.11E-04	5.17E-04	2.08E-04	0.00E+00	2.57E-04	1.95E-06	5.42E-04	4.27E-04	3.16E-04	2.92E-04	5.16E-04	5.71E-05	3.55E-04	1.12E-04
BP10MB[5]	1.43E-09	3.13E-40	3.16E-04	1.91E-04	1.85E-04	3.05E-05	9.55E-05	6.80E-05	1.09E-04	1.88E-04	1.43E-04	5.77E-05	1.10E-04	1.84E-04	2.47E-04	2.23E-04
BP10MB[>5]	2.57E-09	0.00E+00	7.24E-05	8.14E-04	5.72E-04	0.00E+00	2.21E-04	3.35E-04	4.53E-04	1.94E-04	3.57E-04	9.80E-04	1.01E-04	6.87E-04	6.12E-04	5.12E-04
BPArm[0]	3.06E-04	8.68E-04	9.83E-05	4.37E-05	3.16E-05	1.15E-03	1.33E-04	7.32E-05	2.39E-04	1.70E-04	2.14E-04	9.99E-05	4.30E-04	3.42E-04	1.40E-04	1.50E-04
BPArm[1]	6.54E-05	3.31E-04	5.99E-05	5.16E-10	1.57E-06	5.50E-04	2.61E-06	1.27E-05	3.92E-06	5.30E-09	6.72E-05	6.04E-06	1.06E-04	1.17E-06	1.64E-06	3.30E-08
BPArm[2]	8.53E-05	8.81E-04	0.00E+00	6.54E-10	1.33E-06	8.37E-04	2.40E-05	7.72E-06	9.44E-05	4.18E-05	1.48E-05	1.97E-47	4.78E-04	3.87E-05	6.63E-11	2.14E-05
BPArm[3]	1.95E-09	1.67E-04	2.64E-04	1.13E-06	0.00E+00	4.03E-04	9.94E-06	3.28E-06	5.84E-05	4.63E-05	2.01E-04	6.00E-06	2.35E-04	4.32E-05	2.50E-05	8.04E-05
BPArm[4]	1.17E-09	3.68E-04	8.44E-05	1.60E-05	8.69E-07	1.94E-04	2.69E-05	2.49E-05	2.83E-04	1.47E-04	4.74E-05	2.65E-05	2.82E-04	2.61E-05	2.93E-05	5.06E-05
BPArm[5]	2.20E-09	1.39E-04	2.57E-04	2.49E-05	5.29E-06	2.78E-04	1.90E-05	6.80E-06	8.26E-05	5.30E-05	1.67E-04	1.06E-06	1.91E-04	4.68E-05	4.23E-05	1.11E-04
BPArm[6]	7.54E-10	2.15E-04	9.32E-05	4.09E-05	2.13E-05	7.96E-05	4.78E-05	8.97E-06	2.21E-04	1.29E-04	8.54E-05	4.62E-05	1.68E-04	2.94E-05	8.63E-05	7.01E-05
