Samples	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q
0009b464-b376-4fbc-8a56-da538269a02f	0	228	663	493	698	0	46	0	0	97	90	210	0	8	88	45	7
003819bc-c415-4e76-887c-931d60ed39e7	419	1	5	4	0	4	1	0	0	0	0	0	32	1	0	0	0
0040b1b6-b07a-4b6e-90ef-133523eaf412	171	123	81	0	0	172	34	0	3	5	2	30	23	0	5	10	0
00493087-9d9d-40ca-86d5-936f1b951c93	384	14	0	4	0	37	25	1	0	0	1	0	24	1	0	2	0
00508f2b-36bf-44fc-b66b-97e1f3e40bfa	285	104	62	85	0	0	225	0	0	0	28	0	9	30	0	30	0
005794f1-5a87-45b5-9811-83ddf6924568	425	0	13	0	1	0	16	2	0	0	0	0	29	0	0	0	0
005e85a3-3571-462d-8dc9-2babfc7ace21	364	48	3	22	0	16	34	0	6	0	0	0	29	0	0	0	0
007aab66-2f07-459d-8952-3041d6ea24a8	422	0	2	0	0	3	0	3	0	0	0	0	29	0	2	0	0
008aef39-0c97-48ce-9dfd-f12d67116c59	261	85	32	9	0	84	187	0	0	0	120	0	37	0	10	0	0
008bad10-d41b-4bbb-86fa-9976ecea46b1	252	120	20	65	2	62	101	0	50	0	1	0	36	6	0	7	1
00aa769d-622c-433e-8a8a-63fb5c41ea42	391	9	0	0	1	28	7	4	4	0	0	0	27	0	0	0	0
00b9d0e6-69dc-4345-bffd-ce32880c8eef	415	18	0	0	1	9	6	0	4	0	0	0	30	3	0	0	0
00bf0350-8c7c-4b9e-8143-13ea2dc1122f	406	33	17	15	0	3	28	0	0	0	0	0	25	0	0	0	0
00c27940-c623-11e3-bf01-24c6515278c0	322	47	13	8	31	81	47	3	28	0	0	4	16	1	2	0	8
00db1b95-8ca3-4cc4-bb46-6b8c8019a7c7	232	81	21	99	127	94	1	0	0	0	51	53	0	0	6	0	0
00db4dc2-3ec7-4ff9-9233-d69c8c8a607f	55	209	505	184	195	25	97	25	141	39	60	75	100	56	54	25	137
01658141-8398-4585-9f0f-8355dd9b0604	0	225	495	234	497	83	40	240	0	67	150	135	59	0	17	44	136
0168a2a6-c3af-4d58-a51c-d33f0fc7876d	370	31	0	3	2	49	30	4	3	0	0	0	22	0	3	0	0
0176cf1d-0760-4769-a493-277f4bb7585e	286	106	110	101	48	3	106	16	0	60	21	0	24	91	0	0	3
