MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q
BP10MB[0]	0.7253773987293244	0.48331554904580115	0.0035939459304141484	0.032224875056962754	0.0018296101694804646	0.5553368540108203	0.015629035406772757	0.026752180703915655	0.04441699255552301	0.05946211044676652	0.008786441165293759	0.03966614097856551	0.06545891307661368	0.007997256674156815	0.07162546070059761	0.030925003727692482	0.05116161335012302
BP10MB[1]	3.9036426460370425e-06	0.0032025804722297835	0.001768132148135919	0.05288885246962309	0.0017382533760360755	0.09939853189513087	0.005583576172710147	0.0011107649441692046	0.0021012583069494896	0.0017311752977548166	0.005874199731733825	0.007080916648917041	0.008374575202958133	0.002705098472130479	0.003847201817686314	0.004216653363255439	0.0018963860592339189
BP10MB[2]	0.0	0.09673629753291607	0.006863951732520945	0.04674115200061351	0.0021408120542764663	0.0014229881293765856	0.000551626935439397	3.3143777400255204e-05	0.03780303660780191	0.04722264421405271	0.0018708991852145118	0.011368187540566907	0.011839767397614196	0.006254986680414849	0.0007756149501074106	0.010480991641552051	0.001277165859289653
BP10MB[3]	6.13606871979755e-10	0.0005859627085010289	0.0028811783530284176	0.030029368735849857	0.0034670282338629477	0.0021944752050330864	0.0037629852150030275	0.0006542296736915887	0.0040692084463080395	0.003278374093997627	0.0009360965617634065	0.002394697115185589	0.003218247012010593	0.00227179018451001	0.0009448260363569719	0.004762457306479642	0.0016654461293666278
BP10MB[4]	2.359707698129654e-09	0.0028072007634909824	0.011505409611854702	0.016118479305878283	0.0016114803575794667	0.0	0.0019089179357035845	2.985665632877499e-06	0.013646432205569	0.01254526754411927	0.002597133705504575	0.0015437507914072058	0.003142885101948991	0.001070446379045471	2.7568765453906962e-05	0.0023820252675466236	0.000288309087518428
BP10MB[5]	1.8247009351268773e-08	0.0	0.004167107492212381	0.007598124369978905	0.002599889919870293	0.0	0.0012163609209847048	0.0011639614409068599	0.0010662464915003511	0.0018666085379987862	0.00036956490210300044	0.0002845846182481182	0.0008732236985329678	0.0007049481056944273	0.001502708265302484	0.0010052861678208557	0.001570042312655744
BP10MB[>5]	1.4958510662355096e-08	0.0	0.021117763174697757	0.000573356471140869	0.009562363424920476	0.0	0.00255349825800522	0.014517321484163404	0.002202227422741032	0.001092743480112675	0.012907603758449113	0.0001354234263187948	0.0006074222726069766	0.001592172450751832	0.003942069600871605	0.001467061911930614	0.0021571956767877376
BPArm[0]	0.1046242729574442	0.02071319304406643	0.0003173242358947422	0.001939634626614861	0.00010577191036653666	0.02838553701993078	0.0012686540732102002	0.0011337688985804562	0.00301948406297015	0.0029032826384354847	0.00034124080743552163	0.0015002188886444642	0.003732705146550973	0.0008201879818068688	0.003615002396918499	0.0010551063777906587	0.00031098215330530363
BPArm[1]	0.000818981166270909	0.0007463998643332559	5.384327782999465e-05	4.835332304846674e-05	1.9828016917244897e-09	0.026380415414460002	3.20013325834978e-06	3.627400672568504e-05	1.5006360293279286e-10	5.337049628906243e-09	0.00022073510034037013	0.00022081163931083836	0.00026647178332112276	1.2746909651468742e-05	3.5167592926654835e-08	2.334309853495142e-05	6.84895823740761e-06
BPArm[2]	0.0015606308421899939	0.02626632923958823	9.072051554426253e-11	0.0	6.077401115689441e-10	0.019373271609365476	0.00017742647880460537	3.202752776331863e-05	0.00013630904894782248	7.017896911580969e-05	1.394344581058249e-06	1.1372036823331655e-09	0.0007606279653947823	1.791786286048591e-05	0.00010339740175298929	2.6671345873445772e-05	5.45400050275191e-05
