NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	205.952	18.131	41.623	10.792	0.073	0.991	50000.0
2	205.931	18.252	41.28	10.754	0.072	0.991	120000.0
3	205.285	17.908	41.115	10.632	0.072	0.991	70000.0
4	204.721	18.033	40.865	10.596	0.074	0.991	100000.0
5	209.008	18.469	41.418	10.786	0.073	0.991	110000.0
6	206.213	18.268	40.96	10.664	0.072	0.991	70000.0
7	205.858	18.293	41.188	10.741	0.072	0.991	120000.0
8	203.203	17.892	40.682	10.552	0.073	0.991	90000.0
9	206.092	18.317	41.172	10.757	0.072	0.991	70000.0
10	206.165	18.137	41.644	10.828	0.073	0.991	70000.0
11	206.103	18.219	40.887	10.645	0.073	0.991	100000.0
12	209.526	18.589	41.496	10.801	0.073	0.991	60000.0
13	204.778	17.955	41.026	10.62	0.072	0.991	100000.0
14	203.312	17.876	40.54	10.503	0.074	0.991	90000.0
15	203.461	17.908	40.586	10.546	0.073	0.991	70000.0
16	208.088	18.503	41.498	10.837	0.073	0.991	90000.0
17	209.633	18.585	41.885	10.905	0.073	0.991	80000.0
18	207.355	18.497	41.799	10.934	0.072	0.991	60000.0
19	205.857	18.305	40.931	10.686	0.073	0.991	90000.0
20	205.71	18.045	41.37	10.704	0.074	0.991	60000.0
21	207.68	18.449	41.425	10.802	0.073	0.991	60000.0
22	203.705	17.92	41.063	10.618	0.074	0.991	50000.0
23	200.178	17.705	40.205	10.438	0.073	0.991	100000.0
24	204.838	18.001	40.837	10.592	0.073	0.991	60000.0
25	207.909	18.459	41.495	10.827	0.073	0.991	90000.0
26	203.46	17.812	40.942	10.602	0.072	0.991	100000.0
27	211.741	18.637	42.587	11.029	0.072	0.99	100000.0
28	208.692	18.463	41.586	10.82	0.072	0.991	100000.0
29	205.866	18.043	40.861	10.586	0.073	0.991	100000.0
30	207.162	18.421	41.463	10.816	0.072	0.991	120000.0
31	201.491	17.942	39.879	10.387	0.074	0.992	100000.0
32	202.653	17.952	40.03	10.446	0.073	0.991	90000.0
33	203.025	17.883	40.436	10.525	0.074	0.991	90000.0
34	204.104	18.256	41.266	10.815	0.072	0.991	40000.0
35	206.794	18.447	41.763	10.915	0.072	0.991	70000.0
36	203.203	18.11	40.992	10.707	0.072	0.991	70000.0
37	206.612	18.493	41.181	10.773	0.073	0.991	80000.0
38	198.763	17.463	39.857	10.349	0.072	0.992	70000.0
39	201.862	17.825	40.386	10.501	0.073	0.991	100000.0
40	206.371	18.098	41.786	10.822	0.073	0.991	140000.0
41	208.908	18.654	41.916	10.988	0.073	0.991	110000.0
42	206.131	18.326	41.286	10.752	0.073	0.991	80000.0
43	196.587	17.258	39.623	10.273	0.074	0.992	130000.0
44	202.838	17.875	40.436	10.54	0.073	0.991	170000.0
45	207.528	18.405	41.315	10.757	0.072	0.991	60000.0
46	211.712	18.744	42.173	10.985	0.074	0.991	80000.0
47	200.851	17.552	40.587	10.524	0.074	0.991	60000.0
48	203.762	17.893	40.67	10.538	0.073	0.991	130000.0
49	206.075	18.284	41.034	10.703	0.073	0.991	70000.0
50	208.984	18.363	41.055	10.665	0.074	0.991	100000.0
51	207.425	18.271	40.989	10.639	0.074	0.991	80000.0
52	200.835	17.673	40.021	10.381	0.073	0.991	70000.0
53	206.131	18.354	40.993	10.725	0.072	0.991	80000.0
54	199.886	17.655	40.152	10.448	0.072	0.991	200000.0
55	211.352	18.66	42.316	11.011	0.073	0.99	70000.0
56	204.392	18.001	40.773	10.57	0.073	0.991	120000.0
57	201.992	17.78	40.462	10.49	0.073	0.991	90000.0
58	206.677	18.445	41.233	10.775	0.073	0.991	100000.0
59	207.667	18.315	41.428	10.746	0.072	0.991	90000.0
60	204.637	18.146	40.996	10.696	0.072	0.991	60000.0
61	202.911	17.885	40.965	10.647	0.073	0.991	50000.0
62	202.887	17.806	40.947	10.602	0.073	0.991	100000.0
63	200.541	17.706	39.904	10.377	0.072	0.992	70000.0
64	207.113	18.383	41.213	10.733	0.073	0.991	90000.0
65	207.25	18.405	41.624	10.86	0.072	0.991	100000.0
66	205.555	18.129	41.422	10.785	0.073	0.991	100000.0
67	203.86	18.025	40.79	10.612	0.074	0.991	110000.0
68	200.329	17.599	40.087	10.425	0.073	0.991	70000.0
69	205.836	18.186	41.057	10.685	0.073	0.991	90000.0
70	208.827	18.557	41.841	10.915	0.073	0.991	60000.0
71	200.36	17.741	40.15	10.47	0.073	0.991	110000.0
72	209.44	18.453	41.88	10.826	0.072	0.991	110000.0
73	200.09	17.624	39.912	10.384	0.072	0.991	150000.0
74	202.554	17.854	41.057	10.64	0.073	0.991	110000.0
75	197.979	17.41	39.418	10.239	0.073	0.992	70000.0
76	207.098	18.148	41.348	10.717	0.073	0.991	90000.0
77	210.91	18.689	42.535	11.039	0.072	0.991	80000.0
78	203.554	17.975	40.287	10.483	0.073	0.991	80000.0
79	202.148	17.809	40.408	10.512	0.073	0.991	100000.0
80	205.93	18.162	41.178	10.71	0.073	0.991	70000.0
81	204.735	18.121	40.294	10.504	0.073	0.991	80000.0
82	201.842	17.726	40.182	10.436	0.072	0.991	100000.0
83	200.115	17.714	39.675	10.332	0.073	0.992	100000.0
84	208.781	18.452	41.386	10.768	0.073	0.991	100000.0
85	202.926	17.845	40.152	10.431	0.074	0.991	100000.0
86	213.555	18.933	42.755	11.147	0.073	0.99	60000.0
87	204.311	17.963	40.731	10.562	0.074	0.991	80000.0
88	206.277	18.339	41.666	10.844	0.073	0.991	80000.0
89	199.758	17.684	39.828	10.388	0.073	0.992	160000.0
90	197.226	17.376	39.27	10.246	0.072	0.992	80000.0
91	198.149	17.599	39.468	10.319	0.073	0.992	80000.0
92	207.962	18.473	41.854	10.895	0.072	0.991	70000.0
93	207.871	18.54	41.609	10.864	0.073	0.991	60000.0
94	202.735	17.827	40.39	10.468	0.072	0.991	90000.0
95	208.134	18.499	41.843	10.91	0.072	0.991	80000.0
96	199.162	17.533	39.556	10.3	0.072	0.992	90000.0
97	209.464	18.543	41.816	10.874	0.073	0.991	70000.0
98	194.33	17.054	38.623	10.058	0.074	0.992	90000.0
99	208.142	18.465	41.727	10.872	0.072	0.991	70000.0
100	207.817	18.265	41.348	10.704	0.073	0.991	100000.0
