Samples	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q	SBS80R
0009b464-b376-4fbc-8a56-da538269a02f	0	226	500	598	669	0	37	0	91	0	249	99	0	49	80	21	19	35
003819bc-c415-4e76-887c-931d60ed39e7	423	2	2	3	0	4	2	0	0	0	0	0	30	0	0	1	0	0
0040b1b6-b07a-4b6e-90ef-133523eaf412	151	113	0	81	0	197	32	0	6	2	28	0	24	8	5	1	1	10
00493087-9d9d-40ca-86d5-936f1b951c93	385	15	5	2	0	39	24	0	0	0	0	0	21	0	0	1	0	1
00508f2b-36bf-44fc-b66b-97e1f3e40bfa	293	97	95	81	0	0	201	0	0	0	0	32	2	0	0	36	0	21
005794f1-5a87-45b5-9811-83ddf6924568	429	0	0	13	2	0	16	0	0	0	0	0	26	0	0	0	0	0
005e85a3-3571-462d-8dc9-2babfc7ace21	365	44	23	4	0	23	31	0	0	5	0	0	27	0	0	0	0	0
007aab66-2f07-459d-8952-3041d6ea24a8	425	0	0	1	0	2	2	2	0	0	0	0	27	0	2	0	0	0
008aef39-0c97-48ce-9dfd-f12d67116c59	256	75	20	51	0	102	168	0	0	0	0	107	37	0	9	0	0	0
008bad10-d41b-4bbb-86fa-9976ecea46b1	249	113	71	25	3	72	90	0	0	46	0	0	36	7	0	6	0	5
00aa769d-622c-433e-8a8a-63fb5c41ea42	392	9	0	0	2	30	8	3	0	3	0	0	24	0	0	0	0	0
00b9d0e6-69dc-4345-bffd-ce32880c8eef	419	19	0	0	1	9	6	0	0	3	0	0	28	0	0	1	0	0
00bf0350-8c7c-4b9e-8143-13ea2dc1122f	410	32	14	17	0	3	26	0	0	0	0	0	21	3	0	0	1	0
00c27940-c623-11e3-bf01-24c6515278c0	311	48	7	12	31	79	44	1	0	27	0	0	9	39	2	1	0	0
00db1b95-8ca3-4cc4-bb46-6b8c8019a7c7	214	61	111	11	116	129	0	0	0	0	64	53	0	0	6	0	0	0
00db4dc2-3ec7-4ff9-9233-d69c8c8a607f	68	205	173	487	190	19	92	27	38	141	99	53	95	57	49	54	117	18
01658141-8398-4585-9f0f-8355dd9b0604	0	234	221	447	497	68	43	225	57	0	143	144	49	133	19	0	109	33
0168a2a6-c3af-4d58-a51c-d33f0fc7876d	366	30	5	0	4	54	29	3	0	2	0	0	19	3	2	0	0	0
0176cf1d-0760-4769-a493-277f4bb7585e	286	93	96	110	50	15	94	20	56	0	10	33	24	18	0	60	10	0
0192d529-7340-45d8-a5f0-249cbb11ca19	258	120	43	59	0	72	128	0	0	21	0	8	17	0	3	5	2	0
