MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q	SBS80R
BP10MB[0]	0.7193566727638244	0.47444298207759855	0.038183543845765916	0.0002442763370749045	0.000991573928308506	0.5975824782252311	0.016431237625032836	0.027432789420709015	0.06350893174700818	0.0338519924464181	0.02846637125035792	0.00604166417537394	0.043273175470749686	0.06549602668851928	0.08379836488515319	0.012510382276866405	0.05760487846085411	0.018342223050204817
BP10MB[1]	0.0	0.0011531691090571991	0.053765099458687474	0.000278918877011168	0.002032151924649952	0.08421342744026333	0.004376104847160604	0.0010242957866013252	0.004523684948217124	0.0025536926480722055	0.004038350984703779	0.0031820788435897285	0.016971397601537038	0.01568144729011692	0.0032351229125583813	0.0036401389168268907	0.005635478655712308	0.004444946999392414
BP10MB[2]	0.0	0.10277061026543378	0.04890906199812889	0.006611262980732136	0.001019266650546342	0.0010217009462360743	6.0388992487817664e-05	0.0	0.05156234083464369	0.031349249607592354	0.01238354657430108	0.0021450111745906623	0.01361966044853034	0.00668325351974727	0.0002952314791687627	0.009811481012675358	0.003610958951644554	0.005379908559957675
BP10MB[3]	1.5609301584618153e-09	0.0005621099772969751	0.030451492397114633	0.002780387851817068	0.003248055179537914	0.0011700112332982827	0.002594828417225017	0.0005468495934746904	0.004079501927772071	0.003646500257309526	0.001294803302266132	0.0006573233474773588	0.003980316999638924	0.0075752486279645126	0.0009581664305733287	0.0033948465737557963	0.0018790885594762586	0.004710882609330156
BP10MB[4]	2.1161259411428546e-09	0.0028377950792310004	0.017284323582425713	0.012148530421545728	0.001197770051653606	0.0	0.0012348945980232883	1.4804664242547006e-05	0.013819279393646865	0.012782110422849656	0.001530171519179717	0.002539845282190072	0.003978899557632332	0.0022287953171198182	4.466712009161711e-05	0.0016395468321997097	0.0005551275287751878	0.001933099132327456
BP10MB[5]	2.2287307172019767e-08	0.0	0.00777525306912139	0.004525784089491935	0.002857439231593162	0.0	0.0009929970599455373	0.0011539045073732268	0.001985096015196177	0.0009319323668501056	0.0001634440569432627	0.00016232294961810112	0.0003674215873462572	0.001887412593438853	0.0016184088525687337	0.00044432415906157984	0.0012340728784977274	0.0011292611519093043
BP10MB[>5]	2.2313431268794482e-08	0.0	0.00046244843300200953	0.022210689540952445	0.011986044899684876	0.0	0.0022847275417956325	0.014370180368423462	0.0007403257166879485	0.0033696429540032114	8.582876704167575e-05	0.013295124793075956	0.00026551247896819066	0.0004003093536130109	0.002396971078775323	8.165651699528098e-05	0.0012811303362699	0.0004954629099046315
BPArm[0]	0.10438112817704677	0.019285886948928237	0.001939294334224542	0.0002644424656576838	9.20840942126522e-05	0.03370782824233174	0.0016040288666826956	0.0010619574322203818	0.003106708210870358	0.002512440336551255	0.0016147024871924992	0.00020614710159307906	0.0018675882773302958	0.0018263647377716552	0.004623067823704332	0.0009891437396642288	0.0012247045217802111	0.001007492488980975
BPArm[1]	0.0005995075686614726	5.321837428031273e-05	0.0001188821661667916	3.991048940621411e-06	3.932933916317438e-07	0.026428843005560337	2.0353695293806595e-06	2.4675051851179576e-05	0.00020567696541547775	2.527297215948465e-10	0.0001066955977277928	9.933468729425243e-05	0.0006649911120741514	0.0007903550246722091	0.0	8.570436835370288e-05	0.00018849830087388163	8.208392462078607e-05
BPArm[2]	0.00121986614530897	0.02562803919427097	0.0	8.702353393452711e-11	1.8184234864326853e-06	0.022160958516699338	0.00021919525877958534	2.8928778245999486e-05	5.591854978447941e-05	2.7619226804436978e-05	1.8828632892109454e-06	1.3652886264026164e-05	0.0002654256151949141	2.653870964422822e-05	8.233862049820572e-05	2.0572333829349532e-05	1.076956198783563e-05	5.564091843552887e-06
BPArm[3]	1.805193912796099e-08	0.0017693055619020016	0.0016889267024453147	2.3159937705941047e-06	0.0	0.01050734035903588	1.8448821094145807e-05	4.964549520991568e-06	0.000539722803832774	0.00040574847336614537	0.0003508539945863021	0.0002541183059587714	0.0014760226774802735	0.0013413050419126193	0.0001281741847850526	0.00020564718350051206	0.0005591044048128352	0.0001732400239779963
BPArm[4]	7.48850314924443e-09	0.016562257832847534	0.0005457660066167592	0.0	2.7379206585465e-07	0.0032900950423208996	1.866550144162815e-05	0.0003289929495023713	0.0018316196604791911	0.0015407040208856415	0.00018802614707979614	5.8430623030290005e-05	0.0007966427492807249	0.0005359567424556477	0.000179483297324623	5.4760014354542366e-05	0.00019655579197362273	9.742509930219967e-05
BPArm[5]	2.882308787199861e-08	0.0020464333856943994	0.0032181171680622355	0.0	1.7828287673182785e-06	0.002848365609534085	6.519471650978659e-05	3.056220238406127e-05	0.0005911291692882514	0.0007180322017302387	0.000487448359975483	0.0002234538726042956	0.0012179373754847233	0.0011726895084066768	0.00030381364464176385	0.00013062351930827277	0.0009281402861019572	0.0004659306382589534
BPArm[6]	3.2722555881603553e-09	0.007670774778816849	0.001524776884189123	3.616989793954417e-05	0.0001053854383984798	0.00019838878546380557	0.00027678908054630134	6.945995843130761e-05	0.003340058334579226	0.0020040316557333425	0.0005104905034291107	0.00022845938360482876	0.0009086208796980954	0.001103270272287773	0.00012800504983715656	0.0002533498264710943	0.00031690174972681006	0.0003482137144783337
