MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q	SBS80R
BP10MB[0]	2.10E-03	7.77E-03	4.03E-03	1.14E-04	2.67E-04	1.02E-02	1.42E-03	7.24E-04	4.16E-03	3.52E-03	3.79E-03	2.69E-03	7.14E-03	6.98E-03	3.55E-03	2.89E-03	5.30E-03	2.78E-03
BP10MB[1]	0.00E+00	2.23E-04	3.12E-03	1.13E-04	3.23E-04	4.06E-03	5.13E-04	1.04E-04	2.24E-03	3.93E-04	1.99E-03	1.99E-03	4.37E-03	4.21E-03	4.26E-04	1.58E-03	2.76E-03	1.68E-03
BP10MB[2]	0.00E+00	1.93E-03	1.28E-03	8.50E-04	2.93E-04	3.77E-04	3.53E-05	0.00E+00	1.68E-03	2.03E-03	1.45E-03	6.66E-04	2.80E-03	1.96E-03	1.31E-04	1.13E-03	1.06E-03	7.60E-04
BP10MB[3]	8.28E-10	9.09E-05	4.94E-04	3.45E-04	3.03E-04	2.39E-04	2.43E-04	6.11E-05	4.44E-04	2.60E-04	3.20E-04	3.38E-04	8.35E-04	7.22E-04	1.84E-04	4.96E-04	4.85E-04	4.83E-04
BP10MB[4]	6.52E-10	2.55E-04	9.40E-04	4.34E-04	1.65E-04	0.00E+00	1.98E-04	1.33E-05	4.52E-04	5.56E-04	3.73E-04	2.90E-04	8.26E-04	5.40E-04	3.53E-05	3.51E-04	2.13E-04	2.76E-04
BP10MB[5]	1.73E-09	0.00E+00	3.62E-04	1.90E-04	1.75E-04	0.00E+00	9.97E-05	6.70E-05	1.42E-04	1.10E-04	5.69E-05	4.46E-05	1.70E-04	2.63E-04	1.82E-04	1.51E-04	2.32E-04	2.08E-04
BP10MB[>5]	2.66E-09	0.00E+00	2.03E-04	7.38E-04	5.22E-04	0.00E+00	2.37E-04	2.77E-04	9.68E-05	7.06E-04	5.58E-05	9.71E-04	1.32E-04	1.72E-04	4.18E-04	6.17E-05	5.59E-04	2.28E-04
BPArm[0]	2.68E-04	7.24E-04	1.00E-04	3.80E-05	2.34E-05	1.31E-03	1.38E-04	6.85E-05	1.87E-04	2.23E-04	2.03E-04	6.89E-05	2.72E-04	2.94E-04	3.92E-04	2.21E-04	2.46E-04	2.36E-04
BPArm[1]	6.17E-05	4.06E-05	4.80E-05	3.99E-06	3.91E-07	4.43E-04	1.52E-06	6.92E-06	2.06E-04	2.03E-10	7.47E-05	7.08E-05	3.19E-04	3.40E-04	0.00E+00	7.98E-05	1.45E-04	7.43E-05
BPArm[2]	8.40E-05	8.47E-04	0.00E+00	5.41E-11	1.11E-06	8.96E-04	5.29E-05	1.00E-05	3.49E-05	2.23E-05	1.88E-06	1.37E-05	1.13E-04	2.24E-05	3.01E-05	2.06E-05	7.09E-06	5.56E-06
BPArm[3]	1.78E-09	6.28E-05	2.39E-04	9.33E-07	0.00E+00	4.66E-04	9.52E-06	2.63E-06	2.49E-04	5.42E-05	1.90E-04	1.70E-04	3.94E-04	4.32E-04	3.29E-05	1.50E-04	2.59E-04	1.55E-04
BPArm[4]	1.41E-09	2.04E-04	8.01E-05	0.00E+00	2.74E-07	1.59E-04	1.05E-05	2.72E-05	1.49E-04	1.85E-04	7.01E-05	2.65E-05	2.35E-04	1.42E-04	4.46E-05	4.02E-05	7.00E-05	3.66E-05
BPArm[5]	2.07E-09	1.12E-04	2.73E-04	0.00E+00	1.78E-06	2.86E-04	2.24E-05	6.64E-06	1.25E-04	6.59E-05	1.70E-04	1.40E-04	3.05E-04	2.79E-04	6.21E-05	9.98E-05	1.96E-04	1.49E-04
BPArm[6]	7.09E-10	2.04E-04	1.13E-04	1.14E-05	2.37E-05	5.57E-05	4.27E-05	1.09E-05	1.20E-04	1.64E-04	9.56E-05	6.21E-05	1.98E-04	1.40E-04	3.32E-05	6.68E-05	6.52E-05	7.02E-05
BPArm[7]	1.64E-09	8.51E-05	1.78E-04	1.32E-05	1.82E-05	1.21E-04	1.11E-05	7.78E-06	6.33E-05	5.17E-05	1.09E-04	8.89E-05	1.99E-04	1.88E-04	1.53E-05	7.42E-05	1.53E-04	1.32E-04
BPArm[8]	1.31E-09	1.63E-04	7.49E-05	3.28E-05	1.82E-05	1.65E-05	5.64E-05	9.29E-07	8.59E-05	1.28E-04	6.07E-05	5.06E-05	1.63E-04	1.29E-04	7.42E-05	5.21E-05	4.70E-05	2.70E-05
BPArm[9]	1.45E-09	4.45E-05	7.64E-05	3.27E-05	1.42E-05	3.09E-05	1.46E-05	3.58E-06	4.76E-05	4.84E-05	5.68E-05	6.71E-05	1.08E-04	1.37E-04	2.45E-05	5.95E-05	9.20E-05	6.05E-05
BPArm[10]	1.66E-09	9.65E-05	5.84E-05	4.13E-05	2.19E-06	5.42E-06	3.18E-05	0.00E+00	6.93E-05	9.43E-05	6.35E-05	4.06E-05	1.09E-04	8.01E-05	2.28E-05	2.83E-05	5.92E-05	9.97E-05
BPArm[>10 & <=20]	1.30E-09	6.48E-06	5.43E-04	2.64E-04	1.25E-04	0.00E+00	8.94E-05	2.74E-05	2.37E-04	2.13E-04	1.42E-04	1.53E-04	3.42E-04	2.50E-04	1.04E-04	2.01E-04	1.72E-04	2.46E-04
BPArm[>20 & <=30]	2.23E-09	0.00E+00	1.96E-04	1.04E-04	8.54E-05	0.00E+00	1.25E-05	3.98E-05	7.22E-05	6.39E-05	3.39E-05	7.81E-05	5.60E-05	7.03E-05	3.52E-05	1.84E-05	8.68E-05	1.29E-04
BPArm[>30]	2.41E-09	0.00E+00	1.77E-05	1.13E-04	7.84E-05	0.00E+00	4.68E-06	5.03E-05	0.00E+00	9.48E-05	0.00E+00	1.43E-04	1.16E-05	1.01E-06	3.52E-05	1.56E-05	8.03E-05	9.50E-06
CN[0]	4.87E-07	2.57E-04	7.41E-09	9.05E-09	6.18E-10	1.20E-08	7.79E-04	9.69E-06	1.95E-03	4.74E-03	1.98E-03	1.80E-09	4.00E-03	8.32E-04	1.25E-09	2.33E-03	3.55E-08	2.86E-03
CN[1]	1.29E-04	2.87E-05	2.58E-04	2.10E-04	2.86E-06	8.86E-05	1.02E-02	1.40E-47	1.60E-03	2.25E-03	2.57E-04	7.04E-04	2.65E-03	6.36E-04	6.46E-04	1.05E-03	6.62E-04	2.10E-03
CN[2]	2.18E-03	4.54E-03	1.89E-03	3.84E-03	2.19E-04	2.73E-04	5.12E-03	3.71E-04	1.61E-03	7.41E-03	1.77E-04	2.19E-03	4.14E-02	7.82E-04	3.91E-04	7.36E-04	6.34E-04	8.21E-04
CN[3]	3.22E-08	7.09E-38	3.79E-03	6.42E-03	1.22E-04	2.55E-03	0.00E+00	4.39E-04	2.61E-03	2.62E-04	1.28E-02	2.55E-03	7.83E-03	8.47E-03	5.72E-03	8.03E-03	6.00E-03	5.98E-03
CN[4]	6.98E-10	0.00E+00	7.68E-04	1.11E-03	4.88E-03	4.69E-04	0.00E+00	4.15E-04	1.16E-03	4.29E-03	8.32E-03	2.47E-03	1.86E-03	4.48E-03	2.93E-03	3.15E-03	4.13E-03	3.48E-03
CN[>4 & <=8]	2.81E-09	0.00E+00	1.04E-07	8.90E-07	5.30E-03	1.61E-09	0.00E+00	1.85E-03	2.63E-03	1.40E-47	6.84E-03	4.62E-03	4.29E-06	7.02E-08	9.57E-06	3.45E-03	1.08E-03	1.43E-03
CN[>8]	4.45E-09	4.21E-09	1.31E-09	2.74E-09	4.07E-04	2.85E-09	4.73E-10	1.38E-03	1.87E-05	6.81E-09	1.93E-07	4.69E-05	3.21E-08	8.07E-09	1.74E-08	6.13E-05	3.61E-08	5.18E-08
CNCP[0]	1.78E-04	7.90E-09	1.02E-09	6.97E-11	0.00E+00	9.92E-05	3.57E-09	0.00E+00	4.61E-05	4.56E-05	2.15E-05	0.00E+00	4.39E-05	9.92E-06	0.00E+00	2.81E-05	0.00E+00	2.85E-05
CNCP[1]	0.00E+00	2.75E-03	4.62E-03	4.78E-03	2.99E-03	2.96E-03	8.42E-03	5.24E-43	2.31E-03	9.95E-04	2.98E-03	9.45E-03	8.58E-03	5.76E-03	3.11E-03	5.65E-03	4.49E-03	3.25E-03
CNCP[2]	1.52E-09	9.25E-08	1.72E-03	9.05E-47	5.88E-03	1.48E-04	2.06E-09	5.95E-04	4.20E-03	7.39E-03	7.20E-03	2.79E-03	4.77E-03	1.83E-03	1.46E-03	1.83E-03	3.27E-03	3.92E-03
CNCP[3]	3.05E-09	1.59E-08	6.79E-04	3.08E-09	1.54E-03	7.63E-09	2.81E-08	7.60E-04	2.26E-03	9.34E-04	3.00E-04	1.73E-04	6.13E-04	4.15E-04	1.93E-04	4.73E-04	8.95E-04	1.21E-03
CNCP[4]	4.44E-09	5.44E-09	7.77E-05	8.22E-15	6.61E-04	1.59E-08	0.00E+00	4.98E-04	1.14E-03	3.07E-04	1.82E-05	1.58E-06	2.23E-04	4.00E-05	9.35E-07	6.70E-05	2.41E-04	2.90E-04
CNCP[>4 & <=8]	4.06E-09	2.30E-09	2.41E-05	0.00E+00	3.75E-04	6.01E-09	0.00E+00	7.98E-04	1.23E-03	2.01E-04	1.40E-47	5.74E-07	1.73E-04	2.04E-08	1.46E-08	8.31E-06	1.01E-05	5.64E-05
CNCP[>8]	2.14E-09	1.02E-08	5.64E-10	6.26E-09	0.00E+00	7.56E-09	1.14E-08	8.12E-04	4.56E-08	1.87E-09	7.58E-09	1.97E-07	2.00E-06	4.85E-09	0.00E+00	9.34E-08	1.76E-08	2.91E-08
OsCN[0]	1.20E-03	4.57E-47	3.26E-03	1.09E-03	4.13E-03	5.54E-04	2.92E-04	2.56E-03	1.35E-03	2.80E-03	8.89E-04	1.16E-03	1.87E-02	4.72E-03	3.50E-03	2.14E-03	1.07E-02	1.01E-02
OsCN[1]	1.90E-05	7.16E-04	1.05E-03	8.80E-04	5.48E-04	4.59E-04	1.08E-06	4.33E-04	1.90E-03	1.25E-03	1.32E-03	1.85E-03	2.39E-03	2.06E-03	7.68E-04	1.60E-03	1.67E-03	1.56E-03
OsCN[2]	1.05E-09	9.92E-06	4.86E-04	2.18E-04	2.27E-04	3.64E-04	1.78E-04	1.28E-04	2.06E-04	4.18E-04	3.05E-04	4.27E-04	6.23E-04	6.68E-04	4.11E-04	4.84E-04	4.85E-04	4.34E-04
OsCN[3]	4.46E-10	3.13E-04	3.06E-04	1.38E-04	1.90E-04	0.00E+00	2.08E-04	1.89E-05	2.63E-04	3.21E-04	2.58E-04	4.01E-04	5.29E-04	3.47E-04	9.03E-05	2.66E-04	2.24E-04	1.41E-04
OsCN[4]	1.05E-09	1.13E-06	1.00E-04	6.69E-05	5.95E-05	5.33E-05	1.17E-04	0.00E+00	1.58E-05	7.93E-05	6.84E-05	1.67E-04	1.25E-04	1.37E-04	1.17E-04	8.25E-05	9.67E-05	7.27E-05
OsCN[>4 & <=10]	1.14E-09	7.65E-05	2.42E-04	2.45E-04	5.61E-05	0.00E+00	3.12E-04	0.00E+00	2.11E-05	2.11E-04	8.69E-05	3.99E-04	1.94E-04	6.24E-05	2.48E-05	1.03E-04	9.32E-05	6.25E-05
OsCN[>10]	1.79E-09	0.00E+00	1.39E-05	1.10E-04	4.17E-11	5.13E-10	9.54E-05	6.23E-10	0.00E+00	2.10E-05	4.29E-07	9.40E-05	2.06E-05	2.09E-08	7.62E-06	1.77E-05	2.97E-05	9.99E-06
SS[<=2]	4.71E-09	1.04E-08	0.00E+00	1.72E-05	5.94E-05	3.74E-06	1.76E-06	3.58E-05	1.81E-04	4.02E-05	3.56E-05	2.31E-04	1.37E-04	9.18E-05	4.65E-05	6.95E-05	7.81E-05	5.49E-05
SS[>2 & <=3]	5.26E-09	1.59E-10	0.00E+00	5.67E-05	1.39E-04	3.64E-10	0.00E+00	1.67E-04	1.83E-03	3.88E-04	3.85E-06	1.94E-03	1.25E-03	7.76E-04	1.01E-04	1.36E-04	8.49E-05	1.76E-04
SS[>3 & <=4]	5.17E-09	0.00E+00	1.62E-08	3.67E-04	3.84E-04	5.35E-10	5.20E-05	4.66E-04	7.08E-03	1.80E-03	3.22E-08	7.81E-03	5.31E-03	3.25E-03	1.05E-03	9.23E-04	3.02E-07	8.70E-04
SS[>4 & <=5]	8.65E-11	7.15E-04	5.67E-05	3.90E-03	1.05E-03	0.00E+00	1.59E-03	1.90E-03	2.99E-03	3.39E-03	1.65E-03	8.92E-03	5.50E-03	2.32E-03	2.23E-03	5.21E-03	3.08E-03	4.93E-03
SS[>5 & <=6]	9.22E-11	7.36E-04	1.27E-03	4.47E-03	3.95E-03	3.07E-04	3.77E-03	1.58E-03	3.36E-04	5.23E-03	1.89E-03	4.48E-03	1.23E-03	2.88E-03	2.97E-03	5.57E-04	4.53E-03	1.99E-03
SS[>6 & <=7]	0.00E+00	1.03E-04	4.74E-03	4.06E-03	3.45E-03	9.23E-04	2.49E-03	1.28E-03	4.19E-03	2.71E-03	2.63E-03	1.77E-03	5.47E-03	5.95E-03	3.75E-03	4.88E-03	4.59E-03	4.27E-03
SS[>7 & <=8]	1.18E-04	1.82E-03	2.68E-03	6.36E-04	5.00E-04	2.63E-03	6.60E-04	7.82E-05	2.19E-03	2.08E-03	2.27E-03	1.92E-03	4.26E-03	3.93E-03	1.25E-03	2.02E-03	2.84E-03	2.01E-03
SS[>8]	1.24E-04	3.34E-04	0.00E+00	1.13E-09	1.54E-10	6.83E-04	0.00E+00	5.60E-11	0.00E+00	2.34E-10	5.75E-10	4.30E-09	6.89E-09	8.30E-09	0.00E+00	5.41E-09	1.27E-08	6.09E-09
NC50[<=2]	6.70E-06	0.00E+00	0.00E+00	8.82E-07	3.65E-10	8.70E-11	3.40E-10	6.19E-06	0.00E+00	3.38E-07	1.25E-06	4.10E-08	2.27E-06	8.94E-08	3.51E-08	4.43E-06	4.16E-06	1.51E-06
NC50[3]	9.56E-06	7.80E-06	0.00E+00	2.15E-06	1.06E-06	2.84E-05	5.48E-06	5.24E-06	0.00E+00	1.55E-07	0.00E+00	2.79E-06	8.73E-06	2.87E-06	5.51E-06	1.54E-06	3.93E-06	5.62E-06
NC50[4]	7.03E-06	3.94E-05	0.00E+00	2.49E-06	7.67E-07	4.97E-05	1.53E-05	3.24E-06	3.06E-11	8.34E-07	0.00E+00	4.02E-06	1.30E-07	6.24E-07	3.47E-05	9.95E-07	4.37E-06	1.46E-05
NC50[5]	1.94E-06	2.43E-05	9.93E-07	6.49E-07	3.58E-06	2.36E-05	1.03E-09	0.00E+00	3.77E-10	5.44E-06	5.33E-06	3.42E-06	4.86E-06	4.86E-06	0.00E+00	7.57E-06	4.51E-06	5.18E-06
NC50[6]	8.35E-07	2.83E-05	1.53E-05	3.49E-06	2.96E-06	2.03E-05	7.95E-11	0.00E+00	1.66E-05	1.36E-05	4.26E-05	4.95E-06	1.85E-05	2.85E-05	0.00E+00	2.91E-05	4.84E-05	2.89E-05
NC50[7]	7.50E-07	4.57E-06	1.69E-05	6.73E-06	1.40E-47	7.65E-06	8.10E-07	0.00E+00	1.91E-05	1.73E-05	4.45E-05	4.56E-06	2.68E-05	3.41E-05	2.26E-10	2.48E-05	2.89E-05	2.86E-05
NC50[>7]	1.76E-06	4.03E-07	4.99E-06	7.98E-07	0.00E+00	3.93E-06	1.95E-06	2.65E-11	7.21E-06	8.67E-06	1.63E-05	6.35E-09	6.94E-06	1.10E-05	1.54E-09	1.03E-05	2.47E-05	1.16E-05
BoChr[1]	5.32E-07	4.44E-04	1.64E-03	8.31E-04	1.31E-03	2.23E-04	6.59E-04	4.65E-04	1.45E-03	1.10E-03	3.65E-03	3.65E-03	5.79E-04	6.72E-04	5.41E-03	3.01E-02	1.75E-04	7.42E-05
BoChr[2]	6.03E-06	5.37E-04	2.50E-03	6.91E-04	1.40E-03	4.79E-05	6.65E-04	0.00E+00	4.64E-04	5.15E-04	3.39E-03	2.42E-03	4.57E-03	6.45E-03	4.05E-05	4.67E-03	6.30E-03	5.97E-05
BoChr[3]	9.76E-06	4.76E-04	1.95E-03	5.22E-04	1.90E-03	2.07E-04	1.17E-03	4.53E-05	3.92E-04	8.01E-04	2.22E-03	3.84E-03	5.09E-03	8.23E-03	1.55E-05	7.27E-03	1.11E-02	2.00E-03
BoChr[4]	2.74E-09	1.91E-04	7.78E-04	4.82E-04	5.98E-04	1.90E-04	8.52E-04	3.23E-04	4.79E-04	4.58E-04	3.32E-03	2.28E-03	1.23E-03	4.57E-03	5.78E-03	6.78E-03	5.19E-03	3.12E-03
BoChr[5]	1.42E-06	1.38E-04	6.17E-04	2.17E-03	4.40E-04	2.30E-04	5.09E-04	6.76E-04	3.66E-04	5.72E-04	5.40E-03	5.06E-03	6.44E-03	4.43E-03	1.90E-05	8.11E-03	1.22E-02	9.63E-03
BoChr[6]	3.71E-06	4.53E-04	1.01E-03	6.50E-04	1.16E-03	1.65E-04	7.76E-04	2.91E-04	5.72E-04	6.74E-04	7.69E-03	3.90E-04	8.05E-04	1.95E-02	4.88E-03	1.04E-02	9.63E-03	9.42E-03
BoChr[7]	9.48E-06	2.57E-04	7.00E-04	4.26E-04	1.17E-03	2.63E-04	2.85E-04	1.85E-04	3.93E-04	6.87E-04	7.82E-03	4.31E-03	5.93E-03	9.89E-03	4.69E-03	1.04E-02	1.01E-02	1.41E-02
BoChr[8]	3.03E-07	1.37E-07	7.60E-04	8.19E-06	2.26E-04	7.10E-06	6.13E-05	3.00E-05	1.49E-04	5.46E-05	1.11E-04	2.23E-04	1.28E-04	1.77E-06	1.21E-02	9.26E-05	1.77E-07	1.45E-07
BoChr[9]	1.39E-06	1.74E-04	2.49E-04	6.23E-04	6.40E-04	5.74E-04	6.46E-04	4.80E-05	6.49E-04	4.06E-04	1.95E-03	1.80E-04	6.80E-04	1.04E-02	2.60E-05	4.15E-03	3.82E-03	1.46E-03
BoChr[10]	3.79E-06	2.55E-04	1.50E-03	2.70E-04	5.23E-04	2.23E-04	6.32E-04	4.79E-07	5.43E-04	5.17E-04	2.61E-03	3.60E-04	3.85E-04	4.63E-03	2.99E-03	2.82E-03	2.87E-04	3.34E-03
BoChr[11]	1.70E-07	4.65E-04	5.75E-04	5.32E-04	8.21E-04	6.84E-05	1.48E-04	7.28E-04	7.06E-04	4.15E-04	7.35E-05	3.81E-04	1.50E-04	1.84E-04	5.08E-03	8.54E-03	1.04E-04	2.31E-02
BoChr[12]	1.12E-08	1.08E-04	6.91E-04	3.11E-03	1.91E-05	2.07E-04	4.85E-04	3.05E-03	1.56E-04	1.06E-03	6.40E-03	5.97E-03	1.90E-02	7.20E-03	3.56E-10	1.44E-02	5.06E-03	1.20E-02
BoChr[13]	1.07E-08	1.63E-04	7.44E-04	4.26E-04	2.54E-04	4.05E-04	6.69E-04	1.95E-05	4.81E-04	1.97E-04	2.69E-03	2.31E-04	2.48E-04	4.99E-03	2.00E-04	2.68E-03	2.19E-03	2.47E-04
BoChr[14]	1.49E-05	2.20E-04	7.97E-04	3.97E-04	4.69E-04	3.28E-04	2.76E-04	1.21E-04	4.85E-04	2.90E-04	1.27E-03	1.08E-04	4.27E-04	4.70E-03	7.38E-05	2.36E-03	3.23E-03	5.28E-04
BoChr[15]	7.95E-09	1.13E-04	4.04E-04	3.44E-04	3.56E-04	1.80E-04	1.81E-04	7.11E-05	4.64E-04	1.61E-04	8.21E-04	1.97E-04	3.40E-04	3.54E-03	3.12E-47	1.38E-03	3.00E-03	6.63E-04
BoChr[16]	6.29E-09	2.31E-04	2.99E-04	3.20E-04	2.49E-04	2.62E-04	5.90E-05	8.91E-05	3.63E-04	3.48E-04	9.13E-04	2.64E-04	4.09E-04	1.51E-03	2.12E-05	7.93E-04	1.32E-03	8.96E-04
BoChr[17]	1.93E-06	9.92E-07	4.00E-05	5.02E-04	6.33E-05	2.78E-04	2.38E-05	5.66E-04	5.19E-04	3.73E-05	2.06E-04	1.65E-04	4.11E-06	4.36E-05	1.04E-02	4.43E-03	2.31E-02	1.01E-02
