Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
0009b464-b376-4fbc-8a56-da538269a02f	2673	0.995	388.755	14.544%	62.686	10.47%	0.05693	0.993
003819bc-c415-4e76-887c-931d60ed39e7	467	1.0	26.69	5.715%	5.939	1.862%	0.02906	1.0
0040b1b6-b07a-4b6e-90ef-133523eaf412	659	0.999	82.189	12.472%	13.893	4.623%	0.04891	0.999
00493087-9d9d-40ca-86d5-936f1b951c93	493	1.0	34.997	7.099%	5.793	1.838%	0.05406	1.0
00508f2b-36bf-44fc-b66b-97e1f3e40bfa	858	0.996	175.391	20.442%	32.276	9.907%	0.10684	0.996
005794f1-5a87-45b5-9811-83ddf6924568	486	1.0	37.222	7.659%	8.266	2.578%	0.06149	1.0
005e85a3-3571-462d-8dc9-2babfc7ace21	522	1.0	49.605	9.503%	9.552	3.062%	0.05402	1.0
007aab66-2f07-459d-8952-3041d6ea24a8	461	1.0	27.927	6.058%	7.123	2.225%	0.03626	1.0
008aef39-0c97-48ce-9dfd-f12d67116c59	825	0.997	145.204	17.6%	25.559	7.669%	0.09299	0.997
008bad10-d41b-4bbb-86fa-9976ecea46b1	723	0.999	87.916	12.16%	15.126	4.95%	0.06965	0.999
00aa769d-622c-433e-8a8a-63fb5c41ea42	471	1.0	38.888	8.256%	8.675	2.731%	0.04243	1.0
00b9d0e6-69dc-4345-bffd-ce32880c8eef	486	1.0	22.371	4.603%	3.963	1.222%	0.02436	1.0
00bf0350-8c7c-4b9e-8143-13ea2dc1122f	527	1.0	44.461	8.437%	8.094	2.52%	0.06743	1.0
00c27940-c623-11e3-bf01-24c6515278c0	611	0.999	85.554	14.002%	16.12	5.149%	0.077	0.999
00db1b95-8ca3-4cc4-bb46-6b8c8019a7c7	765	0.989	221.192	28.914%	48.053	15.758%	0.13366	0.988
00db4dc2-3ec7-4ff9-9233-d69c8c8a607f	1982	0.994	338.051	17.056%	55.747	11.915%	0.05465	0.992
01658141-8398-4585-9f0f-8355dd9b0604	2422	0.988	362.063	14.949%	79.426	15.384%	0.07597	0.984
0168a2a6-c3af-4d58-a51c-d33f0fc7876d	517	1.0	43.285	8.372%	7.358	2.298%	0.05067	1.0
0176cf1d-0760-4769-a493-277f4bb7585e	975	0.994	192.063	19.699%	36.297	11.236%	0.1115	0.993
0192d529-7340-45d8-a5f0-249cbb11ca19	736	0.998	104.568	14.208%	17.982	5.743%	0.07821	0.998
01b0848c-ae36-4ade-a3da-d297b003c99f	2012	0.99	312.426	15.528%	60.617	13.787%	0.06156	0.987
01c8e465-2b4e-4519-bdef-c3ac06b43eeb	521	1.0	34.031	6.532%	5.634	1.764%	0.042	1.0
