Samples	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q	SBS80R	SBS80S
0009b464-b376-4fbc-8a56-da538269a02f	0	247	502	0	599	650	32	0	105	0	240	78	0	0	24	74	39	29	54
003819bc-c415-4e76-887c-931d60ed39e7	416	0	4	8	4	0	2	0	0	0	0	0	32	0	1	0	0	0	0
0040b1b6-b07a-4b6e-90ef-133523eaf412	135	105	4	210	74	0	32	0	5	3	28	1	23	19	1	4	10	1	4
00493087-9d9d-40ca-86d5-936f1b951c93	376	14	6	41	2	0	23	1	0	0	0	0	23	4	1	0	2	0	0
00508f2b-36bf-44fc-b66b-97e1f3e40bfa	287	95	94	11	79	0	192	0	0	0	0	33	11	0	33	0	23	0	0
005794f1-5a87-45b5-9811-83ddf6924568	424	0	0	0	15	1	14	2	0	0	0	0	30	0	0	0	0	0	0
005e85a3-3571-462d-8dc9-2babfc7ace21	358	40	24	31	5	0	29	0	0	5	0	0	30	0	0	0	0	0	0
007aab66-2f07-459d-8952-3041d6ea24a8	420	0	0	3	2	0	1	3	0	0	0	0	29	1	0	2	0	0	0
008aef39-0c97-48ce-9dfd-f12d67116c59	242	70	24	118	53	0	161	0	0	0	0	101	42	0	0	8	0	0	6
008bad10-d41b-4bbb-86fa-9976ecea46b1	241	110	71	88	27	3	86	0	0	46	0	1	38	0	6	0	6	0	0
00aa769d-622c-433e-8a8a-63fb5c41ea42	383	7	0	36	0	2	8	5	0	3	0	0	27	0	0	0	0	0	0
00b9d0e6-69dc-4345-bffd-ce32880c8eef	411	17	1	13	0	2	6	1	0	4	0	0	29	0	2	0	0	0	0
00bf0350-8c7c-4b9e-8143-13ea2dc1122f	406	33	14	0	16	0	25	0	0	0	0	0	23	8	0	0	0	0	2
00c27940-c623-11e3-bf01-24c6515278c0	313	48	6	74	13	30	43	0	0	26	0	0	12	37	3	1	0	5	0
00db1b95-8ca3-4cc4-bb46-6b8c8019a7c7	197	55	108	155	14	121	0	0	0	0	60	49	0	0	0	6	0	0	0
00db4dc2-3ec7-4ff9-9233-d69c8c8a607f	54	198	197	55	475	183	87	33	40	134	117	63	98	0	52	44	24	128	0
01658141-8398-4585-9f0f-8355dd9b0604	0	229	200	54	443	479	36	214	71	0	135	137	53	193	5	16	41	116	0
0168a2a6-c3af-4d58-a51c-d33f0fc7876d	358	28	6	58	0	3	28	4	0	3	0	0	21	6	0	2	0	0	0
0176cf1d-0760-4769-a493-277f4bb7585e	288	97	98	6	102	48	93	18	56	1	9	33	21	40	50	1	0	0	14
