MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q	SBS80R	SBS80S
BP10MB[0]	0.722375785112381	0.44576170533895493	0.0334257810770942	0.6246284341812134	0.0006257863099944862	0.0011470473579017885	0.015588435181877011	0.027786955209448932	0.06665952273074215	0.03510190972271061	0.03318685776072963	0.0010076573169930717	0.04281188366048922	0.12473574774508679	0.007365603146819338	0.08098688459376556	0.02234497819371465	0.04995208398577694	0.012187613881035075
BP10MB[1]	2.072142146062106e-05	0.001382424324039141	0.054211998754180965	0.07352044369094074	0.00019142547040246427	0.0018776694264585304	0.004426218968837931	0.0012783205963205547	0.0015226104292511444	0.002449276461420595	0.001662969351061504	0.0005569780728546902	0.0010248820082158648	0.06049732539464458	0.0012611741442247132	0.0021378562421159584	0.00309090514012496	0.0013733018426008842	0.0017819675259202316
BP10MB[2]	0.0	0.10289612278342247	0.04664740520063788	0.0021557993265362597	0.00541757925281999	0.0018724563915750168	6.522094772662968e-05	0.0	0.054229077792842875	0.03374133574136067	0.0148041585041301	0.0007567859689641648	0.011142005863366649	0.007925486697349698	0.009471992533676062	0.000473609262262471	0.00665245564057841	0.0033668257762790345	0.003925188914872706
BP10MB[3]	2.7776995104034087e-09	0.0006241291940602878	0.03126317632384598	0.0007876137550920248	0.0025274914776673542	0.003243932366094668	0.0026278736411659586	0.0005875047980226248	0.0035638935715542174	0.004030744775373023	0.0014259350482932831	0.00013729444544878787	0.0020374341775612893	0.009809537562891818	0.003048389311244468	0.0006925899715861305	0.005038479383786694	0.0023890506801626543	0.0011755286492234518
BP10MB[4]	2.720097433961399e-09	0.0030701345942378733	0.016843246147036552	0.0	0.011738578993827105	0.0013498944428702586	0.001222441239773282	9.618849106808056e-28	0.014514572992920876	0.013806506331311539	0.001558677844467553	0.0022630093028500387	0.0039132087709991305	0.0006652244560063992	0.0011785053843514958	1.1523941066116094e-05	0.0021049498053241685	0.0014300559898970278	0.0020541622155147367
BP10MB[5]	2.191904105885989e-08	0.0	0.007893742339219897	0.0	0.004471936431364156	0.0028523239096830367	0.0009682687145192403	0.001260758139542304	0.00195542774507885	0.001062912248501675	0.00033561744880898913	0.0001285638821108004	0.0006398527860842051	0.0007530903716951798	0.00045176662718893624	0.001486275690688217	0.0013450997588677182	0.0014180180752555317	0.00041426184112841895
BP10MB[>5]	2.106150109093541e-08	0.0	0.0004884534748271108	0.0	0.024445365583524108	0.010795997574459761	0.0019411320462583604	0.014949549296870828	0.0007629768174774653	0.002515341426633739	2.0416697952896357e-05	0.013873815007100347	0.00048321568449971873	0.00042219979339620296	0.0005650235125540348	0.0020974544167475027	0.0006616033964951385	0.0008067876562722631	0.0008255464321263162
BPArm[0]	0.10506223373115063	0.017389916314277797	0.0019138196056223045	0.03689069572836161	0.0002061648274660545	5.242444121467306e-05	0.0015671548954196623	0.001073850843386026	0.003316670403146418	0.0028159426644560927	0.0014148765822203674	0.00016555534741200973	0.0026068044817458068	0.0026009723779770867	0.0007390353590436723	0.0043291583868890595	0.0006963735058048883	0.0014223409377166567	0.0017203653330864438
BPArm[1]	0.0005818494264164187	3.1363578432319627e-06	0.000124197507832573	0.02514848724938929	1.799296514004567e-09	4.1096467118251214e-10	2.007124162872742e-08	2.7088402306700844e-05	0.0	0.0	1.8437450098076624e-05	1.697185976757609e-05	1.4758676244941426e-05	0.0041010162193344255	4.36075629416166e-06	1.2741131172333554e-09	1.7840002719538005e-08	1.401298464324817e-47	9.712144806401924e-06
BPArm[2]	0.0010816285009289572	0.023537233294919132	7.252839277498424e-06	0.024915436441369822	1.401298464324817e-47	2.7187845822895797e-06	0.00019802204816453728	2.4185618717496026e-05	0.000143542044533973	9.462276153842985e-05	6.375797170221631e-09	6.100883474573493e-06	0.00029961158463436276	9.983018656896547e-05	6.323915791028867e-10	0.00010240279388309403	0.0	4.004960044611039e-05	5.360364959727804e-06
BPArm[3]	2.2278907004791292e-08	0.0017132206237874925	0.0016153488883423606	0.00934438335727009	2.1003536909702802e-06	0.0	5.830365732322207e-06	1.406556346701393e-06	0.00030090126987488477	0.0004929950922684083	0.00010349962364173848	1.9538314256806187e-06	6.25556287864626e-05	0.005912156156316399	5.006760296236479e-05	9.478036109513255e-05	2.345187107948732e-05	0.0001157381018976622	0.0001312905369559303
BPArm[4]	9.066282311565033e-09	0.016388989277184008	0.0005111906689489842	0.003355190260335803	2.5755295937415212e-05	2.700504246604396e-06	1.771942552307948e-05	0.0003339887367656047	0.0018678544409340247	0.001608949187793769	0.00015465574404467387	4.5503244319888835e-06	0.0003754741240523929	0.001326381458435435	6.133129996896969e-06	0.00012464208220080763	0.00012759512226708124	8.141294971451885e-05	0.00022240944104851224
BPArm[5]	3.239078410377516e-08	0.0021125738800641613	0.0032241831810733857	0.0021504983864724637	0.0	1.1830652510980144e-07	3.8341963046543226e-05	3.383455487053766e-05	0.00039567962793489285	0.0007715002673671734	0.00022617086881037806	0.0	0.0001603885293896923	0.00421127967399002	3.3273202449792815e-05	0.0002989877233599714	0.00035819701937725765	0.0005457296739677986	0.00015673916922423814
BPArm[6]	3.7059734279448916e-09	0.007776764882728457	0.0013924701747100698	0.0002474060713689141	5.6637298821442525e-05	0.00010201548005625227	0.00019740454471516955	4.735943188279634e-05	0.0034657639754004776	0.0021040653603813606	0.00043696742819435033	0.00012496020026446785	0.000692962978804337	0.0013205070920376193	0.0002624678058657537	0.00017656135020114761	0.0004852563727463632	0.0004401815664368769	0.0003329474826796286
BPArm[7]	3.086640195881785e-08	0.0011316744494251907	0.003522103695122496	0.0005299421038944274	1.8724762921920045e-05	7.607052363076849e-05	2.3942611313998443e-06	2.6431741107919572e-05	0.0008062182438223431	0.0003639937993277631	0.00028363674817029507	1.0620174138109562e-06	0.0004272329174706258	0.0031815967744751104	0.00023317533383078625	7.268916495528188e-05	0.0014413263509612763	0.0005066285675183835	0.00034018533384816933
BPArm[8]	1.385543652476784e-08	0.0037148136546602474	0.002394654306117445	1.073145256668795e-05	0.0001204599593529565	8.189546386120128e-05	0.00024027685871782668	2.802596928649634e-47	0.002493965823523467	0.0016191053640795872	0.0002037523668752783	0.00010668534891726367	0.0005570832072192377	0.0005749075253982027	0.00011220607636197144	0.00040869360431685216	0.0001795437395441013	0.0002512841672790955	0.0002781935388497914
BPArm[9]	1.9928093204779616e-08	0.00036912297384333214	0.0026238637026108334	5.050989026585739e-05	0.00014096640570830353	8.932377690598514e-05	6.8275580504593e-05	2.961317277367925e-06	0.0012194649431921788	0.0007485328537469726	0.0005256675627879304	5.999505505315028e-05	0.00043922270579527023	0.0017637900173085796	0.00043137113664670323	0.00014163827778076681	0.0005222573856028134	0.0004052413909813042	0.0004907561151311768
BPArm[10]	1.914512398060175e-08	0.0013277527765603737	0.0021726648847106844	0.0	0.0004119831868166625	2.616218433104224e-05	0.0002162933958932278	5.376104309107177e-07	0.0025857928296318276	0.0012190041301096243	0.0002639250587895356	7.92406049388994e-05	0.00046471113918130415	0.00032670237170822134	4.9889524716491e-05	7.937704181150556e-05	0.00041378981103110525	0.0002885619041910575	0.00018949908304463747
BPArm[>10 & <=20]	9.972225442633765e-09	0.0	0.013609535256400705	0.0	0.004014603631449063	0.001077782331058188	0.0006538697204365462	6.683358010937556e-05	0.007507715096580796	0.00445835183490999	0.0006599268318468222	0.0016460978682516724	0.0013810103501269034	0.0005429884125322814	0.00026624684866874307	0.0005003779541084441	0.0022970923604844983	0.0007334898343287933	0.0004242063587605571
BPArm[>20 & <=30]	4.216805468137963e-08	0.0	0.0018409579136641695	0.0	0.0029072555055790874	0.0016617612719346652	3.9483246461600174e-05	0.0006721474043661146	0.0005656807008745091	0.0004280634798006044	0.00012196219584666324	0.0003859608998585507	5.068850042690087e-05	0.00011063937222957065	4.9188285120180806e-05	0.00010761655454589736	0.0008479798469397793	0.00017118729526430343	9.041781786095271e-05
BPArm[>30]	6.976250662482641e-08	8.138488283293554e-10	3.670262871310115e-05	0.0	0.0030788374110125006	0.0011328844866056898	7.239755834800299e-06	0.0028081968578044323	8.827968122204766e-07	2.5145028517954414e-05	1.8570377142168582e-06	0.0012368125752571046	2.7403925173530298e-08	2.8992221857038203e-05	8.67536394923718e-05	1.9505013005982618e-06	2.4250135036254507e-05	5.391660786244756e-06	3.8937539507344354e-05
