Samples	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q	SBS80R	SBS80S	SBS80T
0009b464-b376-4fbc-8a56-da538269a02f	0	209	462	586	0	633	36	0	130	0	209	56	12	128	23	19	43	70	21	36
003819bc-c415-4e76-887c-931d60ed39e7	416	0	6	4	6	0	1	1	0	0	0	0	30	0	0	2	1	0	0	0
0040b1b6-b07a-4b6e-90ef-133523eaf412	143	112	6	72	199	0	30	0	4	2	30	3	24	0	10	1	9	4	2	8
00493087-9d9d-40ca-86d5-936f1b951c93	379	13	8	2	40	0	21	2	0	0	0	1	23	0	1	1	0	0	0	2
00508f2b-36bf-44fc-b66b-97e1f3e40bfa	293	88	106	85	0	0	177	0	0	0	0	34	23	0	0	31	0	0	0	21
005794f1-5a87-45b5-9811-83ddf6924568	417	0	0	15	0	0	13	3	0	0	0	0	27	11	0	0	0	0	0	0
005e85a3-3571-462d-8dc9-2babfc7ace21	362	40	25	6	24	0	27	0	1	6	0	0	29	2	0	0	0	0	0	0
007aab66-2f07-459d-8952-3041d6ea24a8	419	0	0	2	4	0	1	5	0	0	0	0	27	0	0	0	0	2	1	0
008aef39-0c97-48ce-9dfd-f12d67116c59	249	67	28	60	106	0	148	0	0	0	0	98	40	3	0	0	19	7	0	0
008bad10-d41b-4bbb-86fa-9976ecea46b1	248	108	74	26	68	5	80	0	0	45	0	2	38	0	17	6	0	0	0	6
00aa769d-622c-433e-8a8a-63fb5c41ea42	384	8	0	0	34	3	7	5	0	3	0	0	25	1	0	0	0	0	1	0
00b9d0e6-69dc-4345-bffd-ce32880c8eef	411	18	1	0	10	2	6	2	0	4	2	0	28	0	0	2	0	0	0	0
00bf0350-8c7c-4b9e-8143-13ea2dc1122f	403	30	15	17	2	0	23	0	0	0	0	0	24	10	0	0	3	0	0	0
