MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q	SBS80R	SBS80S	SBS80T
BP10MB[0]	0.7300365626811981	0.4762227699160576	0.04779363897512932	0.0004498026594801069	0.6169708913564682	0.0008023194060882577	0.017235063251553502	0.029013987509533764	0.0624190294847358	0.041895181172295876	0.02446857831722212	0.006586363648774455	0.050017053700628845	0.025127441360885114	0.07858817751170818	0.007965439812995917	0.013771283725105084	0.08235870664013291	0.057721847675657224	0.0231859348004543
BP10MB[1]	1.1787064124746393e-09	0.004586113327341156	0.06003576626535505	0.0003261902212910426	0.08142932577058673	0.002927872572654451	0.0038154657099391896	0.0012034797319880664	0.0028320052189519627	0.0026354562912456457	0.002587992652355524	0.00347127937420737	0.008703390672600335	0.010089717877983413	0.011060870170367706	0.0021943461176128537	0.0014461615491472913	0.001609206064974971	0.00719498108257544	0.005361597711151376
BP10MB[2]	0.0	0.1011511399578012	0.050700943432748315	0.006335185799071041	0.0011216488067103114	0.0010774955252418296	0.00085469586403633	0.0	0.05482675047591329	0.03766000499948859	0.013348478013423431	0.0011373673476192054	0.010279690093926076	0.013930752537400792	0.001966723498171632	0.00896748494842675	0.0026252518361941156	0.0007252645589323947	0.0031161692633759255	0.006397240445803756
BP10MB[3]	2.2542220579069292e-09	0.0006535462389332025	0.03182447068393231	0.002661552704521455	0.0008586190300411545	0.003701068247828516	0.002325854704023271	0.0005393789967274642	0.004967543104139622	0.004478146689070855	0.0009171339046038219	0.0004276686400407925	0.0019902566614294535	0.004890761826316563	0.00487042445324457	0.002006369821014705	0.000620938745348667	0.0004529106734321875	0.001940510459869653	0.004253318775728872
BP10MB[4]	3.085434725491609e-09	0.0027563052706955204	0.015859065386466684	0.012178640319907572	0.0	0.0012480495843059294	0.000976211173932029	0.0	0.014882333325222135	0.014833062435500324	0.00122093020602847	0.0027880349740735254	0.00247444507839468	0.0071328174777967	0.00015675394108257022	0.0014183019891657977	0.0012723064848350419	4.203895392974451e-47	0.0004557321298716488	0.0019751704859457676
BP10MB[5]	2.1664121270248416e-08	0.0	0.007058882552664727	0.004716219216643367	0.0	0.002811309189415283	0.0007072120981289247	0.0012347578514891211	0.0025379879414686004	0.0011822948872350024	4.7758984910615256e-05	0.00011819174641918104	0.000542343472937894	0.0017708009393452783	0.0012919757775716788	0.0003389579464419512	6.475509262713785e-05	0.0017466816290772158	0.0009633398136060123	0.0008902328511301505
BP10MB[>5]	2.1887173972112706e-08	0.0	0.0002248805685667321	0.024531350135803223	0.0	0.01161578448722139	0.0016318524663890344	0.014740614132024347	0.0011230524235624649	0.002319057376626006	3.724563866853714e-05	0.013513788941691019	0.0003242614974012525	0.0011203352489062368	0.0004854036029428244	0.00018500066013075412	0.0012172223637389834	0.0016831659630088325	0.0005673275855323823	0.00017812844136699368
BPArm[0]	0.10611019432544708	0.019286309462040664	0.002027103081036331	0.0002286230299205272	0.03544483757577836	4.684068108278351e-05	0.0016927964511082318	0.0011509197016857798	0.0031330483057354286	0.003143748036818579	0.001275048024201399	0.0001559026361503657	0.002257840363536002	0.0024995895629484725	0.0010641617911824142	0.0007129156990963725	0.0020655581088400154	0.0044807549068390466	0.0010921659648201398	0.0011504224921312053
BPArm[1]	0.0005526066367409043	0.0004043924826419243	0.00013442908660589835	1.5668407993274513e-09	0.026654782674741	4.0208793294915776e-09	1.2915985216821468e-06	1.8360089727304275e-05	0.0	1.3674404364394377e-09	6.989553799996884e-05	0.00010317252840557068	0.0002875424126902715	0.0006195867420510126	0.0009684659030389042	2.603007622791864e-05	3.5795797970195055e-08	0.0	0.000677140009848003	0.00044187292966967105
BPArm[2]	0.0012084198188141216	0.025454384526237845	0.0	3.827195449446208e-11	0.023561474891612307	2.688522298899265e-06	0.00016735721479591354	2.700860480796763e-05	3.0625162180513145e-05	0.00010519208534629065	1.6770280067919252e-05	4.028521361760795e-06	0.0004941739486866936	5.179558264671869e-06	6.743712361597432e-05	1.0017591994255782e-05	9.90794089673841e-06	9.76164349662273e-05	5.2219142359568594e-05	2.0948113160557114e-07
