MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q	SBS80R	SBS80S	SBS80T
BP10MB[0]	2.28E-03	8.25E-03	4.08E-03	1.67E-04	1.01E-02	2.73E-04	1.49E-03	6.61E-04	3.31E-03	3.88E-03	4.01E-03	3.15E-03	8.44E-03	6.49E-03	7.85E-03	2.38E-03	2.43E-03	3.61E-03	6.44E-03	5.26E-03
BP10MB[1]	1.18E-09	2.54E-03	3.22E-03	1.34E-04	4.64E-03	2.97E-04	6.47E-04	1.08E-04	5.69E-04	3.25E-04	1.77E-03	2.13E-03	3.54E-03	3.62E-03	3.74E-03	1.54E-03	3.02E-04	3.49E-04	3.00E-03	2.69E-03
BP10MB[2]	0.00E+00	2.82E-03	1.57E-03	7.95E-04	5.23E-04	2.65E-04	8.48E-04	0.00E+00	1.45E-03	2.20E-03	1.72E-03	3.52E-04	2.87E-03	1.91E-03	7.64E-04	1.04E-03	1.17E-03	2.92E-04	8.25E-04	9.27E-04
BP10MB[3]	1.01E-09	1.27E-04	5.98E-04	3.37E-04	1.95E-04	2.83E-04	2.62E-04	5.38E-05	5.49E-04	2.74E-04	1.84E-04	2.94E-04	5.98E-04	6.69E-04	5.71E-04	3.82E-04	1.64E-04	1.59E-04	5.62E-04	4.82E-04
BP10MB[4]	8.85E-10	3.09E-04	8.92E-04	5.08E-04	0.00E+00	1.61E-04	1.93E-04	0.00E+00	3.68E-04	4.99E-04	2.90E-04	2.70E-04	6.24E-04	1.10E-03	9.28E-05	3.78E-04	4.78E-04	2.40E-47	3.02E-04	3.32E-04
BP10MB[5]	1.78E-09	0.00E+00	3.57E-04	2.05E-04	0.00E+00	1.57E-04	9.72E-05	5.40E-05	1.83E-04	1.12E-04	2.67E-05	3.52E-05	2.22E-04	3.55E-04	2.28E-04	1.04E-04	3.03E-05	2.29E-04	2.29E-04	2.11E-04
BP10MB[>5]	2.54E-09	0.00E+00	1.49E-04	6.06E-04	0.00E+00	4.70E-04	2.21E-04	2.28E-04	1.80E-04	3.37E-04	2.82E-05	9.07E-04	1.56E-04	5.39E-04	2.88E-04	1.07E-04	6.28E-04	4.00E-04	2.91E-04	1.34E-04
BPArm[0]	2.96E-04	7.86E-04	1.17E-04	3.66E-05	1.43E-03	1.91E-05	1.48E-04	7.50E-05	1.82E-04	2.50E-04	1.48E-04	8.01E-05	3.42E-04	3.42E-04	2.55E-04	1.72E-04	3.54E-04	3.95E-04	2.42E-04	2.25E-04
BPArm[1]	5.66E-05	2.74E-04	5.56E-05	5.95E-10	7.29E-04	2.66E-09	1.27E-06	5.98E-06	0.00E+00	8.94E-10	6.99E-05	6.94E-05	1.40E-04	3.32E-04	5.28E-04	2.60E-05	1.53E-08	0.00E+00	4.76E-04	3.47E-04
BPArm[2]	9.03E-05	9.49E-04	0.00E+00	3.83E-11	1.02E-03	2.69E-06	4.25E-05	7.94E-06	2.16E-05	3.66E-05	1.68E-05	4.03E-06	2.28E-04	5.17E-06	4.77E-05	1.00E-05	5.84E-06	4.42E-05	3.78E-05	2.09E-07
BPArm[3]	1.95E-09	2.75E-04	2.62E-04	1.03E-06	5.54E-04	0.00E+00	1.59E-05	4.02E-06	4.06E-05	5.72E-05	1.64E-04	1.93E-04	3.16E-04	3.65E-04	4.30E-04	1.20E-04	1.30E-05	3.90E-05	3.18E-04	2.77E-04
BPArm[4]	1.61E-09	2.66E-04	9.72E-05	0.00E+00	1.71E-04	0.00E+00	4.51E-05	2.50E-05	1.58E-04	1.85E-04	8.52E-05	5.68E-05	3.33E-04	1.25E-04	1.48E-04	4.18E-05	5.83E-05	4.52E-05	6.87E-05	7.77E-05
BPArm[5]	2.27E-09	1.60E-04	2.84E-04	0.00E+00	2.76E-04	3.24E-07	2.65E-05	7.06E-06	5.99E-05	7.56E-05	1.16E-04	1.53E-04	2.43E-04	2.11E-04	2.70E-04	1.12E-04	1.22E-05	5.42E-05	1.91E-04	1.60E-04
BPArm[6]	8.51E-10	2.35E-04	1.23E-04	9.12E-06	4.39E-05	1.38E-05	5.81E-05	1.16E-05	1.36E-04	1.78E-04	9.38E-05	5.23E-05	2.13E-04	8.45E-05	1.63E-04	6.04E-05	7.33E-05	3.81E-05	7.92E-05	7.93E-05
BPArm[7]	1.65E-09	9.08E-05	1.68E-04	1.38E-05	1.06E-04	1.80E-05	1.81E-05	5.96E-06	6.27E-05	5.69E-05	7.31E-05	9.18E-05	1.41E-04	1.74E-04	2.00E-04	8.34E-05	3.65E-05	2.24E-05	1.05E-04	1.41E-04
BPArm[8]	1.44E-09	1.79E-04	9.95E-05	2.60E-05	6.41E-06	1.78E-05	6.75E-05	1.54E-06	7.74E-05	1.36E-04	5.94E-05	2.59E-05	1.31E-04	8.38E-05	9.55E-05	2.69E-05	8.75E-05	7.52E-05	5.76E-05	6.37E-05
BPArm[9]	1.61E-09	4.71E-05	6.80E-05	2.22E-05	1.94E-05	1.69E-05	1.79E-05	1.25E-06	4.98E-05	4.57E-05	6.23E-05	4.60E-05	7.46E-05	1.14E-04	1.57E-04	6.22E-05	6.20E-05	3.05E-05	7.57E-05	7.53E-05
BPArm[10]	1.81E-09	1.09E-04	8.13E-05	3.88E-05	1.80E-07	3.90E-06	4.02E-05	0.00E+00	6.23E-05	1.10E-04	5.12E-05	3.44E-05	8.17E-05	8.33E-05	3.80E-05	5.33E-05	4.80E-05	2.10E-05	4.95E-05	6.33E-05
BPArm[>10 & <=20]	1.53E-09	1.83E-05	5.44E-04	2.70E-04	0.00E+00	1.08E-04	7.37E-05	1.27E-05	2.17E-04	1.88E-04	1.40E-04	1.52E-04	2.75E-04	5.78E-04	1.13E-04	1.98E-04	1.25E-04	1.01E-04	2.51E-04	3.21E-04
BPArm[>20 & <=30]	2.46E-09	0.00E+00	1.58E-04	8.26E-05	0.00E+00	7.11E-05	9.10E-06	4.05E-05	8.80E-05	5.21E-05	2.54E-05	5.46E-05	8.50E-05	1.58E-04	5.85E-05	4.06E-05	3.39E-05	1.05E-05	8.81E-05	1.13E-04
BPArm[>30]	2.51E-09	0.00E+00	8.06E-06	1.03E-04	0.00E+00	7.55E-05	1.85E-06	4.42E-05	0.00E+00	8.70E-06	0.00E+00	1.27E-04	2.41E-06	5.02E-05	1.75E-05	0.00E+00	7.86E-05	2.61E-06	3.23E-05	3.72E-06
CN[0]	2.23E-06	6.77E-04	2.56E-09	8.57E-10	1.39E-08	1.40E-47	7.29E-04	5.77E-09	2.37E-03	4.69E-03	7.78E-09	7.70E-06	3.64E-03	3.25E-08	2.83E-03	1.97E-03	3.77E-03	2.68E-09	1.35E-08	7.20E-09
CN[1]	1.17E-04	6.67E-05	2.66E-04	1.83E-04	2.50E-05	0.00E+00	9.42E-03	0.00E+00	1.97E-03	2.15E-03	4.03E-47	1.09E-03	2.34E-03	4.16E-04	8.13E-04	1.74E-03	1.06E-03	2.41E-04	8.49E-06	7.60E-04
CN[2]	2.05E-03	4.77E-03	1.54E-03	3.32E-03	1.82E-04	1.46E-04	5.73E-03	3.73E-04	9.84E-04	7.34E-03	3.06E-04	2.00E-03	3.85E-02	8.89E-04	9.83E-04	3.08E-03	1.94E-03	2.72E-05	4.34E-04	2.61E-04
CN[3]	9.81E-09	8.78E-04	3.74E-03	6.82E-03	2.21E-03	5.05E-05	0.00E+00	3.82E-04	2.98E-03	5.26E-04	1.32E-02	2.51E-03	4.91E-03	4.52E-03	9.54E-03	6.76E-03	8.12E-03	5.47E-03	5.14E-03	5.05E-03
CN[4]	7.92E-10	0.00E+00	6.30E-04	7.07E-04	1.44E-04	4.66E-03	0.00E+00	4.68E-04	1.01E-03	3.85E-03	7.94E-03	5.43E-04	9.55E-04	4.57E-03	3.16E-03	2.98E-03	4.39E-03	2.89E-03	4.18E-03	3.87E-03
CN[>4 & <=8]	3.68E-09	0.00E+00	1.91E-04	2.58E-08	7.79E-09	5.82E-03	0.00E+00	1.90E-03	2.83E-03	1.49E-07	4.99E-03	7.55E-04	2.60E-07	5.85E-03	1.78E-07	2.99E-03	2.84E-03	3.57E-07	3.12E-04	2.08E-03
CN[>8]	4.51E-09	3.00E-09	1.35E-09	1.30E-07	1.80E-09	3.45E-04	1.08E-09	1.77E-03	7.59E-05	3.84E-09	3.67E-08	2.25E-08	5.94E-10	6.33E-05	5.25E-09	1.58E-08	2.60E-08	9.02E-09	1.58E-08	3.92E-08
