MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q	SBS80R	SBS80S	SBS80T	SBS80U
BP10MB[0]	0.7345348751544952	0.4679917177557945	0.04925815685193501	0.0017008356614218022	0.6354722154140472	0.0008752325630060268	0.030289331022650003	0.016096153534724482	0.06177391326404177	0.04119848834028226	0.019941352744033736	0.04750016214956263	0.004225182199813068	0.035783346812946745	0.01107158493361645	0.04766199361089798	0.009302777867649327	0.07643771658651531	0.0729361688501266	0.030296353816986123	0.05920105535275452
BP10MB[1]	0.0	0.010144088548281189	0.06325316150207072	0.0003444242470141035	0.0717232988961041	0.0025850824161898632	0.0009476905166229761	0.0033633724328731773	0.003520307053695433	0.0027873910282505674	0.002218504584450137	0.001785673454278367	0.000640205717063509	0.003433857639334647	0.0020979153108783067	0.004065256495391622	0.0026082733733346687	0.002741720713383984	0.03717321998865377	0.00669286064429798	0.007319781294904845
BP10MB[2]	0.0	0.10151811856776476	0.04602521079592407	0.006098897129195393	0.0029988219428647447	0.001202373160776915	0.0	5.049011022059114e-05	0.05561509729363024	0.036792100055026825	0.01126221127648166	0.007611626894213259	0.0016941952022187263	0.01760592138685752	0.0023699292785364806	0.001368645720249334	0.008408003129129699	0.0004564372745892913	0.011812065856793197	0.004603863815809746	0.003066070566446297
BP10MB[3]	3.843345197651615e-09	0.000743414988499893	0.031477460786700245	0.002795849977915168	0.0006645038512942847	0.0034006960282567888	0.0006185029327753	0.0020166975358649353	0.005656354337746031	0.004420080831628184	0.0011492241039023675	0.0011781487956148773	8.051723219978158e-05	0.004191269322475937	0.0013851746521686436	0.004459781707446382	0.0020649908174894542	0.00030251609233240893	0.005546299019844127	0.0040094038941917666	0.0016143837136041838
BP10MB[4]	4.570793428193553e-09	0.0031160928506869822	0.015046513243578374	0.011145478429389186	0.0	0.0014972575628527808	6.546031800098717e-06	0.000983442235554719	0.014925514385104179	0.01433766622794792	0.0016644664995752122	0.002003493794708504	0.002954433657525044	0.007857646201757546	0.0009654189922684963	0.0014277148218253878	0.0009216432680396736	2.1019147243350745e-05	0.00259142130278633	0.0019194137389213423	0.0007244277561767376
BP10MB[5]	2.304596648960988e-08	0.0	0.007194798826240003	0.004476963372239634	0.0	0.002873405363807251	0.0012760000590787968	0.0007702210005924925	0.0026758596082981966	0.00131261641614401	0.0002489562955815927	0.0004650870968135123	0.0001489580939245627	0.0013468987269755791	0.00044758837844710797	0.0013736512682822877	0.00022664201661953806	0.0014432783588927123	0.0004990722326522246	0.0007262757114450835	0.0011572515761920953
BP10MB[>5]	2.2497898354290057e-08	0.0	0.00034585181390866637	0.02464597184211016	0.0	0.010626157548977062	0.014631218654103577	0.001433689710830528	0.0011358823093178217	0.002910552683674723	0.00027976990677416327	0.00037883687781764763	0.013945686621830038	0.0006464968807165406	0.0022382316645234825	0.00042279454535425616	0.0005508106205968489	0.0008733236818525514	0.0008954745343180548	0.0008179479531781197	0.0011514141501155351
BPArm[0]	0.1072896496206522	0.018357827868312596	0.0020073244709942627	0.00021750538597163326	0.037873527938500046	6.243992073009186e-05	0.0011588305596486386	0.001720105944012225	0.003246024153060796	0.0031076324156310876	0.0011442905431125314	0.0022685507402325574	0.00012853394242319697	0.001826272206819044	0.0016986908033144118	0.0015293234067584325	0.0006728342480356763	0.004062801625877949	0.0025280924909748138	0.0026491462043829995	0.0008453921206973523
BPArm[1]	0.0005352369377015975	0.0017471012034191702	0.0002160591076277285	1.8141711510821778e-09	0.02477699412716902	2.8519045525143836e-09	2.6897643550998218e-05	1.326870050666951e-08	0.0	0.0	2.6013366878032684e-05	4.904981453587531e-05	1.0648850012806577e-06	3.000257626482039e-05	7.799658821028289e-08	3.0523489695042375e-05	2.5643228980243294e-08	1.2875026413894374e-08	0.002625464371560877	0.0006935714269891946	0.0010939209399265337
BPArm[2]	0.0010021314409017635	0.02377588539617136	2.3344090038790454e-09	2.346108667552471e-06	0.026019986552997806	6.473253544925229e-07	1.4910954729305814e-05	0.0002097602596428616	0.00028472259612307484	0.00011638338747355144	2.09447641452698e-10	0.0002605452325484947	2.0218654128711933e-09	8.614792561136398e-05	9.642930365316716e-09	2.7079381272901924e-18	6.366647660094315e-06	0.00011301307029611962	0.00025530851709063994	6.819864502176643e-06	2.257721566035542e-05
BPArm[3]	2.39756380882028e-08	0.002858926683647951	0.002470785601111345	5.109105259180069e-06	0.00902788157559712	0.0	3.6143333828864145e-06	1.2972440899261528e-11	0.00024312065144840744	0.00046630102297442024	0.00011168977439865557	0.0002138288693310386	2.6313508670317527e-05	0.00020125196548178792	3.674925807857221e-06	0.00017366668385886185	0.0001290394970779829	5.538281858996186e-05	0.0035761399010851846	0.0005864661702094764	0.0008924174416041808
BPArm[4]	9.157476412724463e-09	0.01644053471952475	0.00076898616811377	2.809615107253194e-06	0.0033594982023350895	0.0	0.00035296806553105866	3.698497183739491e-05	0.0016975117682886775	0.0016420784142387034	0.0001450057438916311	0.0005934731479548816	9.864523308351636e-06	0.00047484065703429224	6.063242186428397e-05	9.111689374549314e-05	3.5537672632321995e-05	0.00010871870741539169	0.001316516332590254	0.0001962279776607545	0.0002942423632293867
BPArm[5]	3.330198055762068e-08	0.002645728200150188	0.004004684359533712	1.3865131904822193e-08	0.0020632979774381967	3.9551997906528415e-06	3.964146894875897e-05	2.4929569972300668e-05	0.00045325624343624276	0.0006587781755727739	0.0002805314583294468	0.00023384068382057422	4.32190668586685e-09	0.0003814091025513697	8.014680628548376e-05	0.0003130436504036993	0.00012511689406892402	0.00018501013100092223	0.002464859923348968	0.0005618559519515287	0.0011160834836217504
BPArm[6]	3.98766571318987e-09	0.00776723820483312	0.0016534763554227538	5.8430383887753123e-05	0.00017910153168713806	4.883243940412285e-05	6.040844976496373e-05	0.00017563247312921249	0.003183275297342334	0.0023084074969392534	0.0003192212749200607	0.000540622340315568	0.0003356756251309852	0.0008707558402307341	0.00025416747612325705	0.0009514223369478714	0.00013797697667200737	0.00011986379980953643	0.0011139130817969089	0.0003149640774562812	0.00048128785949302255
BPArm[7]	3.360485566705762e-08	0.0013684043503599242	0.003974810420436642	2.07739086181391e-05	0.00047416007075298697	0.00011517865404130134	3.265705085190973e-05	5.549091007113205e-06	0.0008399172546342016	0.0003042004165126855	0.00021176443119848897	0.00022815914366304923	5.835980738666535e-09	0.0012362078417152134	0.00013710661894720033	0.000951810626335714	0.00023351013651563336	0.00013905412860520271	0.0013349593337386523	0.0015653382355769452	0.0005163680883794086
BPArm[8]	1.3841732317554367e-08	0.0035663100925739854	0.0024291575550250853	0.00014626681110030404	1.1054605711251497e-05	8.525129720094781e-05	1.1536401143530383e-06	0.0002494983852981059	0.002427733516014996	0.001857183145845056	0.0001460957290726128	0.00034445589237497076	0.00017218467524799053	0.0007203193927057327	0.00032242951367152274	0.00040681488557225975	6.364940127241425e-05	0.0004728145530586403	0.0005754182615032732	0.0001080679319689959	0.0002454793531200039
BPArm[9]	1.749499994652126e-08	0.000455254013359081	0.002802219848963432	0.00018177148245740682	5.906176394617546e-05	8.051029563368672e-05	5.254528122122792e-06	1.7406518975064955e-05	0.0013055096495340024	0.0007012515126184838	0.0003449401439954158	0.0001739177513737741	9.836182240995584e-05	0.0011788286443472796	0.00027099785329014024	0.0009170362024761181	0.00046775421789789105	0.0001087221107991354	0.0006103393714867167	0.00033273731988948897	0.0002718800930006182
BPArm[10]	2.2818929944490306e-08	0.0013665334082907067	0.002077218748163432	0.0003721627554477891	5.295690061757341e-07	3.2483514936814116e-05	1.401298464324817e-47	0.0001464768951676909	0.002509975632710848	0.001300479657111282	0.0002394252185491652	0.0002794646460279182	0.00017241628356925886	0.0006335029106810452	0.00014926364152872295	0.000246430397100994	3.739189268344489e-05	8.285103412958961e-05	0.00042673053615772006	0.0003882135922559371	0.00035584832376798657
