MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q	SBS80R	SBS80S	SBS80T	SBS80U
BP10MB[0]	2.83E-03	7.88E-03	5.09E-03	8.62E-04	9.54E-03	2.32E-04	7.64E-04	1.42E-03	3.87E-03	4.08E-03	3.58E-03	6.73E-03	1.31E-03	5.87E-03	2.34E-03	4.83E-03	2.78E-03	3.52E-03	1.18E-02	7.99E-03	7.81E-03
BP10MB[1]	0.00E+00	3.79E-03	3.98E-03	1.17E-04	4.78E-03	2.97E-04	1.10E-04	5.55E-04	5.99E-04	3.05E-04	1.17E-03	1.22E-03	1.66E-04	1.47E-03	5.56E-04	1.59E-03	1.35E-03	4.83E-04	6.62E-03	3.01E-03	3.16E-03
BP10MB[2]	0.00E+00	3.13E-03	1.52E-03	8.24E-04	9.33E-04	2.90E-04	0.00E+00	2.85E-05	1.60E-03	2.46E-03	1.72E-03	2.54E-03	3.88E-04	2.73E-03	7.90E-04	4.87E-04	9.66E-04	1.79E-04	2.88E-03	8.32E-04	1.24E-03
BP10MB[3]	1.23E-09	1.59E-04	6.93E-04	3.81E-04	1.82E-04	2.82E-04	6.94E-05	2.53E-04	5.40E-04	2.52E-04	2.94E-04	4.78E-04	2.87E-05	6.71E-04	4.23E-04	6.18E-04	4.12E-04	1.00E-04	9.06E-04	4.89E-04	5.42E-04
BP10MB[4]	1.20E-09	3.51E-04	1.02E-03	6.08E-04	0.00E+00	2.11E-04	6.55E-06	1.98E-04	4.25E-04	6.30E-04	3.88E-04	5.41E-04	2.96E-04	1.31E-03	4.08E-04	3.30E-04	2.21E-04	2.10E-05	7.41E-04	3.01E-04	3.72E-04
BP10MB[5]	2.30E-09	0.00E+00	3.88E-04	2.34E-04	0.00E+00	1.68E-04	6.92E-05	1.05E-04	2.01E-04	1.19E-04	9.26E-05	1.94E-04	4.12E-05	3.23E-04	1.99E-04	2.40E-04	1.60E-04	1.98E-04	1.92E-04	1.75E-04	2.65E-04
BP10MB[>5]	3.42E-09	0.00E+00	1.60E-04	7.83E-04	0.00E+00	5.46E-04	3.21E-04	2.14E-04	1.99E-04	4.25E-04	1.26E-04	2.22E-04	1.06E-03	3.89E-04	6.91E-04	2.91E-04	5.51E-04	2.04E-04	5.15E-04	5.52E-04	5.11E-04
BPArm[0]	3.65E-04	6.52E-04	1.32E-04	4.03E-05	1.41E-03	1.87E-05	7.30E-05	1.31E-04	2.06E-04	2.56E-04	2.03E-04	3.46E-04	4.89E-05	2.75E-04	3.44E-04	2.88E-04	2.05E-04	3.66E-04	3.52E-04	1.25E-03	2.61E-04
BPArm[1]	6.25E-05	7.84E-04	7.04E-05	7.30E-10	1.00E-03	1.45E-09	7.86E-06	6.60E-09	0.00E+00	0.00E+00	2.60E-05	4.90E-05	7.80E-07	2.91E-05	4.60E-08	3.05E-05	1.45E-08	1.29E-08	7.43E-04	4.43E-04	6.21E-04
BPArm[2]	9.18E-05	1.12E-03	2.33E-09	2.35E-06	1.23E-03	6.47E-07	6.62E-06	3.72E-05	7.14E-05	3.27E-05	1.53E-10	1.50E-04	2.02E-09	5.16E-05	8.27E-09	2.71E-18	6.37E-06	4.83E-05	1.59E-04	6.82E-06	1.38E-05
BPArm[3]	2.06E-09	4.28E-04	3.46E-04	1.61E-06	5.68E-04	0.00E+00	2.55E-06	1.30E-11	4.03E-05	6.77E-05	9.50E-05	1.34E-04	1.34E-05	1.32E-04	2.59E-06	1.17E-04	8.97E-05	1.96E-05	6.91E-04	3.36E-04	3.65E-04
BPArm[4]	1.52E-09	4.24E-04	1.10E-04	2.81E-06	2.28E-04	0.00E+00	2.88E-05	1.51E-05	1.65E-04	1.86E-04	9.54E-05	2.79E-04	9.86E-06	1.65E-04	2.04E-05	3.62E-05	3.23E-05	3.66E-05	2.95E-04	7.45E-05	9.90E-05
BPArm[5]	2.27E-09	1.85E-04	3.54E-04	1.39E-08	2.85E-04	3.96E-06	8.26E-06	9.05E-06	6.14E-05	7.72E-05	1.00E-04	1.15E-04	4.25E-09	1.42E-04	4.82E-05	1.15E-04	1.01E-04	5.21E-05	4.39E-04	1.69E-04	1.86E-04
BPArm[6]	8.99E-10	2.78E-04	1.36E-04	2.51E-05	6.65E-05	1.37E-05	1.15E-05	2.66E-05	1.37E-04	1.83E-04	9.40E-05	1.97E-04	6.77E-05	1.97E-04	9.22E-05	1.31E-04	4.67E-05	3.65E-05	2.30E-04	6.53E-05	1.10E-04
BPArm[7]	1.85E-09	1.07E-04	2.06E-04	1.02E-05	1.05E-04	2.02E-05	7.67E-06	3.54E-06	6.27E-05	5.59E-05	7.10E-05	8.50E-05	4.19E-09	1.64E-04	5.35E-05	1.65E-04	8.77E-05	3.69E-05	2.42E-04	1.44E-04	1.07E-04
BPArm[8]	1.78E-09	1.92E-04	1.01E-04	3.27E-05	1.11E-05	1.71E-05	1.15E-06	6.13E-05	8.21E-05	1.50E-04	6.12E-05	1.25E-04	3.37E-05	1.51E-04	1.15E-04	8.08E-05	2.31E-05	6.30E-05	1.58E-04	2.90E-05	8.97E-05
BPArm[9]	1.79E-09	5.61E-05	8.25E-05	3.37E-05	2.04E-05	1.53E-05	3.14E-06	8.89E-06	5.29E-05	5.03E-05	5.25E-05	5.33E-05	2.77E-05	1.33E-04	6.16E-05	1.43E-04	8.12E-05	4.61E-05	1.08E-04	6.32E-05	9.23E-05
BPArm[10]	2.30E-09	1.14E-04	6.97E-05	3.98E-05	5.30E-07	1.34E-05	1.40E-47	3.18E-05	8.08E-05	1.15E-04	5.50E-05	7.94E-05	4.11E-05	1.06E-04	5.61E-05	5.79E-05	2.58E-05	2.49E-05	1.02E-04	5.65E-05	7.37E-05
BPArm[>10 & <=20]	1.79E-09	6.65E-06	5.95E-04	3.06E-04	0.00E+00	1.44E-04	2.39E-05	8.96E-05	2.68E-04	2.27E-04	2.26E-04	2.68E-04	1.35E-04	5.06E-04	2.07E-04	2.32E-04	1.19E-04	1.06E-04	3.37E-04	2.58E-04	2.54E-04
BPArm[>20 & <=30]	2.67E-09	0.00E+00	1.68E-04	1.06E-04	0.00E+00	9.19E-05	4.09E-05	5.63E-06	7.86E-05	5.99E-05	3.40E-05	7.25E-05	6.42E-05	1.57E-04	9.25E-05	7.29E-05	9.09E-05	3.02E-05	1.15E-04	1.16E-04	9.29E-05
BPArm[>30]	3.33E-09	0.00E+00	5.97E-06	1.33E-04	0.00E+00	7.93E-05	5.47E-05	2.84E-06	0.00E+00	3.36E-05	2.44E-10	1.80E-05	1.52E-04	4.36E-05	1.21E-04	3.77E-05	6.55E-05	8.12E-07	6.78E-05	7.81E-05	6.17E-05
CN[0]	1.06E-06	7.37E-05	2.08E-09	1.51E-10	6.07E-08	0.00E+00	1.12E-08	7.54E-04	2.24E-03	5.47E-03	2.09E-10	3.13E-03	5.78E-09	5.59E-03	3.00E-03	1.45E-08	1.18E-05	2.97E-09	1.55E-03	1.85E-09	3.23E-03
CN[1]	1.18E-04	4.50E-05	7.15E-04	2.06E-04	4.29E-05	1.97E-47	0.00E+00	1.07E-02	1.56E-03	2.70E-03	4.12E-12	1.22E-03	4.44E-04	2.65E-03	1.40E-03	2.28E-03	2.65E-04	5.11E-04	6.12E-04	5.43E-04	9.60E-04
