Samples	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q	SBS80R	SBS80S	SBS80T	SBS80U	SBS80V	SBS80W
0009b464-b376-4fbc-8a56-da538269a02f	0	216	0	431	586	501	0	28	0	88	149	34	22	239	94	58	25	65	17	31	39	33	17
003819bc-c415-4e76-887c-931d60ed39e7	406	0	7	8	1	1	7	1	0	2	0	0	28	0	0	1	1	0	2	2	0	0	0
0040b1b6-b07a-4b6e-90ef-133523eaf412	125	97	204	7	49	0	3	30	6	72	0	9	24	4	2	6	1	3	3	7	0	7	0
00493087-9d9d-40ca-86d5-936f1b951c93	366	12	42	10	0	1	7	20	0	3	0	1	23	0	0	1	1	0	2	0	1	1	2
00508f2b-36bf-44fc-b66b-97e1f3e40bfa	281	75	19	109	88	0	0	162	0	0	0	32	28	0	0	0	28	0	0	0	0	22	14
005794f1-5a87-45b5-9811-83ddf6924568	411	0	0	2	14	1	8	12	0	0	0	0	26	0	10	0	0	0	2	0	0	0	0
005e85a3-3571-462d-8dc9-2babfc7ace21	346	31	41	29	6	1	4	24	5	0	0	0	29	0	4	0	1	0	1	0	0	0	0
007aab66-2f07-459d-8952-3041d6ea24a8	414	0	0	1	0	1	10	1	0	4	0	0	25	0	0	1	0	1	3	0	0	0	0
008aef39-0c97-48ce-9dfd-f12d67116c59	217	50	144	40	72	0	0	137	0	0	0	84	40	0	9	0	0	7	0	23	2	0	0
008bad10-d41b-4bbb-86fa-9976ecea46b1	223	93	97	75	30	4	4	71	45	0	0	1	39	1	0	0	6	0	2	0	4	6	22
00aa769d-622c-433e-8a8a-63fb5c41ea42	371	9	36	0	0	3	10	7	3	0	0	0	23	1	0	2	0	0	3	0	1	0	2
00b9d0e6-69dc-4345-bffd-ce32880c8eef	405	17	9	2	0	3	6	5	3	3	0	0	26	1	0	1	1	0	2	0	2	0	0
00bf0350-8c7c-4b9e-8143-13ea2dc1122f	396	28	0	17	14	0	6	22	0	5	0	0	24	0	9	1	0	0	2	2	0	0	1
00c27940-c623-11e3-bf01-24c6515278c0	295	43	80	17	17	21	8	35	26	0	0	0	18	10	0	8	2	1	3	0	0	0	27
00db1b95-8ca3-4cc4-bb46-6b8c8019a7c7	178	51	174	111	26	111	0	3	0	0	0	29	0	56	6	0	0	7	0	3	7	3	0
00db4dc2-3ec7-4ff9-9233-d69c8c8a607f	63	171	39	181	446	129	17	74	124	99	66	60	95	133	0	79	43	37	84	14	14	14	0
01658141-8398-4585-9f0f-8355dd9b0604	21	218	36	202	426	369	221	29	16	129	81	117	55	162	65	77	11	15	84	10	2	34	42
0168a2a6-c3af-4d58-a51c-d33f0fc7876d	347	26	58	9	0	3	9	24	2	6	0	0	21	1	2	3	0	2	3	0	1	0	0
0176cf1d-0760-4769-a493-277f4bb7585e	254	72	47	98	105	33	20	79	0	7	64	28	32	19	0	1	39	1	5	20	14	0	37
