MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q	SBS80R	SBS80S	SBS80T	SBS80U	SBS80V	SBS80W	SBS80X
BP10MB[0]	0.7419913142919541	0.6902517336606979	0.4275113695859909	0.0008791205993722271	0.025614289318636563	0.000858675011629905	0.23203066121927804	0.055827133983682685	0.03405199951376439	0.017817154511286598	0.031601149141788486	0.03608560387394651	0.0024698361330793726	0.01916949975021758	0.01484612154773894	0.00457188615273121	0.07676165699027479	0.010490141152503294	0.010559368890401316	0.03293701273461738	0.02432154534431641	0.09444206354528839	0.007702642416174588	0.04717505824221426
BP10MB[1]	5.588319424987276e-09	0.0422542504410103	0.0067028180191343574	0.00013873596675693987	0.046281967265531423	0.0027028728891033364	0.11685570284129239	0.004602979246992617	0.004185250957705443	0.0024769754454434345	0.0012120730267048004	0.0002239043405279517	9.021769708851935e-05	0.004024771887645306	0.0008571337076136843	0.0003483189088977179	0.0018068109986415948	0.0006282632243641398	0.0013663133177666156	0.00159335583119173	0.0011150758407529793	0.000463779978235835	0.0007751366721005226	0.00031376811280045476
BP10MB[2]	0.0	0.008204764764010265	0.1186481400579214	0.0032064045115839743	0.04873103059342895	0.002262353266705759	0.015548697557046581	0.053093126895837485	0.03134173611540526	3.0036710086278617e-05	0.0	0.00494014433817938	0.0010131565324991243	0.001951560744200833	0.012312533054064118	0.011479344994368148	0.0012691254605852037	0.013975303944142752	0.0004662042396375909	0.0037195206272008364	0.007207433628545914	0.0016299645731640087	0.002295135988970287	0.0016385422335584354
BP10MB[3]	4.587494919494617e-09	0.000121889438657945	0.001216151283278762	0.001669795585621614	0.033806288791820405	0.0026273909053958037	0.01031619642623179	0.006255218242113187	0.004659241421959451	0.0011408853856002565	0.0003639089709304244	0.0003240719816908566	7.16904367436865e-05	0.004379729614696401	0.0006084413287908321	0.002141193678741453	0.00010789483320806425	0.003001383284631629	0.00029538434703768054	0.004064338408129649	0.004489600288197834	0.004415342241627619	0.0021011894943330843	0.0005881785044039134
BP10MB[4]	4.640454254190019e-09	0.0	0.005475213033932959	0.010225926694160989	0.02111667796038091	0.001559837864228939	0.0025559597721803583	0.014908068047370762	0.01312273997954378	0.0006230870582876946	2.802596928649634e-47	0.0013133527387993382	0.003663514442159794	0.0012786586991182713	0.0011654062007152447	0.0013416141950324345	5.605193857299268e-47	0.00726913051712188	0.0004597178131950841	0.0033827347967235253	0.002553400162869082	0.00024296031358062465	0.0007361598730130936	0.00041868939995766137
BP10MB[5]	2.54241828140378e-08	0.0	0.0	0.004190697853919138	0.009825446140021087	0.00220119192283164	0.00023531801867274874	0.0030464595800731332	0.0012256591437267161	0.0004122408779986131	0.001141427916354587	0.00014130083973144637	0.00011209639007347505	0.00255757958875904	0.00012881419218572888	0.00030736098597117234	0.0012718938075408487	0.001130835563835717	9.608996188205765e-05	0.0014977309923642679	0.0008901549790482477	0.0008678558673044279	0.00016517747717443855	0.0008624645968939149
BP10MB[>5]	2.364424798950715e-08	0.0	0.0	0.026388408448547125	0.001590023715980351	0.009216710507788549	0.00034967814572155475	0.0012588272051834793	0.0032145598898205207	0.0010267941156121196	0.015248093786649406	0.00014612208473074872	0.013225659530489793	0.006067219402824309	0.00011660775751806796	0.000468343305401504	0.0004709995320921223	0.00038884077221155164	0.0002650349622126669	0.0005395966850164769	8.467942825518549e-07	5.637014903186355e-05	0.0003688551567029208	5.575406014486361e-05
BPArm[0]	0.10852355688810349	0.04479489071294665	0.01518464577384293	0.00014829897771969258	0.0020026384103900706	7.10249453550241e-05	0.006777373563090805	0.0028397970861988144	0.002926893317999202	0.0022487890186369455	0.001096715772528114	0.001807078068941523	0.00025718892109580335	0.0026374352016156326	0.0008361692915786989	0.0010388906324763833	0.003805882257205341	0.0025941742084369173	0.0020144952772534457	0.0026740887256591606	0.0013293966015194526	0.00015634184316934432	0.0015131112006201875	0.0007980142456835892
BPArm[1]	0.00047522794565740156	0.018327765400932172	0.0013300854712724685	2.938082261927377e-09	1.0120044144912299e-08	6.553707040668488e-09	0.01378925028337843	0.0	2.243292556158849e-09	1.823786320187537e-08	1.5880052203818275e-05	5.907530550075535e-08	3.286126506196752e-07	6.398078033598154e-08	2.802596928649634e-47	9.37399533995631e-09	0.0	6.768800323797564e-08	1.8827512420216408e-08	0.0018559208512306214	1.585482724664189e-08	6.038872889213565e-07	2.0181758205950474e-06	6.689293314821043e-09
BPArm[2]	0.0006016896469468236	0.034264395162463185	0.01842367578065023	2.809146093518677e-10	1.2713483611408449e-05	1.1458229920435769e-10	0.0004563162576792479	0.0002117480725089127	0.00013062458939928857	0.00012636529973471453	8.21739558103829e-06	7.23495377906147e-05	4.7614173963665964e-05	3.7382633232663187e-05	3.418177243474929e-09	1.958152895241483e-05	1.9222517190335965e-05	4.475289606489241e-05	4.390122142119424e-06	2.351580697059319e-05	1.652970560826361e-05	1.542849000543356e-05	6.749025337029479e-05	1.7186817341610095e-05
