Samples	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q	SBS80R	SBS80S	SBS80T	SBS80U	SBS80V	SBS80W	SBS80X	SBS80Y
0009b464-b376-4fbc-8a56-da538269a02f	0	0	260	506	453	481	0	129	27	0	15	25	170	159	7	52	24	62	55	68	29	28	32	20	71
003819bc-c415-4e76-887c-931d60ed39e7	385	24	0	3	6	0	0	0	2	0	1	28	0	0	0	16	1	0	0	0	1	0	0	0	0
0040b1b6-b07a-4b6e-90ef-133523eaf412	104	214	82	49	10	0	57	0	26	7	0	25	0	47	6	13	1	3	3	0	5	6	0	1	0
00493087-9d9d-40ca-86d5-936f1b951c93	355	43	9	4	4	0	18	0	17	0	0	23	0	0	2	16	1	0	0	0	0	1	0	0	0
00508f2b-36bf-44fc-b66b-97e1f3e40bfa	283	27	77	100	116	0	8	0	141	0	0	34	0	0	24	1	27	0	0	0	0	20	0	0	0
005794f1-5a87-45b5-9811-83ddf6924568	406	0	0	18	0	0	0	0	10	0	1	26	0	0	0	16	0	0	0	9	0	0	0	0	0
005e85a3-3571-462d-8dc9-2babfc7ace21	321	68	24	7	28	0	0	0	21	6	1	30	0	0	0	11	1	0	0	4	0	0	0	0	0
007aab66-2f07-459d-8952-3041d6ea24a8	398	12	0	2	0	0	2	0	2	0	0	25	0	0	0	19	0	1	0	0	0	0	0	0	0
008aef39-0c97-48ce-9dfd-f12d67116c59	225	119	49	82	37	0	34	0	117	0	0	44	0	0	82	1	0	7	0	8	20	0	0	0	0
008bad10-d41b-4bbb-86fa-9976ecea46b1	215	104	85	33	70	2	23	0	60	43	3	40	9	0	0	7	5	0	0	0	0	5	3	1	15
00aa769d-622c-433e-8a8a-63fb5c41ea42	353	53	5	0	0	0	4	0	7	2	1	23	3	0	0	20	0	0	0	0	0	0	0	0	0
00b9d0e6-69dc-4345-bffd-ce32880c8eef	383	29	15	0	2	0	0	0	6	2	0	26	3	1	0	17	1	0	0	0	0	0	1	0	0
00bf0350-8c7c-4b9e-8143-13ea2dc1122f	384	11	29	16	16	0	0	0	19	0	0	25	0	3	0	16	0	0	0	7	1	0	0	0	0
00c27940-c623-11e3-bf01-24c6515278c0	314	34	36	22	0	16	65	0	30	20	4	20	20	0	0	15	2	1	7	0	0	0	0	2	3
00db1b95-8ca3-4cc4-bb46-6b8c8019a7c7	188	145	49	17	100	124	38	0	2	0	0	0	25	17	27	0	0	6	5	4	3	2	8	5	0
00db4dc2-3ec7-4ff9-9233-d69c8c8a607f	0	142	156	403	212	117	0	60	65	120	8	97	114	135	41	74	41	35	65	0	8	15	8	66	0
01658141-8398-4585-9f0f-8355dd9b0604	5	55	199	420	166	312	106	135	26	3	162	55	155	137	84	144	11	15	63	43	9	26	5	63	23
0168a2a6-c3af-4d58-a51c-d33f0fc7876d	336	59	22	5	2	0	24	0	21	0	1	21	4	0	0	19	0	1	1	0	0	0	1	0	0
0176cf1d-0760-4769-a493-277f4bb7585e	204	125	49	94	106	32	0	61	70	11	15	35	1	27	31	27	37	1	3	0	12	0	8	3	23
0192d529-7340-45d8-a5f0-249cbb11ca19	234	90	91	73	49	1	28	0	87	18	0	34	3	0	3	3	5	3	8	0	1	0	0	5	0
01b0848c-ae36-4ade-a3da-d297b003c99f	27	82	159	198	315	173	31	62	67	130	2	53	182	165	84	71	20	18	16	20	60	9	6	21	41
01c8e465-2b4e-4519-bdef-c3ac06b43eeb	338	55	41	7	6	0	0	0	26	0	1	18	0	0	3	15	1	1	0	1	1	6	0	1	0
01dc6872-c623-11e3-bf01-24c6515278c0	209	171	39	45	0	0	0	27	41	6	8	25	34	11	0	9	1	27	2	1	2	0	1	13	0
01df36af-3617-40fc-9892-f54ce433cf71	29	61	265	344	156	218	49	0	29	9	0	19	88	138	24	36	29	25	18	49	10	0	39	12	53
02078f77-2b35-4fa3-ab02-2c017181295e	399	12	0	0	3	0	0	0	0	0	0	27	0	1	1	17	0	0	0	0	1	0	0	0	0
020fab36-c7de-4933-b2bf-dc7b019a1326	63	216	0	123	169	341	23	113	10	26	135	14	0	21	102	109	18	108	17	0	10	20	9	71	0
