Samples	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q	SBS80R	SBS80S	SBS80T	SBS80U	SBS80V	SBS80W	SBS80X	SBS80Y	SBS80Z
0009b464-b376-4fbc-8a56-da538269a02f	0	566	278	0	434	477	0	95	168	24	30	22	50	0	0	136	81	23	61	38	50	28	32	19	5	56
003819bc-c415-4e76-887c-931d60ed39e7	392	2	0	19	6	0	1	0	0	2	0	27	16	0	0	0	0	1	0	1	0	0	0	0	0	0
0040b1b6-b07a-4b6e-90ef-133523eaf412	116	52	74	190	9	0	74	0	0	27	0	24	11	6	9	43	0	1	3	5	4	5	0	1	0	5
00493087-9d9d-40ca-86d5-936f1b951c93	362	2	11	28	4	0	25	0	0	19	0	22	15	2	0	0	0	1	0	0	0	1	0	0	1	0
00508f2b-36bf-44fc-b66b-97e1f3e40bfa	270	97	74	37	110	0	0	0	0	144	0	30	0	28	0	0	0	26	0	0	0	19	0	0	23	0
005794f1-5a87-45b5-9811-83ddf6924568	407	16	0	0	1	0	0	0	0	11	1	26	16	0	0	0	8	0	0	0	0	0	0	0	0	0
005e85a3-3571-462d-8dc9-2babfc7ace21	322	7	24	68	27	0	0	0	0	22	0	29	10	0	6	0	3	1	0	0	0	0	0	0	0	3
007aab66-2f07-459d-8952-3041d6ea24a8	406	0	0	0	0	0	8	0	0	2	0	25	19	0	0	0	0	0	1	0	0	0	0	0	0	0
008aef39-0c97-48ce-9dfd-f12d67116c59	221	69	39	122	43	0	35	0	0	124	0	42	0	92	0	0	10	0	7	21	0	0	0	0	0	0
008bad10-d41b-4bbb-86fa-9976ecea46b1	214	30	81	97	68	1	31	0	15	63	4	39	7	2	39	0	0	5	0	0	0	5	4	1	17	0
00aa769d-622c-433e-8a8a-63fb5c41ea42	362	0	4	40	0	0	11	0	3	7	0	23	20	0	1	0	0	0	0	0	0	0	0	0	0	0
