MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q	SBS80R	SBS80S	SBS80T	SBS80U	SBS80V	SBS80W	SBS80X	SBS80Y	SBS80Z	SBS80AA
BP10MB[0]	0.7504698371887207	0.4091389186680317	0.0011988667777118268	0.7111296343803406	0.024883770557065064	0.3866395260533318	0.0015106935619375722	0.04129132983839118	0.0066725830686858644	0.01713088762357188	0.034287224523723125	0.035420370337368993	0.004853898536522957	0.02850831335915684	0.015147929147807023	0.06740380267396247	0.0081073134326611	0.003457818830419727	0.07235367344959542	0.026388804207300387	0.01307392101005569	0.012564527776257077	0.016033991840197513	0.01042472586605628	0.14330056343865238	0.041900548990882885	0.04487840402012234
BP10MB[1]	0.0	0.0028617005290790054	6.229631835594774e-05	0.021032232407014816	0.050759239688050004	0.13805099247023464	0.002477182795932621	0.006770055098667944	0.005570870184360009	0.0020339259605610337	0.000995749962166883	9.536213605315424e-05	0.002541901765517912	0.006962649278561912	0.010706032424932345	0.0020363182487380983	0.0005528140784008432	0.0007058813232106332	0.0017259268891848477	0.0011997759842870437	0.005546729355805837	0.001831696230428861	0.001473446125164628	0.0034184119064593686	0.002902606814459432	0.00048024024520373134	0.0014274390657737967
BP10MB[2]	0.0	0.13047863766551018	0.002443385958322324	0.014308252800256015	0.044217941529132075	0.007757717338390649	0.0021027461130870505	0.054708727416582406	0.005562718027117625	4.203895392974451e-47	1.401298464324817e-47	0.0039049327245447786	0.0007673111863186932	0.001654743465083115	0.010064721503552712	0.04286992265844674	0.014277233519512404	0.0063255962714526956	0.0008966427200539328	0.0010369747853837907	0.0030467527515793836	0.00070921347476542	0.002739734832451859	0.002413234367277255	0.0016510154654315557	0.00078553410465247	0.0010412946197902785
BP10MB[3]	7.453332342421958e-09	0.0014774617544026114	0.0016888200882613092	5.135293587322565e-05	0.036109620612114667	0.006591399561210238	0.001603958423298042	0.009629451890359632	0.005445717262464313	0.0004457556556241116	0.0003065772454942817	0.00019715190734654443	0.00045110740577683825	0.003424556768915968	0.001657084120795389	0.0023096311008885097	0.0013596903908324976	0.0012124853867099073	8.055532307480462e-05	0.0023129353848662503	0.0024969931781106437	0.0005842979654571501	0.0036668362238560935	0.0017712462320196242	0.0040605604449817645	0.0028737987064927496	0.0005161841452354565
BP10MB[4]	4.3993725262758685e-09	0.009300767302047461	0.009574851365077847	8.147970476102273e-10	0.02049919255601708	0.00019655788317322732	0.0009501295077768646	0.01484358885034453	0.004008719890486247	0.00014194490046065767	7.375934294486797e-06	0.0011177972514234758	0.0019797273002222938	0.0005599706665177085	0.001613291211390333	0.014886052567796924	0.010040205676019803	0.0006328436606978427	2.7315240004099905e-05	0.0016119091180554967	0.000843408719787817	3.686082107378752e-05	0.002155124185344448	0.0018968289616680067	3.9849174658768274e-05	0.000582208721457107	7.134781329078522e-05
BP10MB[5]	2.1394622092829606e-08	4.835083673242479e-06	0.004364106406865176	0.0	0.010383753264322877	8.805976831354201e-05	0.0016282027950364863	0.003907304113236023	0.002126012577939491	6.546854748989972e-05	0.0011941663076528374	0.00017659059731037986	0.00030793021746250817	0.0018848657650667633	9.023332851826896e-05	0.0003880749497645736	0.000590802649608122	0.00019863834732859688	0.0015971217379109248	0.0009909707694214377	0.00048452693589212003	0.0004275135297621091	0.0007989945544136389	0.000483587308863207	0.000979596699659524	0.0017506825213649791	0.0004392988152653743
BP10MB[>5]	2.9794609139877083e-08	0.0	0.030204016780480743	0.0	0.0025049878835017125	0.00010449732886627316	0.008675315613778475	0.001244197196283494	0.005207758423473478	0.0005451836056876402	0.01606599339284003	0.00018523877665167277	0.013792266446816939	0.005805635916582939	0.00045368486074949033	0.00019727923512071754	5.210021277889609e-05	0.00024120146408677102	0.0005130911331769261	0.0002450484687869903	0.000752559484099038	4.311021068133414e-05	0.00012601885842741467	0.0001905330107547343	4.646787310875311e-05	0.0001539423190843081	2.4446053430438052e-05
BPArm[0]	0.11012856751680374	0.013875076652038843	9.622040033867699e-05	0.048693521488457917	0.0019417198351220576	0.014561876768129877	5.4626564961111275e-05	0.002098157245100177	0.0005360785869199942	0.002066591352559046	0.0010155600171569633	0.0018440759013323804	8.015376790353915e-05	0.0026622427961897183	0.0008631353956526925	0.006591961099547916	0.0031376260702438686	0.0006566930929803788	0.00339434274647745	0.0025995007486817466	0.002267300041470649	0.0022235466379670644	0.0017318292834745102	0.001096837082732236	0.008642658870740054	0.0010026974294376156	0.0010136354682668
BPArm[1]	0.00047507067427545737	3.4386267344643784e-09	1.9595444555875474e-09	0.014599538990825955	1.5829657469268455e-08	0.026392746287387893	4.943199822804445e-09	0.0	2.802596928649634e-47	1.3633998250384138e-08	7.695708900063991e-06	1.0680759778836125e-08	0.0001441850254565713	1.1701874628649023e-05	3.5096408552703904e-08	5.234627185046747e-09	5.45600715895489e-08	1.7706023154318018e-08	5.605193857299268e-47	7.006492321624086e-47	2.8424942662752526e-07	1.3745324736191833e-08	3.236598491440645e-08	1.1027262281970706e-06	1.4785067605771474e-08	9.743515079251187e-09	5.654365402563144e-08
BPArm[2]	0.0009214683499840248	0.015757389564823823	2.4900934144889143e-06	0.03814960135360636	2.8751473134818186e-05	0.002270639933146512	1.7733208323988947e-09	0.0002076438653791257	3.4043805996475384e-10	5.754661083333062e-05	1.921230284462894e-06	0.000627289803201379	5.562933048143993e-06	1.5088112964036781e-05	5.83567013558195e-05	0.0005902908380418203	1.689714174801793e-08	1.4553698711097241e-05	5.173091073686464e-05	1.2796097624914182e-05	9.772883919541008e-06	4.8876103197263356e-08	4.203895392974451e-47	3.602597622407444e-05	0.0010723631212511719	6.600500375498087e-05	1.213076815133718e-05
