MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q	SBS80R	SBS80S	SBS80T	SBS80U	SBS80V	SBS80W	SBS80X	SBS80Y	SBS80Z	SBS80AA	SBS80AB
BP10MB[0]	0.7466065692901611	0.7193824106454849	0.40820007843896744	0.0010603368932693743	0.020194741589383895	0.42839625049382446	0.0005598737954589387	0.004087858730615393	0.04232616908062255	0.01437737531863585	0.03266560816206038	0.005246551819197826	0.035648113398537615	0.049631653584686755	0.019413417600567154	0.07316589315955867	0.00534247865215523	0.005418763281525006	0.07013164775242607	0.02961524189679895	0.014278962437982854	0.010606679285243116	0.1129709533273193	0.05571743768933261	0.013670469177426963	0.0048593669944394435	0.03553612288844313	0.049820259621649966
BP10MB[1]	1.3459735725973587e-09	0.012578883694866363	0.00258908738455375	0.00011198720618267544	0.05595422892773058	0.14838048562407494	0.0030685320089105517	0.00525542975301505	0.005198215841155616	0.002565750992962421	0.0009296026909703498	0.00507465870352462	1.4012984643248171e-46	0.006560043081863114	0.011585971446836657	0.0024694921207264998	0.002692486676533008	0.0003148846875410527	0.0023024937030277216	0.005221614939319111	0.001701271909696224	7.839388708816842e-05	0.0015334110621279251	0.0017646747548133136	0.0009596696820346384	0.0009401271963724867	0.004532392094529732	0.0001649533136514947
BP10MB[2]	0.0	0.01751318675465919	0.1302307927981019	0.002361074662687295	0.04312439876826829	0.006149653737684772	0.0006246763886883855	0.005914992294826789	0.05256698056124151	2.0407185729709454e-07	2.802596928649634e-47	0.0005018161857151427	0.003956716172397136	0.002842440693639219	0.010813708718827728	0.04578928769798949	0.013496697075634074	0.010942072305770125	0.001074416339615711	0.0013374547130115388	0.00011734720982580881	0.0006096832104958594	0.0022394458693457318	0.003091886614274699	0.004321274372081962	0.00043386984768321494	0.004380350881513948	0.0011719374015228832
BP10MB[3]	8.560707964733184e-09	8.747347116866422e-06	0.0014056766676327549	0.0019725582102546467	0.03699140860699117	0.005651907436202351	0.001866542110510641	0.006062549002518835	0.008559820651134942	0.000762675464746394	0.00028840115128341107	0.00028538298822240905	4.2006794764439804e-05	0.004772757652683765	0.0022620033206294464	0.0026794081042630325	0.0018244268872449005	0.0009827562585838355	8.995567011879757e-05	0.0036650367433370716	9.87973977513551e-05	0.0015574154919568172	0.0029509415221491506	0.002264648044067558	0.003750391021883388	0.0010112525667477711	0.001966808150108186	7.291084912139923e-05
BP10MB[4]	1.1633772225849714e-08	0.0	0.00915173055138439	0.00925229190916241	0.020282910692039878	1.401298464324817e-47	0.0007516526514609723	0.004684808609040942	0.01424102732911706	0.0001339596619789063	8.959708356996998e-06	0.002170314095462887	0.0006724329595420289	0.001267779713900663	0.002364105371889309	0.014396006434956234	0.007124136372566774	0.001006183652146158	2.1019476964872255e-46	0.002581018645093237	0.0002753061260192169	0.0003896298028735146	3.6756579721384245e-05	0.0017727275726974767	0.002633093371433688	0.0004417112731243833	0.0029922012143299525	0.00030746981035918
BP10MB[5]	2.6342608734353233e-08	0.0	7.388862839434296e-05	0.004361495038028807	0.010300799270626158	1.5494015533477066e-05	0.0019298562972926447	0.0022545286833383217	0.003611591585831775	0.00021997037421442656	0.001242194952974387	0.0001088377481252707	1.702518964918909e-08	0.002166961261242335	0.00028140485112089665	0.0003928721776264865	0.0009249421818799463	0.0001241550026134064	0.0012251963213259387	0.001113896882512222	0.0001704288699552592	0.00021300242213328601	0.0005734011686661924	0.0017120559007215914	0.000819290728982196	0.00022343843016642495	0.0003336180371707087	0.0005982744926166106
BP10MB[>5]	3.0927799126220095e-08	0.0	0.0	0.03151918939314782	0.0012426677864550584	0.0	0.009012125234796428	0.005197442233902589	0.0009880367992764149	0.0006247358425704164	0.01624495574971661	0.01387491186202169	4.7744027570217894e-05	0.005555573719954066	0.0006476017110982218	0.0005395993750653361	0.0004230885207653046	0.0	0.0003888097107608246	0.00022802362014282096	0.00020150149504516435	0.0013109420449472964	0.00015205872754449955	0.00017757536792487372	0.00024332784116268158	6.535613734740763e-05	1.1210387714598537e-46	0.0003078115737952861
BPArm[0]	0.11249328188598157	0.05069706503301859	0.013800411867556778	0.00011830033666494401	0.0016531702221258416	0.016630600524949843	9.941275711753406e-06	0.0006669470300714409	0.002182616638687431	0.002030840786004056	0.0009405948018819183	7.640522511792369e-05	0.0017287370247060824	0.006804347162184854	0.0009398816394783191	0.006766475551994517	0.002267096894513269	0.0008208081996343167	0.0036554492788854987	0.003843826342080842	0.0028812460677619177	0.0020412029730350863	0.0018780517484992742	0.001240277527269703	0.001520121558860716	0.0007941201520004934	0.003935257355819625	0.0007065024142502807
BPArm[1]	0.00048240904489070145	0.009472859789766374	4.203895392974451e-47	1.8770236281939744e-09	2.6479968564530055e-08	0.030276922258966294	3.911388688493389e-09	1.401298464324817e-47	4.6639856066121865e-09	9.136245608942772e-09	9.21959903791958e-06	0.0002529253201309922	2.991710625011024e-08	2.7800526343213505e-08	0.00031374162385147344	1.0249876041257267e-08	5.7603164379997905e-05	9.060308769903714e-09	5.605193857299268e-47	1.0855054597413983e-08	3.446531991357915e-08	1.1415040859219517e-07	0.0007705802520951011	1.1079652040280052e-08	2.4138209369084506e-08	1.7189348138799687e-05	0.0020733101269111293	5.7777221798005485e-08
BPArm[2]	0.00016024848799162328	0.04076688060075085	0.015208155799529166	9.147016477584202e-11	6.565842904990404e-05	0.0025738701125078835	6.749974179598439e-10	1.1482403648255257e-06	0.00023890444544981903	0.00010406775119320422	8.407790785948902e-47	9.086970886755807e-06	1.1469591782997668e-08	1.187347488347752e-05	5.286847795105132e-09	0.0005000227593679618	8.800309842627029e-08	1.0780569255075534e-08	8.410141253094139e-05	3.071595813253225e-09	7.201750236163207e-09	3.877544943270708e-07	0.0017099761031568051	9.160139029518177e-09	0.0	1.830231250664838e-05	0.00013976398438856564	2.023863146007443e-05
BPArm[3]	3.3629499723852876e-08	0.00200743931630571	0.0023009402229217813	3.4959023878400332e-06	0.0012350577494669324	0.01680686156003219	2.802596928649634e-47	6.21824949009664e-05	8.967178244347452e-05	0.0	6.572043830539442e-06	0.0005013656203143313	1.4882853164799315e-06	0.000278659369678067	0.0011584661502911332	0.0006866471587733969	0.00018148365532802302	1.4563339304629607e-05	0.00012510478678450453	0.0003048917553773123	1.1182162103011706e-05	4.133851722844639e-05	5.845254625953089e-05	0.00022088003763030882	5.152970388451194e-06	4.165298596312539e-06	0.00011482724075904117	0.0004103346668764688
BPArm[4]	2.0579972712653216e-08	0.005030892643950224	0.017653662447700925	0.0	0.00011434871415403337	0.003276403149521343	0.0	5.033984543842962e-05	0.0009594456609374901	0.0001114775367862547	0.00047942353629025546	3.76935419626534e-05	0.0003541334704820898	0.0001042421962547735	5.105334483346269e-05	0.0016937979561896554	0.00010166955413296818	0.00015812939032912256	7.336110527830897e-05	7.376717131222676e-05	0.00012177677503132145	2.7127182111144066e-05	0.0003967578392712312	0.00034321398910378773	3.044215209229151e-06	8.917757135350257e-05	9.151737380307168e-05	3.255135079143656e-05
