Signatures	Stability	Total Mutations
SBS80A	0.776	617015
SBS80B	0.431	267807
SBS80C	0.36	262957
SBS80D	0.603	250972
SBS80E	0.775	234527
SBS80F	-0.077	179172
SBS80G	0.754	169849
SBS80H	0.448	161441
SBS80I	0.597	153121
SBS80J	0.805	132875
SBS80K	0.932	124567
SBS80L	0.572	123428
SBS80M	0.832	122188
SBS80N	0.049	110637
SBS80O	0.309	109434
SBS80P	0.357	86265
SBS80Q	0.369	42666
SBS80R	0.892	36544
SBS80S	0.957	35517
SBS80T	0.71	30918
SBS80U	0.546	30390
SBS80V	0.176	28325
SBS80W	0.178	27384
SBS80X	0.215	27178
SBS80Y	0.792	27034
SBS80Z	0.709	26953
SBS80AA	0.092	22897
SBS80AB	0.841	22749
