Samples	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q	SBS80R	SBS80S	SBS80T	SBS80U	SBS80V	SBS80W	SBS80X	SBS80Y	SBS80Z	SBS80AA	SBS80AB	SBS80AC
0009b464-b376-4fbc-8a56-da538269a02f	0	0	251	520	326	192	0	142	371	22	63	24	26	149	69	0	46	24	58	71	53	32	49	85	31	25	1	25	18
003819bc-c415-4e76-887c-931d60ed39e7	350	66	0	1	4	0	0	0	0	2	1	0	26	1	14	0	0	1	0	0	0	1	0	0	0	0	0	0	0
0040b1b6-b07a-4b6e-90ef-133523eaf412	81	212	68	45	10	0	91	0	0	23	14	0	24	39	13	9	4	1	2	2	1	6	4	2	1	5	1	0	1
00493087-9d9d-40ca-86d5-936f1b951c93	320	83	0	4	6	0	21	0	0	16	2	0	22	0	14	0	0	1	0	0	0	0	0	0	0	1	2	1	0
00508f2b-36bf-44fc-b66b-97e1f3e40bfa	244	78	61	116	92	0	0	0	0	122	31	0	31	0	0	0	8	24	0	0	6	0	0	0	0	18	27	0	0
005794f1-5a87-45b5-9811-83ddf6924568	371	42	0	17	0	0	0	0	0	9	0	0	25	0	14	0	0	0	0	8	0	0	0	0	0	0	0	0	0
005e85a3-3571-462d-8dc9-2babfc7ace21	281	120	13	10	26	0	0	0	0	19	0	0	28	0	10	6	2	1	0	3	1	0	0	0	0	0	0	2	0
007aab66-2f07-459d-8952-3041d6ea24a8	363	53	0	0	0	0	0	0	0	2	1	0	23	1	17	0	0	0	1	0	0	0	0	0	0	0	0	0	0
008aef39-0c97-48ce-9dfd-f12d67116c59	198	136	30	81	32	0	55	0	0	105	90	0	41	0	1	0	0	0	7	0	22	16	0	0	0	0	0	11	0
008bad10-d41b-4bbb-86fa-9976ecea46b1	187	123	73	38	60	21	34	6	0	54	7	1	38	0	9	31	0	5	0	2	0	0	0	11	4	5	13	0	1
00aa769d-622c-433e-8a8a-63fb5c41ea42	325	82	0	0	0	2	13	0	0	7	0	0	22	0	18	0	0	0	0	0	2	0	0	0	0	0	0	0	0
00b9d0e6-69dc-4345-bffd-ce32880c8eef	346	81	2	0	2	2	2	0	0	6	0	0	25	1	15	0	1	1	0	0	1	0	0	0	1	0	0	0	0
00bf0350-8c7c-4b9e-8143-13ea2dc1122f	349	61	17	18	13	0	0	0	0	17	0	0	23	3	13	0	0	0	0	6	0	0	0	0	0	0	0	7	0
00c27940-c623-11e3-bf01-24c6515278c0	281	69	30	25	5	24	51	2	11	27	0	2	19	0	14	9	0	2	1	0	0	1	5	0	0	0	32	0	1
00db1b95-8ca3-4cc4-bb46-6b8c8019a7c7	143	185	31	26	96	21	35	0	102	1	22	0	1	17	0	0	13	1	6	3	20	0	3	0	7	2	3	23	4
00db4dc2-3ec7-4ff9-9233-d69c8c8a607f	0	125	178	367	147	181	9	93	81	66	123	0	94	127	95	30	0	37	33	4	0	12	60	27	10	14	0	13	56
01658141-8398-4585-9f0f-8355dd9b0604	36	0	187	390	110	151	115	139	248	24	130	156	51	126	142	0	58	12	14	49	55	19	53	20	13	23	48	0	53
0168a2a6-c3af-4d58-a51c-d33f0fc7876d	306	94	10	6	4	3	29	0	0	20	0	0	21	1	17	0	0	0	1	2	0	0	1	0	1	0	1	0	0
0176cf1d-0760-4769-a493-277f4bb7585e	135	198	35	96	80	9	0	72	22	64	47	9	32	30	33	8	0	33	1	0	0	0	0	15	2	0	4	48	2
0192d529-7340-45d8-a5f0-249cbb11ca19	201	119	70	80	38	6	38	0	0	76	11	0	32	0	4	17	6	5	3	0	8	3	7	6	0	1	0	0	5
01b0848c-ae36-4ade-a3da-d297b003c99f	12	79	181	189	265	230	27	77	129	68	102	0	52	142	86	29	36	19	16	21	26	44	13	32	5	9	41	64	18
01c8e465-2b4e-4519-bdef-c3ac06b43eeb	302	100	26	6	7	0	6	0	0	23	5	0	18	2	13	0	0	1	1	1	0	0	0	0	0	5	0	4	1
01dc6872-c623-11e3-bf01-24c6515278c0	185	177	28	30	0	32	36	26	0	39	14	7	24	15	11	0	0	1	25	3	2	1	2	0	0	0	0	3	11
01df36af-3617-40fc-9892-f54ce433cf71	26	63	250	339	110	110	54	0	170	25	62	0	21	118	48	0	20	27	24	48	11	12	15	37	34	0	41	25	10
02078f77-2b35-4fa3-ab02-2c017181295e	368	50	0	0	1	0	0	0	0	0	0	0	25	1	15	0	0	0	0	0	0	1	0	0	0	0	0	0	0
020fab36-c7de-4933-b2bf-dc7b019a1326	44	200	0	122	121	64	61	164	250	12	115	112	13	32	132	0	21	18	101	0	5	14	16	8	11	19	0	2	61
0250e6f7-2538-4d1f-a8ff-ca34a7057dde	36	140	119	73	0	195	96	69	110	8	63	26	40	62	28	126	4	13	10	14	0	146	5	0	2	5	0	0	2
02706819-bcab-4c49-a569-a4a8c60db1c0	385	43	0	0	1	0	1	0	0	3	0	0	23	1	16	0	0	0	0	0	0	1	0	0	0	0	0	0	0
02917220-6a7a-46a1-8656-907e96bef88e	198	176	11	15	1	0	39	0	0	19	9	0	27	3	14	9	2	0	0	1	3	0	1	1	0	0	1	2	1
0292a46f-a282-4b7f-a7d6-ac55cc7324fb	356	62	0	0	1	1	1	0	0	0	0	0	25	1	16	0	0	0	0	0	0	1	0	0	0	0	0	0	0
02c6a893-49c5-49d1-8eb1-195021e70d52	240	110	28	23	0	8	62	0	6	20	7	0	24	13	19	8	9	2	1	19	0	0	1	0	0	3	0	0	0
02c97e2b-914e-4afc-bf50-78f0cfbfa67b	148	134	0	0	30	59	129	33	4	34	0	0	26	12	36	15	1	3	1	0	0	9	3	8	19	0	13	0	7
