MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q	SBS80R	SBS80S	SBS80T	SBS80U	SBS80V	SBS80W	SBS80X	SBS80Y	SBS80Z	SBS80AA	SBS80AB	SBS80AC
BP10MB[0]	0.7312223941087723	0.7393538148701191	0.39143520683050154	0.0029194887725917423	0.03490340576975997	0.0028926254895968394	0.44504500303417444	0.04536312171652803	0.0011841979676549758	0.01508839376344028	0.001969983299485399	0.03406229999382049	0.034118428242863486	0.013122294052805763	0.029399491781009323	0.10355800346796676	0.024390492860039734	0.0008948765603747162	0.07188801749075546	0.010627806310815092	0.01156879276793514	0.018462758488780696	0.031140971437220114	0.1375051064696682	0.005616031099403924	0.01860481065126185	0.04300596905901598	0.05690472195099591	0.06432332016112725
BP10MB[1]	0.0	0.00781445477689033	0.005614290281294724	0.0014346192771336065	0.07064234823919832	0.005351097796767139	0.14789255015552044	0.008721693439001683	0.0015054426316074704	0.0016402937612247114	0.00017088176655306598	0.0008969689647283019	9.80908925027372e-47	0.008631481525973018	0.0035781388514711356	0.00151680538603597	0.0033271039910323453	0.00025040203242857994	0.0023745728880357085	0.0007299376741945806	0.002406511001473122	0.001828542234645738	0.0033681155815474995	0.003052971274119046	0.0007988679553818656	0.0012450239434838315	0.0006488149833609542	0.0031902472884394227	0.0008236610883795947
BP10MB[2]	0.0	0.013673830376298497	0.13402799438685178	0.0069130139908520506	0.039825033092638476	0.008598284644847003	0.0038486576359719037	0.056872547175735234	0.001875631925943403	6.500079180113971e-06	0.0004015606714528985	1.401298464324817e-47	0.0048546736035495995	0.00868485481077471	0.0009431437391322106	0.04414731507225952	0.004788374001959419	0.006635584719160761	0.0006166608312078125	0.010403729248473825	0.015278656435040639	0.0006840805150568485	0.0005355806266652648	0.002279982874169946	0.0005370041751302779	0.002054338607995307	0.0007211265430669304	0.004998347108785311	0.0006921827179479579
BP10MB[3]	1.382480340428316e-08	2.0979229020667846e-09	0.001870169307803735	0.003805153566572699	0.03984210949391127	0.006643371036364764	0.0027768277330324055	0.010925888427913262	0.0012627787966266624	0.0004041384353848798	0.00011188135163845773	0.00017185160730150527	5.478775974211203e-05	0.0014545467670541256	0.0034147585142280334	0.001970642276249457	0.0015196429601226824	0.0011520724523599788	2.4616218579467402e-05	0.0013302329379985167	0.003039436289509467	0.0005795418886191329	0.0024901143948056342	0.0036545326922582224	0.000682737532883948	0.0037136465389903607	0.002617499130415224	0.0017415344519758945	0.0006407279196480431
BP10MB[4]	9.53673145898115e-09	0.0	0.009512618548126284	0.012374464528724047	0.017130513656884432	0.006109620486160736	9.416406783202546e-09	0.01466868317394983	0.0008320024104773438	3.417264164454537e-05	0.0014402899265405721	1.827848613174865e-05	0.00020201372407179007	0.0012825184426730374	0.0004506151728720198	0.014419181190352504	0.00607059730522451	0.0004580949452326877	7.006492321624086e-47	0.0024759347046468903	0.010160752193091866	3.6560772658766893e-06	0.001340468446776697	1.3119198847562074e-05	0.0006311473224536713	0.0016392124974838808	8.793665096163749e-05	0.0004952650506318435	4.063765546541969e-46
BP10MB[5]	3.4946458586926355e-08	3.4157872000178307e-38	1.0166192660108208e-05	0.005435849508421975	0.009541866034269333	0.0026353699759420124	7.581546810797591e-08	0.004468981832833379	0.0015243479580385611	5.332928827556316e-05	0.00024601160042493576	0.001197031806659652	5.8937550054736224e-05	0.00018376629683189094	0.0019579312723848985	0.00022687128013959085	0.00029796517624390616	0.00011765374308569055	0.0012135354423170863	0.0007786591314850873	0.000573411332710414	0.00024174873477175396	0.001052595676156516	0.0006986410976105617	0.0002459301278577186	0.0006894647455612812	0.0013830305884317796	0.00012096830039988404	0.0004120522802343629
BP10MB[>5]	4.501072235374437e-08	0.0	0.0	0.028880544914864005	0.0004590226542040909	0.006472890588702285	2.802596928649634e-47	0.0013422408051587808	0.007830308586455885	0.00031399941147725486	0.016311240391178216	0.016679936200380326	6.076432725876657e-09	0.00035912916995584966	0.0079856953875667	6.0553273703973786e-05	0.002546335833326907	0.0	0.000400306604935507	9.754914117365842e-08	2.902930191339692e-08	0.0	4.534313120529987e-08	5.619181320071221e-07	1.6758554847911002e-05	1.2660352076636628e-05	1.1210387714598537e-46	1.401298464324817e-47	2.371131723521103e-05
BPArm[0]	0.1154161961376667	0.054806308229453864	0.012533919465495274	0.00018034304411695425	0.0019716109043096033	0.0003721568601577101	0.01691274202428758	0.0023063161764671023	3.1853956698757455e-05	0.0021840105873717573	4.4260454415052665e-05	0.0009980643049948411	0.0016142256770045487	0.0008510659171952285	0.005014431176598322	0.01059084590349812	0.0019963030010110706	0.000734168612320263	0.00345719120600651	0.0019354832888009287	0.002858972770627741	0.0024519295809927837	0.0028036919893929734	0.0028768266615225003	0.0007263280539028264	0.0020926097117359497	0.0013987708237280837	0.006397719673259425	0.002745366313938575
BPArm[1]	0.0004060448512928261	0.008652163396055386	6.722222778421383e-09	5.1674517909106046e-09	0.00011462580906559605	2.802596928649634e-47	0.03455595172900075	2.1271354455620895e-10	2.1230622948564816e-09	1.1707380380698851e-08	1.5401996265040907e-08	9.011885646055263e-06	6.738949192452993e-08	0.00034247426110452396	3.4866197396223277e-09	8.86945898059821e-09	2.4655478867430247e-08	2.088784441411917e-08	3.3318458639481044e-31	2.6666341526038196e-08	1.484986242417108e-08	4.589172064584091e-10	1.3917516525907559e-08	0.0013719212582080332	7.771653320531869e-07	2.767494159165551e-05	1.2611686178923353e-46	0.0012183106604252813	4.3040419654971626e-08
BPArm[2]	0.00016740047086969412	0.034701635414956515	0.014164461303530232	4.827857750067111e-07	3.2240624913129066e-05	1.8978123051791586e-05	0.005047267011980807	0.0002150922024300428	1.6758647802816995e-10	3.7327118826908644e-05	1.4061073390081447e-08	2.187466884500111e-06	0.00019583882568669164	3.488437641863129e-08	5.499767575614101e-06	0.00385675773470183	8.736940421965933e-05	6.819744012318551e-06	2.672318349770997e-05	1.2430642236722633e-05	1.7554442616187772e-05	3.5416803241332674e-05	5.7304429356008765e-06	0.003211328648030758	6.92817453878547e-05	5.605193857299268e-47	2.4711926009501896e-07	0.002231491815517899	5.0795762410302816e-05
BPArm[3]	3.697676040470554e-08	0.0014417625329475037	0.0022250958293443548	1.1442633722253959e-05	0.0023746651693727474	4.766148946544036e-05	0.017238796956371517	0.00018285132360688295	1.808908756117944e-10	0.0	1.9139549222018106e-05	1.2874267250602146e-05	3.8400967350149526e-05	0.0008189206795063342	0.0001291745849863446	0.0008324634896302996	0.00032771084130217787	3.728167790526982e-05	0.00012790242238423842	1.2524556659627706e-05	0.00019738616043468937	6.0236818389967086e-05	0.0002432753388711717	0.0001248007785181926	1.4345988446997638e-05	4.141292142605835e-05	9.552715383257748e-05	0.000285947233388697	0.00021414477226995758
BPArm[4]	2.0055533356266863e-08	0.004235692690570652	0.017335929975743056	6.570072684553452e-05	0.0003837776667126036	0.00015887042876649938	0.003365074082009869	0.0011310149397468195	2.1131912944838405e-05	6.582163574397781e-05	0.0	0.0004434447223936999	0.0005508322180676426	0.0001118191922432743	1.805065191661015e-05	0.002056813995059201	0.00023376584285870195	0.0	9.933483593556503e-05	0.0001333727845485555	8.34463181922856e-05	0.0001192115957775286	9.031098219566048e-05	0.0006551554169966098	2.744888859524508e-05	0.00010010719377987697	0.0002850824318027634	0.0005478025951833843	5.828958676171503e-05
BPArm[5]	4.4895173729742057e-08	0.00018316648561864213	0.0033043154585175216	4.270767720299773e-05	0.003893331063736696	0.00024022973074548485	0.0058820903232799536	0.0004722250907616399	6.191902211867273e-06	3.97658271293011e-05	0.0	5.53218935516675e-05	4.528092971980868e-05	0.0008353727220210772	0.00011203261755007499	0.00064413263217034	0.000278907825704664	3.2029660408661175e-09	0.00046637317426757364	0.00014847540432128882	0.00020442381312206243	6.90507188119227e-05	0.0002725074559884888	0.0005866166369378334	2.802596928649634e-47	0.0003136892996735696	0.00023247725331430047	0.000279007098333679	0.0010550821900732644
BPArm[6]	6.902838135536271e-09	0.00016955328872539255	0.011111518165562302	0.00010835962664714316	0.0006908079583087102	0.00017927653133313016	0.000881416998313398	0.0023125996565795505	6.389777965523535e-05	0.0003621560622470632	3.8287888746708634e-05	0.00015700610954127114	0.00032102706645225964	0.00010245900375693395	7.502949863948061e-05	0.003027384750753299	0.0007421775429781973	2.931482595158741e-05	0.0002464178305672249	0.0002661649466608651	0.00030753514871264544	0.00012802566780166556	0.0010654643136626873	0.0019123412396091055	0.00041897279006661845	0.00012858865220040063	0.000736153750599442	0.0006374279793089954	0.00036479439317801623
BPArm[7]	4.9544278262203535e-08	2.08025079138352e-05	0.0023894885857589543	8.019657521799672e-05	0.0041950752786942755	9.35958010717286e-05	0.0013518850578111597	0.0010259794804733248	0.00011421224918933603	0.0	0.0	2.9661600362942407e-05	1.5187301428341016e-05	0.000560110143801467	0.00018933143421620002	0.00048026180293820887	0.0002134729835796634	6.608143608900718e-05	5.2676975993115606e-05	0.0013215797353086601	0.0002569601479876837	7.359705225098878e-05	0.000250297091097309	0.0020499593991189615	0.00010520965701289242	0.0018509776942528334	0.0017591731375296148	0.0001351112071766636	0.0003826345247716745
BPArm[8]	2.905871710146002e-08	1.1342487782712851e-05	0.006107711730292067	0.0002631555339024949	0.001818434550357225	0.00021536469314014538	0.00013953354824934648	0.0022349868355252055	6.94872912572464e-05	0.0002098663429961789	8.114376832963899e-06	6.920276318851393e-06	0.00017872825635258493	1.201651212817012e-05	5.949445397540387e-05	0.002051592199548509	0.0002762994408067243	1.3161623501218855e-05	0.0007409517281380573	0.00021765929782304738	0.00023374395227847343	0.0005396888027867419	0.00025250458650134534	0.0011239387398313738	6.0476086246126216e-05	5.849651308381004e-05	0.0004477797061812794	0.0007742385040910448	0.00026236275177325295
BPArm[9]	3.3865524393661415e-08	4.750589539526118e-09	0.001385647503484506	0.00012950312881002902	0.0029021840775385497	0.00048391087345862617	0.00027531455859225673	0.0014119686839512723	4.8764607709017585e-05	8.57873279528576e-06	1.6010275212465787e-05	4.265784882591106e-06	2.8738344197662968e-05	0.00032119263617460094	9.930595745173885e-05	0.0004656489131645136	0.00032286829891188697	0.00026814511001703066	2.5145549807348287e-05	0.0008211813289386782	0.0002568859257044487	0.0002743730415858181	0.00023763363022894169	0.00258719634151646	4.474955545447301e-05	0.00017644175045244736	0.0007876923131834701	0.00011198895401321352	7.899408170487732e-05
BPArm[10]	4.0334486719473265e-08	3.740984340083742e-09	0.002983599252765998	0.00040916889423897373	0.0018631095520686358	0.00011018778847414979	2.172265900298953e-05	0.0021832659238134513	3.1282723862204873e-05	4.1837894768832485e-05	5.37863634963287e-05	5.364268508856185e-07	9.467466192027984e-05	6.613498810683183e-05	5.4059433451669745e-05	0.0019936349528205176	0.0005824681070765791	1.325307006482035e-05	4.046995858516311e-05	0.0005602580223978748	0.0001984986064644545	4.505804052541862e-05	0.00040221186462986226	0.00022792123517007942	1.2969281477239748e-05	0.0005306974192143344	0.0002677667482356583	0.00035563831789481526	0.0003830214765275741
BPArm[>10 & <=20]	2.9703024821969847e-08	0.0	0.0016874851955799386	0.004678581028110784	0.014555436889640987	0.003330416261596838	4.7887959909151144e-09	0.009615464069065638	0.0005964824192778906	3.289585524157701e-05	0.0008840400958654912	3.897154506594971e-05	1.5347272928067923e-08	0.00035760835041656944	0.0007375215884246166	0.004014569648418132	0.0033276572383374513	5.202472084420151e-06	0.0002667631876647647	0.0005703676562518467	0.002894868032637419	7.75031056377884e-06	0.00011774120018344547	0.0006440663227976984	0.00022434916834754404	0.0015165671722614249	0.0001380489860093803	0.00029509187984444907	6.894581489177653e-05
BPArm[>20 & <=30]	4.683452397458154e-08	0.0	0.0	0.003209393952002415	0.0019033455912722274	0.0007153771964817679	7.006492321624086e-47	0.0013420676628447836	0.0016963352728271274	4.317073035053909e-06	0.0004110152648304677	0.0004818611214250268	2.0088659766770434e-08	0.00015342623445576464	0.001224737786750012	6.662249529114206e-05	2.0933460909873247e-05	1.3022891362197698e-05	8.199492068001746e-06	8.116788292682031e-05	0.0007672015827074574	2.2857355411360913e-05	0.0001662748890248622	2.6857348708695383e-05	0.00013717536348849534	0.0008909088949349098	0.0	1.162568292954802e-05	0.0
BPArm[>30]	8.507881683099406e-08	0.0	0.0	0.0031905677448958157	0.0	0.00011935206652706754	0.0	2.1728295832872392e-05	0.001193435691898177	1.0169194274567417e-05	0.0017261739090926654	0.003080840852926485	4.000663409442495e-09	9.422812195339247e-05	0.0010354142665906351	3.6036169603903545e-09	4.974754119757563e-10	0.0	0.0	0.0	1.1098416143795475e-06	1.401298464324817e-47	6.863488124508877e-08	0.0	9.61478417593753e-08	0.0	0.0	1.36892509772224e-09	1.8474602256901562e-06
CN[0]	7.439169256429068e-07	3.119180045274561e-07	1.7658120725673346e-08	3.5381350826924063e-09	6.841518725986262e-09	0.00657731107380056	1.616586574071377e-07	0.0013869840777635289	9.80908925027372e-47	0.0006489097501738317	3.008202903137525e-08	8.271385236458132e-09	4.4354047208372547e-08	1.879657122521133e-09	5.747896569624058e-08	0.20779871577379935	3.2209833315022253e-06	6.3353073246512955e-09	1.7589209324597733e-08	1.8660615900500942e-07	1.3191452159944107e-07	0.004810761470813034	3.116125146363103e-08	3.5670794993336583e-08	1.0020587946968362e-07	8.51318356254207e-09	8.85979879937382e-08	6.088894977376351e-08	2.1681522589744871e-07
CN[1]	0.00035097761885987566	2.265656077895528e-06	1.3287561593041849e-05	0.00012891396022173153	0.00019709891061072516	0.0015869104905389265	0.0005546169380138366	0.006061545545120879	4.203895392974451e-47	0.5010606843233109	0.0006394192340144505	2.1789223580981343e-09	0.0004459399053299662	0.0003114370494834733	0.004821030212376703	0.0490015237758306	0.0033773876864999688	4.742551660200711e-05	2.6477626575713823e-05	8.920591532543654e-05	0.0006447079414481038	1.9212893418083938e-05	0.00016553576570043068	2.344693536855402e-06	1.0663762381923902e-05	0.0007597114019373991	0.0018180556278249548	1.9584444592415374e-05	0.00021388349144494618
CN[2]	0.0028767756476291884	0.00010330528139547824	0.017899659803914832	0.04480002726859137	0.0049195678694713115	0.003154356815091125	0.0006511347029671682	0.002772478178802434	3.460316074131637e-32	0.2566352603584528	0.016605491702503028	7.434680010192096e-06	0.8820419454574585	0.00907949756649456	0.012178555551670205	0.04622025482912595	0.0016232531000140173	0.0043977284882976775	0.0011356440139900343	0.004161250307371633	0.00462790357182467	0.0008774526472968161	0.005692346412753303	0.0005567396188915552	0.008475588415127733	0.0011859011262257734	0.0014016124024055932	0.0018969587422907352	0.002066277855501965
CN[3]	2.5803082849822107e-08	0.00045163366309090234	2.0802002400159835e-05	0.056165331480309215	0.005081365563564759	0.013698064144598909	0.014307600418127614	0.027223823230102376	0.0029413918274925886	2.802596928649634e-47	0.0034288104840379673	0.002238755050580329	0.005254696547976892	0.5623045822232962	0.010911975967645943	3.1044120163414843e-10	0.022202349654909064	0.04222668724147469	0.05910636389202864	0.008363475376507277	0.006959438233057407	0.03909180672680919	0.004866977881798411	0.04713913002703752	0.013443061859745486	0.016187606179085493	0.020999417050068293	0.012250411140187776	0.011844418192731894
CN[4]	3.13907583737727e-08	1.1994094961664814e-09	0.0	0.0021174591752719605	7.707141553786495e-46	0.1808255541473319	1.1410396837163717e-07	0.004721539687509448	0.17375481706112622	0.0	0.004560294950617561	0.004447764375848241	2.0702128949778853e-07	0.12417743457342055	0.008869916434706197	0.00022838114715241885	0.007113926531982093	0.0013581255010159054	0.0022053128871033323	0.019794968738134456	0.04948535710397351	0.004931157304850311	0.0034491076550328776	0.007979717499170464	0.002662235175474166	0.004090807097236655	0.028295434827096684	0.033851174831220895	0.01851617444614078
