MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q	SBS80R	SBS80S	SBS80T	SBS80U	SBS80V	SBS80W	SBS80X	SBS80Y	SBS80Z	SBS80AA	SBS80AB	SBS80AC	SBS80AD
BP10MB[0]	0.7204571431875229	0.7711554658412934	0.44772265464067457	0.0006256465711879317	0.035292190452569545	0.0024664818390715054	0.00040973212646054744	0.4134316849708557	0.04304866502745156	0.012355961470732636	0.03324798308710766	0.03393084687180817	0.014700959103611293	0.0036071810648992163	0.03810628112177349	0.05051890849796	0.0926790573764849	0.01950231383972631	0.009607957679836616	0.0665106878731631	0.007329851268232147	0.0329848700825303	0.1564142373519645	0.0111608969681183	0.011397342169497202	0.016835568505326352	0.022176501655284907	0.04512950334599525	0.043748100007500526	0.0952038070700489
BP10MB[1]	1.401298464324817e-47	0.0078216210595005	0.002892821681780333	0.0011464959057047963	0.07111641655210406	0.005903334232862108	0.0025623483804520218	0.15968932917807252	0.007792068350597674	0.0008285034094988172	1.4012984643248171e-46	0.0010113915770489257	0.0027004571841098366	0.0006898909915422252	0.0016726117078637124	0.006162211312912404	0.0023864131054169	0.0009240344700810966	0.00045282935308932793	0.0020389566067024194	0.0015969348588441789	0.0016942146891960874	0.0031866067109876895	0.0019708945406455313	0.0009283012968204704	0.0014265860919840635	8.874060993548483e-05	0.002708349932981946	0.0008214301592670381	0.0026493775774179083
BP10MB[2]	0.0	0.007314718514680863	0.12131771348416805	0.005966854075466734	0.04346404725602042	0.005014772626714098	0.0011373180232476443	0.006909515351580921	0.05618945402863563	5.726825591523266e-10	0.003936747607344842	1.401298464324817e-47	0.004712118151364855	0.010378637561110727	0.00028519746559524606	0.008053678309479437	0.05129713883623481	0.024134499777354677	0.008302614535932663	0.0005942601055721752	0.00870165657187519	0.0014625217942496565	0.002864079914288595	6.0706585645675656e-05	0.0005093775419663871	0.0037135281927703546	0.00136199460393982	0.0004229153149572085	0.0010840909230078353	0.0049618532693421
BP10MB[3]	1.4620672308396365e-08	2.3045927406428745e-08	0.0006025067488053537	0.0042493404455854035	0.03986759435385465	0.0066046271335130765	0.0015250113354764493	0.00567195957633885	0.010891716445621568	0.00038230981143387214	5.080570743452029e-06	0.0002712108662075252	0.00041729755845153703	0.000457415122436943	0.002452382474081816	0.0010281402517284732	0.002525634450622789	0.0018587107910218847	0.0010149252225008596	5.732251047447789e-05	0.001455138028809415	0.0015585827876776648	0.003149531746525156	0.0001605356684355286	0.0006790732022810249	0.0035237116743689757	0.0014255626430534818	0.003290234640601275	0.00011351544177159667	0.001014926895980821
BP10MB[4]	1.4203256650802132e-08	0.0	0.006803161369553976	0.01250118202646263	0.017131493939086796	0.005606728683353594	0.0008969212487863842	4.716238006949425e-05	0.014879553609061987	0.0001208824307926193	0.0002785419599989325	7.695007952861488e-06	0.002168067764678199	0.0016292091376482176	0.0002654698283763324	0.0065156822002458625	0.016064083273522555	0.014319420949689458	0.0007454095793999932	7.816771394573151e-06	0.0015222721524156668	0.0025492900836471223	1.9917425233870745e-05	5.4399682962866794e-05	0.0001502154730314942	0.002015668199983338	2.7887808391824366e-05	4.889747127890587e-05	2.0118730390095152e-07	0.00022235670984372291
BP10MB[5]	4.0998913819478844e-08	1.401298464324817e-47	0.0	0.006101222248344129	0.009336856357986107	0.002969864949482144	0.0017174725744553143	1.401298464324817e-47	0.004605696218495723	0.00010491660619663889	3.358970388944726e-08	0.0012739889644217328	0.00012150913820505594	1.4794662911299384e-05	0.0015914103091728294	0.00016344296434894545	0.0002806074144064074	0.0004615873869761344	0.00010864993106224574	0.0009787227364285657	0.0011839254930774245	0.0007951474961873828	0.00025752047944365585	0.00010619088719977298	6.956421362701804e-05	0.0004271185690346613	0.00039598373357875973	0.0015858729839594331	0.0005126003927171042	0.00017669133881099698
BP10MB[>5]	5.4930538840869435e-08	0.0	0.0	0.03177790233399719	0.000230762186110951	0.007105362818139724	0.007900909959114983	0.0	0.0012964709496191063	0.00024237680083388113	1.3852278257786566e-08	0.016266933626029642	0.014682982315276831	4.203895392974451e-47	0.0071695886886140306	0.003661674465659388	0.0001110492623411119	5.6223224904528025e-05	0.0	0.0002558013428375716	6.667396619377542e-06	8.660800085635856e-06	0.0003900855593383312	1.401298464324817e-47	1.401298464324817e-47	3.2229864679470794e-46	2.701362518564565e-08	0.00015056072734296322	2.168589887446615e-05	9.80908925027372e-47
BPArm[0]	0.12041080750524998	0.06276081074029208	0.015844301905017663	0.00015719636849098606	0.0018753583570165944	0.000400770270061912	5.514127973583527e-05	0.014265757600660435	0.0019292212850996304	0.0020801287386421636	0.001602904216531864	0.0009700077693560161	0.00030391326610697435	0.00038875538592037656	0.0062892149428255	0.0037214271129199896	0.007725907414829909	0.0029025884470267405	0.0009969336247101167	0.0032360033225122342	0.002972069235339912	0.0025739802089492767	0.002812842170002654	0.0018115805782156925	0.0008623210942567024	0.0016925499829995765	0.0028720246689131314	0.0014287838916075565	0.00033545952275840484	0.00761526415404625
BPArm[1]	0.00024039869139652837	0.011447167949963805	0.00036263105429952704	2.411746210101429e-09	7.317109693474321e-05	6.648833483779981e-10	9.687174840067315e-10	0.028268349146273124	1.8362216103184892e-09	1.272783348493789e-08	1.423068848538378e-08	2.434868564535897e-06	7.599401125268912e-08	4.086153375659762e-09	4.647548209715947e-05	0.0006632110940219604	4.997674984963396e-09	3.3918809882321766e-09	8.197688288191785e-09	3.614342602986653e-10	0.0018167902679827818	7.006492321624086e-47	0.004550189638144424	1.3988134526243811e-08	8.418196664194966e-07	5.417685466468924e-08	0.003049209916123914	0.001675040999492694	4.873413701034224e-08	0.0027459933569893027
BPArm[2]	0.00020582658540948984	0.02485083069471699	0.02523128083318852	6.595948431886711e-10	1.5655439720632104e-05	5.929068544027416e-05	2.802596928649634e-47	0.0058641482660572565	0.0005297422144190486	2.607514942774003e-05	0.00026159569647520085	6.353906118210517e-06	2.5015858073906826e-08	2.2420775429197074e-46	2.037748591842359e-05	0.001981560953558983	0.0010555646681271469	0.0001002684251169228	0.0006225233152508735	8.233995114892422e-06	1.2806663156084142e-06	1.5414283107572988e-46	0.0031350030808812335	3.83798244740774e-09	0.0006438605265653763	8.407790785948902e-47	0.001146296663779367	1.0259615407904369e-07	2.900977810469385e-05	0.0014417602253365659
