Samples	SBS80A	SBS80B	SBS80C
0009b464-b376-4fbc-8a56-da538269a02f	1020	1635	18
003819bc-c415-4e76-887c-931d60ed39e7	13	7	447
0040b1b6-b07a-4b6e-90ef-133523eaf412	289	0	370
00493087-9d9d-40ca-86d5-936f1b951c93	56	0	437
00508f2b-36bf-44fc-b66b-97e1f3e40bfa	557	0	301
005794f1-5a87-45b5-9811-83ddf6924568	35	8	443
005e85a3-3571-462d-8dc9-2babfc7ace21	107	0	415
007aab66-2f07-459d-8952-3041d6ea24a8	0	11	450
008aef39-0c97-48ce-9dfd-f12d67116c59	495	0	330
008bad10-d41b-4bbb-86fa-9976ecea46b1	357	0	366
00aa769d-622c-433e-8a8a-63fb5c41ea42	13	13	445
00b9d0e6-69dc-4345-bffd-ce32880c8eef	20	9	457
00bf0350-8c7c-4b9e-8143-13ea2dc1122f	90	0	437
00c27940-c623-11e3-bf01-24c6515278c0	125	67	419
00db1b95-8ca3-4cc4-bb46-6b8c8019a7c7	133	279	353
00db4dc2-3ec7-4ff9-9233-d69c8c8a607f	1072	790	120
01658141-8398-4585-9f0f-8355dd9b0604	757	1535	130
0168a2a6-c3af-4d58-a51c-d33f0fc7876d	71	1	445
0176cf1d-0760-4769-a493-277f4bb7585e	452	193	330
0192d529-7340-45d8-a5f0-249cbb11ca19	386	0	350
01b0848c-ae36-4ade-a3da-d297b003c99f	897	989	126
01c8e465-2b4e-4519-bdef-c3ac06b43eeb	83	0	438
01dc6872-c623-11e3-bf01-24c6515278c0	187	69	416
01df36af-3617-40fc-9892-f54ce433cf71	754	784	162
02078f77-2b35-4fa3-ab02-2c017181295e	0	10	451
020fab36-c7de-4933-b2bf-dc7b019a1326	154	1286	278
0250e6f7-2538-4d1f-a8ff-ca34a7057dde	304	786	302
02706819-bcab-4c49-a569-a4a8c60db1c0	0	11	463
02917220-6a7a-46a1-8656-907e96bef88e	124	0	409
0292a46f-a282-4b7f-a7d6-ac55cc7324fb	0	15	449
02c6a893-49c5-49d1-8eb1-195021e70d52	149	38	416
02c97e2b-914e-4afc-bf50-78f0cfbfa67b	171	166	387
02e5c36f-5bec-45e2-a048-875653b85ca1	229	181	365
030695f6-c623-11e3-bf01-24c6515278c0	444	117	322
031962d6-fc7d-4c6c-9d47-ffa45997b249	0	25	462
0332b017-17d5-4083-8fc4-9d6f8fdbbbde	0	173	432
0363fe2c-d765-450e-8b1a-d13a23d9af2a	0	11	465
0385961e-ea99-40b2-ad79-6872bc30d8a1	36	4	439
03ad38a6-0902-4aaa-84a3-91ea88fa9883	67	17	434
03b5268e-881e-49e7-824f-170c3fc8b11b	0	204	427
03c3c692-8a86-4843-85ae-e045f0fa6f88	581	933	191
03c88506-d72e-4a44-a34e-a7f0564f1799	279	0	387
03ced0ce-186a-4349-8d98-572c2bc90382	425	1075	211
03cff38d-7e29-4409-a508-749bddb1b3df	764	461	194
041e3b42-c623-11e3-bf01-24c6515278c0	250	156	361
04339769-517c-448d-a7ca-951f83608c60	255	51	391
0448206f-3ade-4087-b1a9-4fb2d14e1367	1949	1847	0
046d7386-95c8-4501-9e55-c85bec272a7a	994	0	193
047f9e4d-86b5-4943-aef5-68199bf29e8c	315	318	352
04aa6b77-8074-480c-872e-a1a47afa5314	349	199	335
04b570c2-3224-4e9b-81cc-089b4a7ff07a	24	3	459
04b9837e-9ab5-4eb9-9a9c-ef49e3a62662	27	115	426
04c09376-8756-41d9-bbca-f464170a8cfb	504	165	317
04db8bef-8777-48ac-bc2e-3c9acb103f48	0	48	441
05070acd-3ec1-44bb-9c32-26d3a483a72a	363	21	364
051cb117-16fd-459e-81e5-002eca2b7eea	0	31	450
052015bc-8c24-467c-8ff7-9e0dc4ad39fd	361	0	341
052665d1-ab75-4f40-be5a-b88154c8beed	557	1088	215
05486349-24a4-4931-bf5f-c9fefe369af2	196	8	407
0554ffe5-31f7-43f5-8372-2b73c9cf3527	3	71	449
05616329-e7ba-4efd-87b1-d79cd0f7af3d	213	4	393
0567d3e6-6278-4d0a-81ae-c084d73c6dd3	0	3	452
05780d48-80e7-4d70-b00c-081f8a9519f2	201	0	392
05c487aa-72d8-42e6-aa2b-b9b5ce273f5c	0	10	454
