MutationType	SBS80A	SBS80B	SBS80C
BP10MB[0]	1.39E-04	8.80E-05	6.83E-05
BP10MB[1]	2.82E-05	2.09E-05	1.59E-05
BP10MB[2]	2.95E-05	2.59E-05	8.48E-06
BP10MB[3]	1.26E-05	1.21E-05	3.86E-10
BP10MB[4]	1.12E-05	1.11E-05	1.16E-10
BP10MB[5]	6.48E-06	7.18E-06	1.65E-10
BP10MB[>5]	1.03E-05	1.47E-05	0.00E+00
BPArm[0]	1.01E-05	6.10E-06	2.97E-05
BPArm[1]	6.27E-06	5.01E-06	1.01E-05
BPArm[2]	1.34E-05	5.97E-06	1.41E-05
BPArm[3]	6.75E-06	5.56E-06	5.48E-06
BPArm[4]	8.81E-06	6.03E-06	5.87E-06
BPArm[5]	5.57E-06	4.78E-06	5.13E-07
BPArm[6]	6.66E-06	5.24E-06	4.94E-10
BPArm[7]	4.42E-06	3.91E-06	8.30E-10
BPArm[8]	4.70E-06	4.33E-06	2.43E-10
BPArm[9]	3.54E-06	3.24E-06	2.24E-10
BPArm[10]	4.46E-06	3.91E-06	1.60E-10
BPArm[>10 & <=20]	8.46E-06	8.54E-06	9.24E-11
BPArm[>20 & <=30]	3.74E-06	4.27E-06	9.54E-11
BPArm[>30]	1.91E-06	3.60E-06	9.06E-11
CN[0]	1.35E-05	7.69E-06	3.18E-06
CN[1]	3.23E-05	0.00E+00	1.65E-05
CN[2]	4.47E-05	2.61E-05	2.84E-05
CN[3]	3.28E-05	3.38E-05	1.02E-05
CN[4]	2.31E-05	3.30E-05	8.44E-09
CN[>4 & <=8]	1.07E-08	3.94E-05	2.07E-09
CN[>8]	0.00E+00	1.87E-05	2.86E-10
CNCP[0]	2.38E-10	9.48E-11	1.79E-05
CNCP[1]	7.31E-05	6.10E-05	1.78E-05
CNCP[2]	2.82E-05	3.83E-05	0.00E+00
CNCP[3]	1.34E-05	2.11E-05	0.00E+00
CNCP[4]	6.78E-06	1.38E-05	9.91E-11
CNCP[>4 & <=8]	2.74E-11	1.49E-05	3.56E-10
CNCP[>8]	0.00E+00	1.20E-05	9.08E-10
OsCN[0]	2.51E-05	4.44E-05	2.30E-05
OsCN[1]	2.75E-05	2.71E-05	8.56E-06
OsCN[2]	9.02E-06	1.02E-05	1.09E-09
OsCN[3]	9.26E-06	8.47E-06	2.47E-10
OsCN[4]	5.75E-06	5.00E-06	5.40E-10
OsCN[>4 & <=10]	7.30E-06	6.64E-06	1.29E-10
OsCN[>10]	3.39E-06	1.40E-06	2.38E-10
SS[<=2]	2.09E-06	3.55E-06	1.18E-09
SS[>2 & <=3]	6.92E-06	9.58E-06	1.50E-10
SS[>3 & <=4]	1.78E-05	1.74E-05	0.00E+00
SS[>4 & <=5]	2.09E-05	2.61E-05	0.00E+00
SS[>5 & <=6]	3.37E-05	3.64E-05	8.62E-06
SS[>6 & <=7]	3.67E-05	4.04E-05	0.00E+00
SS[>7 & <=8]	4.12E-05	4.00E-05	2.65E-05
SS[>8]	1.34E-10	8.05E-11	1.81E-05
NC50[<=2]	5.78E-11	4.04E-10	3.01E-06
NC50[3]	9.88E-11	4.32E-07	2.06E-06
NC50[4]	1.87E-06	1.17E-06	2.49E-06
NC50[5]	2.09E-06	1.09E-06	2.26E-06
NC50[6]	2.37E-06	1.99E-06	1.42E-06
NC50[7]	1.57E-06	1.43E-06	6.20E-07
NC50[>7]	7.08E-07	6.87E-07	5.24E-07
BoChr[1]	1.58E-05	1.67E-05	4.34E-06
BoChr[2]	1.56E-05	1.45E-05	3.10E-06
BoChr[3]	1.34E-05	1.49E-05	3.96E-06
BoChr[4]	1.20E-05	1.16E-05	4.09E-09
BoChr[5]	1.18E-05	1.33E-05	3.93E-06
BoChr[6]	1.32E-05	1.43E-05	3.77E-06
BoChr[7]	1.30E-05	1.43E-05	5.34E-06
BoChr[8]	1.41E-05	1.72E-05	3.98E-06
BoChr[9]	1.12E-05	1.06E-05	4.87E-06
BoChr[10]	1.23E-05	1.17E-05	3.00E-06
BoChr[11]	1.18E-05	1.50E-05	3.22E-06
BoChr[12]	1.03E-05	1.40E-05	3.68E-06
BoChr[13]	1.03E-05	9.47E-06	3.93E-06
BoChr[14]	9.05E-06	9.49E-06	3.62E-06
BoChr[15]	7.66E-06	8.35E-06	1.98E-06
BoChr[16]	9.86E-06	1.04E-05	4.14E-06
BoChr[17]	1.11E-05	1.47E-05	5.08E-06
BoChr[18]	1.02E-05	1.02E-05	4.19E-06
BoChr[19]	9.85E-06	1.20E-05	3.34E-06
BoChr[20]	8.71E-06	1.08E-05	2.41E-06
BoChr[21]	6.38E-06	7.90E-06	3.47E-06
BoChr[22]	7.27E-06	7.12E-06	3.68E-06
BoChr[23]	1.09E-05	9.72E-06	4.19E-06
