Samples	SBS80A	SBS80B	SBS80C	SBS80D
0009b464-b376-4fbc-8a56-da538269a02f	24	1382	881	386
003819bc-c415-4e76-887c-931d60ed39e7	446	4	17	0
0040b1b6-b07a-4b6e-90ef-133523eaf412	344	0	163	152
00493087-9d9d-40ca-86d5-936f1b951c93	444	0	46	3
00508f2b-36bf-44fc-b66b-97e1f3e40bfa	355	0	463	40
005794f1-5a87-45b5-9811-83ddf6924568	445	2	39	0
005e85a3-3571-462d-8dc9-2babfc7ace21	413	0	69	40
007aab66-2f07-459d-8952-3041d6ea24a8	446	10	5	0
008aef39-0c97-48ce-9dfd-f12d67116c59	383	0	414	28
008bad10-d41b-4bbb-86fa-9976ecea46b1	333	0	190	200
00aa769d-622c-433e-8a8a-63fb5c41ea42	446	11	13	1
00b9d0e6-69dc-4345-bffd-ce32880c8eef	459	6	18	3
00bf0350-8c7c-4b9e-8143-13ea2dc1122f	450	0	77	0
00c27940-c623-11e3-bf01-24c6515278c0	403	45	68	95
00db1b95-8ca3-4cc4-bb46-6b8c8019a7c7	346	221	104	94
00db4dc2-3ec7-4ff9-9233-d69c8c8a607f	131	636	846	369
01658141-8398-4585-9f0f-8355dd9b0604	151	1347	677	247
0168a2a6-c3af-4d58-a51c-d33f0fc7876d	443	0	47	27
0176cf1d-0760-4769-a493-277f4bb7585e	352	147	357	119
0192d529-7340-45d8-a5f0-249cbb11ca19	354	0	264	118
01b0848c-ae36-4ade-a3da-d297b003c99f	66	782	596	568
01c8e465-2b4e-4519-bdef-c3ac06b43eeb	439	0	57	25
01dc6872-c623-11e3-bf01-24c6515278c0	396	43	109	124
01df36af-3617-40fc-9892-f54ce433cf71	181	640	643	236
02078f77-2b35-4fa3-ab02-2c017181295e	448	7	6	0
020fab36-c7de-4933-b2bf-dc7b019a1326	285	1158	187	88
0250e6f7-2538-4d1f-a8ff-ca34a7057dde	158	605	22	607
02706819-bcab-4c49-a569-a4a8c60db1c0	460	8	6	0
02917220-6a7a-46a1-8656-907e96bef88e	398	0	70	65
0292a46f-a282-4b7f-a7d6-ac55cc7324fb	446	12	6	0
02c6a893-49c5-49d1-8eb1-195021e70d52	402	19	87	95
02c97e2b-914e-4afc-bf50-78f0cfbfa67b	327	119	46	232
02e5c36f-5bec-45e2-a048-875653b85ca1	355	141	152	127
030695f6-c623-11e3-bf01-24c6515278c0	332	76	330	145
031962d6-fc7d-4c6c-9d47-ffa45997b249	459	18	10	0
