MutationType	SBS80A	SBS80B	SBS80C	SBS80D
BP10MB[0]	0.7046385258436203	0.010477578989230097	0.02608571095857769	0.19773403353989125
BP10MB[1]	0.006534129939973354	0.005166906616650522	0.014127370547503232	0.03638956423848867
BP10MB[2]	0.0007558488564973231	0.0033988316473551093	0.02062298821285367	0.06448636773973704
BP10MB[3]	1.996078758281783e-08	0.004324232872386346	0.007084614518098533	0.007008806499652564
BP10MB[4]	5.567387382776623e-09	0.0036263122025411575	0.0073986371047794815	0.007705768346786499
BP10MB[5]	1.340437626673463e-08	0.0028873455699067563	0.0031440321099944412	0.00040965163680084515
BP10MB[>5]	2.962575540443879e-10	0.009944996372796595	0.007367542898282409	0.00025894817896187305
BPArm[0]	0.08634195230901241	0.00043344315003196243	0.0007877311643096619	0.005836927054915577
BPArm[1]	0.005494432738050819	0.00017813200436648914	0.00014544014839884767	0.0027464723691809924
BPArm[2]	0.00725759707391262	2.291479415362119e-05	0.0009522386299795472	0.009506357670761644
BPArm[3]	0.0007530214014695957	7.95715256862195e-05	0.000561045423237374	0.004651612769812345
BPArm[4]	0.00044186309853103014	5.3602565625396895e-05	0.0014421908353688196	0.007581218709237874
BPArm[5]	2.1563547595917497e-05	0.00012490100185459597	0.0007850133549072779	0.003344184411689639
BPArm[6]	5.146409478129499e-08	0.00012174266620377239	0.0010637620848137886	0.004523004540242254
BPArm[7]	5.6926380622712714e-08	0.00026795388914251816	0.000647486899397336	0.0021742288011591883
BPArm[8]	3.0450355499311856e-08	0.00012976699551927595	0.0008758186415070668	0.0027378385362681
BPArm[9]	2.4774032336694062e-08	0.0002733513443854463	0.0005180797871435061	0.0013220378663390876
BPArm[10]	2.3620414406622102e-08	0.00015204205757754608	0.0006154495582450181	0.0017938967689406127
BPArm[>10 & <=20]	7.227512250906898e-09	0.002493376451311633	0.0035304482583887876	0.003621486364863813
BPArm[>20 & <=30]	1.4431788004642953e-08	0.0013417231611674652	0.0011182074929820373	2.915579651016742e-05
BPArm[>30]	1.3518355155284212e-08	0.0014305181289091706	0.0005780645937193185	7.295429495570715e-06
CN[0]	1.1081722965258223e-05	0.0003955927258243719	0.0007685967080760747	0.018545898851007225
CN[1]	0.006182871954515576	0.00014835014590062202	0.05860089100897312	0.025821783654391764
CN[2]	0.0412572018802166	0.004543746970593929	0.09209957279264927	0.06580684166401625
CN[3]	0.0010433132178150118	0.03853266578167677	0.06317518591880798	0.01971037220209837
CN[4]	2.212851031302421e-09	0.0574258347786963	0.014386030472815036	0.01566584685817361
CN[>4 & <=8]	7.092618545812001e-09	0.08511709094047547	0.0052816390816587955	0.006417972543276846
CN[>8]	1.6788329887162945e-07	0.03493345944210887	7.749310988458546e-09	0.0
CNCP[0]	0.03301467023789883	2.5103987322250276e-09	7.666888030000152e-10	4.292578916719858e-05
CNCP[1]	0.00010720861486120726	0.06562572576105595	0.2364432668685913	0.04750576177611947
CNCP[2]	0.0	0.055464810766279696	0.006941620168838654	0.06344984892755746
CNCP[3]	1.7188923275845978e-08	0.02459111316129565	0.0008901148755103349	0.013887475179508328
CNCP[4]	3.921695725495056e-08	0.01540834665298462	0.000248822474386543	0.004741807540340232
CNCP[>4 & <=8]	3.0731180048482184e-08	0.023773248381912707	0.0	0.0030534308489077234
CNCP[>8]	2.602034268761599e-07	0.015638530822470784	2.1673068754607424e-09	3.368297287198452e-09
OsCN[0]	0.04088572513312101	0.08908905811607838	0.016292608389630914	9.018687543626774e-05
OsCN[1]	0.0013835995964473114	0.029799910187721254	0.015539875598624348	0.052040611878037456
OsCN[2]	2.7281308314641704e-08	0.006720824944786727	0.007015266991220415	0.002234589346917346
OsCN[3]	2.412166384857528e-08	0.0028750618291087447	0.006405866034328938	0.006661223550327122
OsCN[4]	3.3883887944341496e-08	0.0012113477287130081	0.0030029728054068983	0.00019019584996584626
OsCN[>4 & <=10]	2.18557935482977e-08	0.0014804004784673452	0.007479526253882795	0.0008640209316217807
OsCN[>10]	3.249764507273767e-08	4.6646414557471874e-05	0.0016430130362277851	0.00010306889991696267
SS[<=2]	3.3820148068741675e-08	0.0013207696285098792	0.00017277505045058206	0.00036714085450512357
SS[>2 & <=3]	2.79399527203239e-08	0.004790886705741286	7.422351093687496e-05	0.00502080557635054
SS[>3 & <=4]	0.0	0.01551202236674726	0.004878979581408202	0.020913399942219257
SS[>4 & <=5]	0.0	0.03909547358751297	0.036170597914606334	0.01090898242779076
SS[>5 & <=6]	2.8960278995643795e-05	0.07079798627644777	0.07564991228282451	0.0035233480855822565
SS[>6 & <=7]	0.0	0.05623784108087421	0.07027432344853878	0.04589128140360117
SS[>7 & <=8]	0.026631441097706557	0.008645279775373637	0.034484404772520065	0.10048343129456043
SS[>8]	0.02908970644697547	7.822875192076139e-09	4.422454625840899e-09	9.898779933497498e-10
NC50[<=2]	0.0009378099185414613	7.477400299071846e-07	2.23291230075362e-09	3.7419043974473706e-11
NC50[3]	0.0005234321794705465	7.571934568773031e-06	1.4072244983696913e-09	4.5747777011051484e-10
NC50[4]	0.00040358279831707476	3.716380390869745e-05	9.53350673516271e-05	2.9352190267388778e-05
NC50[5]	0.00017232196682016366	2.394175940733101e-06	2.4119067209801974e-05	0.00036789986508665605
NC50[6]	4.239889289237908e-05	4.173305528007987e-06	3.3441772945541624e-05	0.0005300709180301055
NC50[7]	1.6821607030479414e-05	7.0917590699082235e-06	6.34100967363338e-05	0.0002710691635729745
NC50[>7]	2.5986126565840096e-05	1.7615857617095387e-06	5.334405640253781e-06	6.037781671693665e-05
BoChr[1]	0.0001797041188001458	0.018150701001286507	0.011791179152205587	0.008999361395835877
BoChr[2]	6.502884074222947e-05	0.010646349730086513	0.0102081033680588	0.007193438578397036
BoChr[3]	0.000237886113463901	0.011435883427038789	0.009907017163932323	0.00625460219103843
BoChr[4]	6.216924491653231e-08	0.007940162546001375	0.0065681861340999605	0.005980215109884739
BoChr[5]	0.00016310849299770779	0.010642519686371088	0.008920213943347334	0.003195393800269812
BoChr[6]	0.00018077083681419025	0.012076208661310374	0.009131393125280739	0.006428420883603394
BoChr[7]	0.000449611350777559	0.011296605253592133	0.007699657925404608	0.004800956244580447
BoChr[8]	0.00018829687367542648	0.016536756586283445	0.010146623393520713	0.005871543502435088
BoChr[9]	0.0003343869867967442	0.0060942671168595555	0.005751716461963952	0.005836586570367217
BoChr[10]	0.00010507717072187006	0.005705174769391305	0.005885226340033114	0.007076296587474645
BoChr[11]	8.525992727271614e-05	0.014274932695552706	0.006698721153661609	0.0050960532948374744
BoChr[12]	6.0276514765646996e-05	0.01695020101964474	0.006896367631852627	0.0014994821941945703
BoChr[13]	0.00028940934324054977	0.0031556687669944948	0.004281872904393822	0.004442421512212604
BoChr[14]	0.0004880649677943438	0.005033789977896958	0.003909363041166216	0.0035039949556812645
BoChr[15]	2.075072900012742e-05	0.004164117882028222	0.0027537485561333597	0.0035318244970403614
BoChr[16]	0.00024661676958203315	0.0041944493609480556	0.004029686430003494	0.005522088259458542
BoChr[17]	0.0007117123214993626	0.012556774709373712	0.004986355751752853	0.002869162617716938
BoChr[18]	0.00026224470100714824	0.005594576890580356	0.004378312560729683	0.002096445693168789
BoChr[19]	9.992394165237783e-05	0.008840212738141418	0.0047518031578511	0.000897495957033243
BoChr[20]	3.0263138167896386e-05	0.007230959846638143	0.004068292051088065	0.0020181837666314096
BoChr[21]	0.000367962142045144	0.0030323509406298397	0.002477347715757787	0.0015796538745053114
BoChr[22]	0.0005178789322962985	0.003163022320950404	0.002496025275904685	0.0012932849751086906
BoChr[23]	0.0009178227692609653	0.005072196391411126	0.004669191355351359	0.004943213937804103
