MutationType	SBS80A	SBS80B	SBS80C	SBS80D
BP10MB[0]	1.65E-04	1.13E-03	7.43E-04	2.37E-03
BP10MB[1]	2.17E-05	1.77E-04	2.93E-04	5.27E-04
BP10MB[2]	1.74E-05	9.99E-05	1.75E-04	5.95E-04
BP10MB[3]	7.24E-10	1.27E-04	5.31E-05	3.70E-05
BP10MB[4]	3.69E-10	6.18E-05	2.68E-05	2.21E-05
BP10MB[5]	4.00E-10	5.40E-05	1.39E-05	4.03E-05
BP10MB[>5]	8.38E-11	7.16E-05	6.99E-05	7.82E-05
BPArm[0]	4.70E-05	3.30E-05	3.07E-05	8.32E-05
BPArm[1]	1.39E-05	7.84E-06	2.36E-05	5.60E-05
BPArm[2]	1.77E-05	8.41E-06	3.23E-05	9.73E-05
BPArm[3]	6.16E-06	6.32E-06	3.82E-05	7.59E-05
BPArm[4]	7.23E-06	1.39E-05	3.18E-05	6.94E-05
BPArm[5]	1.95E-06	6.78E-06	2.63E-05	5.04E-05
BPArm[6]	9.13E-10	1.33E-05	1.59E-05	4.71E-05
BPArm[7]	1.71E-09	8.04E-06	1.88E-05	3.37E-05
BPArm[8]	3.61E-10	8.13E-06	9.76E-06	2.67E-05
BPArm[9]	2.80E-10	7.00E-06	1.12E-05	1.91E-05
BPArm[10]	1.89E-10	7.22E-06	8.35E-06	2.01E-05
BPArm[>10 & <=20]	2.18E-10	3.41E-05	1.83E-05	1.93E-05
BPArm[>20 & <=30]	1.55E-10	2.68E-05	1.80E-05	8.81E-06
BPArm[>30]	1.14E-10	6.48E-06	1.85E-05	2.23E-06
CN[0]	2.73E-06	1.07E-04	4.47E-05	1.68E-04
CN[1]	5.73E-05	4.56E-05	1.97E-03	1.41E-03
CN[2]	9.66E-05	5.15E-05	2.36E-03	1.33E-03
CN[3]	1.31E-05	1.10E-03	2.49E-04	3.33E-04
CN[4]	7.87E-10	1.12E-03	1.68E-03	4.84E-04
CN[>4 & <=8]	2.14E-09	1.81E-04	1.59E-03	2.58E-04
CN[>8]	4.62E-10	1.18E-03	2.43E-09	0.00E+00
CNCP[0]	3.49E-05	1.72E-09	4.25E-10	5.61E-06
CNCP[1]	3.10E-05	2.21E-03	3.42E-03	3.40E-03
CNCP[2]	0.00E+00	1.15E-04	1.57E-03	1.26E-03
