Samples	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E
0009b464-b376-4fbc-8a56-da538269a02f	70	1925	0	557	121
003819bc-c415-4e76-887c-931d60ed39e7	444	0	0	17	6
0040b1b6-b07a-4b6e-90ef-133523eaf412	341	45	152	121	0
00493087-9d9d-40ca-86d5-936f1b951c93	439	0	16	38	0
00508f2b-36bf-44fc-b66b-97e1f3e40bfa	332	0	144	382	0
005794f1-5a87-45b5-9811-83ddf6924568	442	0	0	37	7
005e85a3-3571-462d-8dc9-2babfc7ace21	408	0	57	57	0
007aab66-2f07-459d-8952-3041d6ea24a8	443	0	0	8	10
008aef39-0c97-48ce-9dfd-f12d67116c59	360	0	119	346	0
008bad10-d41b-4bbb-86fa-9976ecea46b1	326	0	237	160	0
00aa769d-622c-433e-8a8a-63fb5c41ea42	441	0	7	12	11
00b9d0e6-69dc-4345-bffd-ce32880c8eef	453	0	10	16	7
00bf0350-8c7c-4b9e-8143-13ea2dc1122f	447	0	15	65	0
00c27940-c623-11e3-bf01-24c6515278c0	403	66	87	48	7
00db1b95-8ca3-4cc4-bb46-6b8c8019a7c7	357	382	0	26	0
00db4dc2-3ec7-4ff9-9233-d69c8c8a607f	135	743	285	659	160
01658141-8398-4585-9f0f-8355dd9b0604	167	1163	56	531	505
0168a2a6-c3af-4d58-a51c-d33f0fc7876d	437	0	39	39	2
0176cf1d-0760-4769-a493-277f4bb7585e	341	140	144	284	66
0192d529-7340-45d8-a5f0-249cbb11ca19	342	0	174	220	0
01b0848c-ae36-4ade-a3da-d297b003c99f	92	1124	338	385	73
01c8e465-2b4e-4519-bdef-c3ac06b43eeb	434	0	40	47	0
01dc6872-c623-11e3-bf01-24c6515278c0	391	35	127	90	29
01df36af-3617-40fc-9892-f54ce433cf71	213	1012	37	435	3
02078f77-2b35-4fa3-ab02-2c017181295e	445	0	0	9	7
020fab36-c7de-4933-b2bf-dc7b019a1326	277	767	0	157	517
0250e6f7-2538-4d1f-a8ff-ca34a7057dde	186	629	405	0	172
02706819-bcab-4c49-a569-a4a8c60db1c0	456	0	0	9	9
02917220-6a7a-46a1-8656-907e96bef88e	394	0	79	60	0
0292a46f-a282-4b7f-a7d6-ac55cc7324fb	445	0	0	9	10
02c6a893-49c5-49d1-8eb1-195021e70d52	400	42	93	65	3
02c97e2b-914e-4afc-bf50-78f0cfbfa67b	327	138	196	24	39
02e5c36f-5bec-45e2-a048-875653b85ca1	351	123	117	122	62
030695f6-c623-11e3-bf01-24c6515278c0	322	111	169	254	27
031962d6-fc7d-4c6c-9d47-ffa45997b249	459	0	0	14	14
0332b017-17d5-4083-8fc4-9d6f8fdbbbde	426	109	0	0	70
0363fe2c-d765-450e-8b1a-d13a23d9af2a	461	0	0	2	13
0385961e-ea99-40b2-ad79-6872bc30d8a1	446	0	0	32	1
03ad38a6-0902-4aaa-84a3-91ea88fa9883	424	0	46	37	11
03b5268e-881e-49e7-824f-170c3fc8b11b	417	161	4	0	49
03c3c692-8a86-4843-85ae-e045f0fa6f88	83	755	480	146	241
03c88506-d72e-4a44-a34e-a7f0564f1799	383	0	124	159	0
03ced0ce-186a-4349-8d98-572c2bc90382	143	1062	279	67	160
03cff38d-7e29-4409-a508-749bddb1b3df	118	606	450	245	0
041e3b42-c623-11e3-bf01-24c6515278c0	336	138	156	107	30
04339769-517c-448d-a7ca-951f83608c60	399	0	47	181	70
0448206f-3ade-4087-b1a9-4fb2d14e1367	0	1548	158	1582	508
046d7386-95c8-4501-9e55-c85bec272a7a	192	0	384	611	0
047f9e4d-86b5-4943-aef5-68199bf29e8c	318	114	193	177	183
04aa6b77-8074-480c-872e-a1a47afa5314	289	274	219	101	0
04b570c2-3224-4e9b-81cc-089b4a7ff07a	457	0	2	21	6
04b9837e-9ab5-4eb9-9a9c-ef49e3a62662	400	135	33	0	0
04c09376-8756-41d9-bbca-f464170a8cfb	336	227	132	291	0
04db8bef-8777-48ac-bc2e-3c9acb103f48	438	51	0	0	0
05070acd-3ec1-44bb-9c32-26d3a483a72a	345	37	184	182	0
051cb117-16fd-459e-81e5-002eca2b7eea	446	35	0	0	0
052015bc-8c24-467c-8ff7-9e0dc4ad39fd	322	0	189	191	0
052665d1-ab75-4f40-be5a-b88154c8beed	264	686	0	457	453
05486349-24a4-4931-bf5f-c9fefe369af2	417	21	49	124	0
0554ffe5-31f7-43f5-8372-2b73c9cf3527	442	81	0	0	0
05616329-e7ba-4efd-87b1-d79cd0f7af3d	377	35	98	100	0
0567d3e6-6278-4d0a-81ae-c084d73c6dd3	444	0	0	1	10
05780d48-80e7-4d70-b00c-081f8a9519f2	376	0	117	100	0
05c487aa-72d8-42e6-aa2b-b9b5ce273f5c	448	0	0	8	8
05da3161-1444-4188-914d-19762de3a443	454	0	0	5	12
06018aae-1107-4899-bd24-14e6b1f94709	445	0	0	9	7
0609b182-0396-4755-b463-10f949c5b8bb	446	6	7	25	6
0624eb1d-3aff-4037-a3c5-fc363a9edd02	443	0	7	14	8
062e96d4-c623-11e3-bf01-24c6515278c0	352	62	164	128	32
063cfacf-9933-4a2d-8921-0aeb76e12779	446	0	3	40	0
0664753b-7566-41e0-8006-7009c6735406	155	199	336	683	0
