MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E
BP10MB[0]	0.7068397134542466	0.0429429769795388	0.21066587209701537	0.014697029937524348	0.004737212338513927
BP10MB[1]	0.00680205044336617	0.022696140026673674	0.0331564805470407	0.005326635191158859	0.0
BP10MB[2]	0.0005632958757632877	0.020355335362255575	0.06891949869692325	0.011221451379169594	1.6017258385545574e-05
BP10MB[3]	3.6471612894217744e-08	0.008991226581856608	0.006410560542717576	0.005428226231597364	0.00019556421554625558
BP10MB[4]	1.067667879772749e-08	0.006676009371876717	0.007907672016881407	0.006699863141402602	0.0006318659421260392
BP10MB[5]	1.6382648695412172e-08	0.003149366220459342	0.0003277572170744003	0.003266976394224912	0.0017348987876903265
BP10MB[>5]	1.4489735289391347e-09	0.004748148894868791	0.0	0.010477435486391186	0.012495013633742929
BPArm[0]	0.08687187984585762	0.0008449289595591835	0.006647977815009654	0.000826107950633741	0.00038893502911591327
BPArm[1]	0.005561040877364576	0.0010792560770642012	0.002223967257887125	2.5965352351704494e-05	5.405052449023256e-05
BPArm[2]	0.006924231839366257	0.0010829932592801394	0.010971011696383356	0.0006687282351776957	3.465933234814145e-07
BPArm[3]	0.0007158208108739928	0.001368662041495554	0.004485164545476436	0.00013183019415009768	1.5610694927090696e-05
BPArm[4]	0.0002783581536641577	0.001094707634402052	0.008775989152491092	0.0007785890914965421	0.000128611749423726
BPArm[5]	3.714921973823948e-05	0.0012614892769488505	0.0031931698182597755	0.0002620221626420971	4.851820517615124e-07
BPArm[6]	5.742238451844628e-08	0.0009529833318447345	0.004974196227267385	0.0005253383555517776	0.00010720033316032663
BPArm[7]	3.8756211175439146e-07	0.0011514047114178538	0.0020399178843945264	0.00022927313848078	8.671850936821102e-06
BPArm[8]	3.066963886411145e-08	0.0008256320026703179	0.0029326386912725865	0.0004661154061412061	1.5392254697896845e-05
BPArm[9]	2.9306913376103693e-08	0.0008527937706094235	0.0012433952454011887	0.00025008860253322496	9.850864726104192e-06
BPArm[10]	2.3981527252914248e-08	0.0006511721448623576	0.0018772484350483864	0.0003511284438636153	1.2805234221389127e-05
BPArm[>10 & <=20]	1.1751448147911958e-08	0.004189640246331692	0.0035883610765449704	0.002923000552691519	0.0006156467415348743
BPArm[>20 & <=30]	1.9990717063933517e-08	0.0009515925159212202	0.0	0.001459108925773762	0.0011779119112179616
BPArm[>30]	1.7504573524007582e-08	0.0004753278024145402	0.0	0.0009776189186959528	0.0020846072840504347
CN[0]	1.3639393385389552e-07	4.817433401027138e-05	0.021436536759138106	0.000678165458957558	0.0015079615818103776
CN[1]	0.005526388427242636	0.0	0.041197643969208005	0.06345258995890618	0.0
CN[2]	0.04007640536874533	0.0027967287358478645	0.08166497282683849	0.11293784216046333	0.007349073896184563
CN[3]	0.0009560889791464433	0.06277193836867809	0.012674042042344808	0.0615349492803216	0.008651388348080219
CN[4]	5.2609631550071253e-08	0.07550266526639461	0.006661322648008088	0.004890817475022577	0.020510791186243296
CN[>4 & <=8]	2.436958318696725e-08	0.06817290510982275	0.000686696305992471	1.31389587298969e-08	0.0810609445720911
CN[>8]	1.7959284292601297e-07	6.810267818124771e-08	1.998919527679277e-09	4.9041225445023425e-08	0.08179248791188001
CNCP[0]	0.03323022037744522	0.0	0.00019199826924079844	2.0969003494686334e-09	1.272831281396991e-06
CNCP[1]	0.00010785762045259161	0.10134196884930134	0.045848493031226095	0.2715466472506523	0.00693679485240329
CNCP[2]	2.4216420714931776e-10	0.06454918660223484	0.053703393414616586	0.0	0.04302969183772802
CNCP[3]	0.0	0.012245410401374102	0.011469602226279676	0.0	0.039948169738054276
