MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E
BP10MB[0]	8.39E-05	2.62E-03	1.68E-03	1.70E-03	5.62E-04
BP10MB[1]	2.62E-05	7.14E-04	4.00E-04	4.55E-04	0.00E+00
BP10MB[2]	1.59E-05	9.14E-04	3.60E-04	8.10E-04	1.06E-05
BP10MB[3]	7.15E-10	7.67E-05	3.18E-05	4.18E-05	3.32E-05
BP10MB[4]	5.57E-10	2.77E-05	2.25E-05	2.80E-05	6.67E-05
BP10MB[5]	1.65E-10	4.86E-05	1.77E-05	4.74E-05	3.69E-05
BP10MB[>5]	3.12E-10	4.10E-04	0.00E+00	3.74E-04	2.33E-04
BPArm[0]	4.03E-05	4.18E-05	4.76E-05	3.20E-05	2.98E-05
BPArm[1]	1.61E-05	6.48E-05	8.18E-05	6.14E-06	9.23E-06
BPArm[2]	1.78E-05	1.07E-04	7.18E-05	8.25E-05	3.46E-07
BPArm[3]	6.28E-06	8.59E-05	8.65E-05	2.30E-05	4.34E-06
BPArm[4]	7.95E-06	1.05E-04	5.24E-05	9.20E-05	1.32E-05
BPArm[5]	2.30E-06	6.21E-05	5.19E-05	3.29E-05	4.61E-07
BPArm[6]	2.20E-09	6.70E-05	3.55E-05	5.61E-05	9.58E-06
BPArm[7]	1.69E-07	3.93E-05	2.67E-05	2.34E-05	2.05E-06
BPArm[8]	7.31E-10	3.94E-05	1.56E-05	3.80E-05	3.18E-06
BPArm[9]	6.24E-10	2.19E-05	1.60E-05	1.32E-05	2.82E-06
BPArm[10]	4.02E-10	2.58E-05	1.54E-05	2.15E-05	3.01E-06
BPArm[>10 & <=20]	2.46E-10	2.17E-05	1.94E-05	1.81E-05	3.81E-05
BPArm[>20 & <=30]	5.24E-10	8.23E-05	0.00E+00	6.61E-05	7.51E-05
BPArm[>30]	6.71E-10	4.94E-05	0.00E+00	4.94E-05	2.65E-05
CN[0]	5.45E-09	1.82E-05	7.21E-05	7.88E-05	8.42E-05
CN[1]	5.58E-05	0.00E+00	1.86E-03	1.84E-03	0.00E+00
CN[2]	9.37E-05	2.82E-04	1.61E-03	1.08E-03	2.45E-04
CN[3]	1.27E-05	5.06E-04	1.15E-04	9.12E-04	3.69E-04
CN[4]	6.78E-09	1.21E-04	6.37E-04	4.93E-04	5.29E-04
CN[>4 & <=8]	3.63E-09	2.31E-04	1.36E-04	4.27E-09	2.06E-04
CN[>8]	7.09E-10	7.24E-09	6.84E-10	2.55E-09	1.06E-03
CNCP[0]	2.42E-05	0.00E+00	5.51E-06	4.87E-10	8.85E-07
CNCP[1]	2.21E-05	2.45E-03	2.86E-03	1.52E-03	8.27E-04
CNCP[2]	1.60E-10	5.91E-04	1.21E-03	0.00E+00	6.49E-04
