Samples	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F
0009b464-b376-4fbc-8a56-da538269a02f	0	1908	423	298	0	44
003819bc-c415-4e76-887c-931d60ed39e7	445	0	15	0	7	0
0040b1b6-b07a-4b6e-90ef-133523eaf412	227	32	135	265	0	0
00493087-9d9d-40ca-86d5-936f1b951c93	416	0	37	38	2	0
00508f2b-36bf-44fc-b66b-97e1f3e40bfa	327	0	418	75	38	0
005794f1-5a87-45b5-9811-83ddf6924568	446	0	36	0	0	4
005e85a3-3571-462d-8dc9-2babfc7ace21	389	0	61	39	33	0
007aab66-2f07-459d-8952-3041d6ea24a8	448	0	7	0	0	6
008aef39-0c97-48ce-9dfd-f12d67116c59	333	0	372	110	10	0
008bad10-d41b-4bbb-86fa-9976ecea46b1	293	0	186	121	123	0
00aa769d-622c-433e-8a8a-63fb5c41ea42	421	0	9	26	8	7
00b9d0e6-69dc-4345-bffd-ce32880c8eef	443	0	13	11	19	0
00bf0350-8c7c-4b9e-8143-13ea2dc1122f	430	0	63	29	5	0
00c27940-c623-11e3-bf01-24c6515278c0	364	59	52	94	37	5
00db1b95-8ca3-4cc4-bb46-6b8c8019a7c7	264	324	4	173	0	0
00db4dc2-3ec7-4ff9-9233-d69c8c8a607f	96	797	599	202	194	94
01658141-8398-4585-9f0f-8355dd9b0604	6	1174	417	364	0	461
0168a2a6-c3af-4d58-a51c-d33f0fc7876d	404	0	40	65	5	3
0176cf1d-0760-4769-a493-277f4bb7585e	309	164	280	110	65	47
0192d529-7340-45d8-a5f0-249cbb11ca19	304	0	246	130	56	0
01b0848c-ae36-4ade-a3da-d297b003c99f	64	1101	336	215	296	0
01c8e465-2b4e-4519-bdef-c3ac06b43eeb	405	0	48	58	10	0
01dc6872-c623-11e3-bf01-24c6515278c0	330	29	95	139	48	31
01df36af-3617-40fc-9892-f54ce433cf71	36	914	350	378	0	22
02078f77-2b35-4fa3-ab02-2c017181295e	449	1	7	0	2	2
020fab36-c7de-4933-b2bf-dc7b019a1326	194	806	78	185	0	455
0250e6f7-2538-4d1f-a8ff-ca34a7057dde	149	597	0	181	386	79
02706819-bcab-4c49-a569-a4a8c60db1c0	460	2	7	0	2	3
02917220-6a7a-46a1-8656-907e96bef88e	350	0	65	102	16	0
0292a46f-a282-4b7f-a7d6-ac55cc7324fb	446	7	5	0	4	2
02c6a893-49c5-49d1-8eb1-195021e70d52	342	32	70	129	20	10
02c97e2b-914e-4afc-bf50-78f0cfbfa67b	274	120	39	155	108	28
02e5c36f-5bec-45e2-a048-875653b85ca1	300	127	116	129	51	52
030695f6-c623-11e3-bf01-24c6515278c0	254	111	271	189	27	31
031962d6-fc7d-4c6c-9d47-ffa45997b249	461	16	6	0	0	4
0332b017-17d5-4083-8fc4-9d6f8fdbbbde	384	82	0	65	0	74
0363fe2c-d765-450e-8b1a-d13a23d9af2a	463	9	0	0	0	4
0385961e-ea99-40b2-ad79-6872bc30d8a1	434	2	26	8	9	0
03ad38a6-0902-4aaa-84a3-91ea88fa9883	410	7	35	24	42	0
03b5268e-881e-49e7-824f-170c3fc8b11b	302	85	0	169	0	75
03c3c692-8a86-4843-85ae-e045f0fa6f88	0	729	150	341	292	193
03c88506-d72e-4a44-a34e-a7f0564f1799	302	0	169	189	0	6
03ced0ce-186a-4349-8d98-572c2bc90382	36	1015	25	328	209	98
03cff38d-7e29-4409-a508-749bddb1b3df	0	546	263	387	223	0
041e3b42-c623-11e3-bf01-24c6515278c0	271	128	112	168	62	26
04339769-517c-448d-a7ca-951f83608c60	344	0	175	95	0	83
0448206f-3ade-4087-b1a9-4fb2d14e1367	57	1746	1389	0	304	300
046d7386-95c8-4501-9e55-c85bec272a7a	119	0	694	282	92	0
047f9e4d-86b5-4943-aef5-68199bf29e8c	228	113	178	212	68	186
04aa6b77-8074-480c-872e-a1a47afa5314	129	236	114	388	11	5
04b570c2-3224-4e9b-81cc-089b4a7ff07a	447	0	17	8	14	0
04b9837e-9ab5-4eb9-9a9c-ef49e3a62662	295	85	0	188	0	0
04c09376-8756-41d9-bbca-f464170a8cfb	248	229	281	220	8	0
04db8bef-8777-48ac-bc2e-3c9acb103f48	407	38	0	44	0	0
05070acd-3ec1-44bb-9c32-26d3a483a72a	313	35	206	121	73	0
051cb117-16fd-459e-81e5-002eca2b7eea	442	32	0	7	0	0
052015bc-8c24-467c-8ff7-9e0dc4ad39fd	275	0	219	154	54	0
052665d1-ab75-4f40-be5a-b88154c8beed	44	622	355	373	0	466
05486349-24a4-4931-bf5f-c9fefe369af2	380	24	124	83	0	0
0554ffe5-31f7-43f5-8372-2b73c9cf3527	397	56	0	70	0	0
05616329-e7ba-4efd-87b1-d79cd0f7af3d	313	33	107	157	0	0
0567d3e6-6278-4d0a-81ae-c084d73c6dd3	449	0	0	0	0	6
05780d48-80e7-4d70-b00c-081f8a9519f2	342	0	109	86	56	0
05c487aa-72d8-42e6-aa2b-b9b5ce273f5c	452	4	6	0	0	2
05da3161-1444-4188-914d-19762de3a443	459	0	4	0	0	8
