MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F
BP10MB[0]	7.24E-05	2.07E-04	3.19E-04	6.33E-04	5.21E-04	2.41E-04
BP10MB[1]	2.72E-05	6.00E-05	8.24E-05	1.15E-04	1.30E-04	1.73E-05
BP10MB[2]	0.00E+00	6.06E-05	1.05E-04	1.05E-04	8.90E-05	0.00E+00
BP10MB[3]	3.75E-10	2.07E-05	2.65E-05	3.74E-05	3.08E-05	0.00E+00
BP10MB[4]	1.84E-11	1.82E-05	2.31E-05	0.00E+00	3.64E-05	0.00E+00
BP10MB[5]	2.11E-10	1.13E-05	1.21E-05	0.00E+00	1.68E-05	1.89E-05
BP10MB[>5]	3.71E-10	3.09E-05	3.30E-05	0.00E+00	0.00E+00	4.39E-05
BPArm[0]	4.90E-05	1.48E-05	2.37E-05	6.94E-05	3.86E-05	3.35E-05
BPArm[1]	1.19E-05	0.00E+00	0.00E+00	2.58E-05	0.00E+00	7.73E-06
BPArm[2]	1.90E-05	2.22E-07	4.98E-06	4.93E-05	4.42E-05	1.50E-06
BPArm[3]	4.67E-07	4.88E-06	4.18E-06	1.73E-05	1.71E-05	7.76E-06
BPArm[4]	2.82E-09	9.25E-09	1.79E-05	2.67E-05	2.52E-05	4.52E-06
BPArm[5]	6.88E-10	8.82E-06	3.87E-06	1.61E-05	1.59E-05	2.47E-06
BPArm[6]	3.00E-10	8.19E-06	1.33E-05	1.70E-05	2.11E-05	6.55E-06
BPArm[7]	3.71E-10	7.14E-06	9.58E-06	1.64E-05	1.26E-05	1.68E-06
BPArm[8]	2.25E-10	6.94E-06	9.78E-06	1.50E-05	1.54E-05	0.00E+00
BPArm[9]	2.62E-10	6.22E-06	7.89E-06	1.36E-05	1.20E-05	6.02E-07
BPArm[10]	2.12E-10	6.42E-06	9.96E-06	1.26E-05	1.26E-05	1.09E-22
BPArm[>10 & <=20]	1.10E-10	1.22E-05	1.39E-05	0.00E+00	2.70E-05	4.79E-06
BPArm[>20 & <=30]	1.89E-10	6.93E-06	7.25E-06	0.00E+00	6.25E-06	1.13E-05
BPArm[>30]	5.33E-10	1.84E-05	1.34E-05	0.00E+00	0.00E+00	2.78E-05
CN[0]	5.91E-06	0.00E+00	7.86E-05	4.67E-05	1.06E-04	1.36E-05
CN[1]	2.19E-05	0.00E+00	1.49E-04	1.36E-04	2.87E-04	0.00E+00
CN[2]	3.76E-05	1.06E-04	1.93E-04	2.62E-04	4.12E-04	1.02E-04
CN[3]	1.04E-05	8.75E-05	1.56E-04	1.85E-04	8.46E-05	8.65E-05
CN[4]	2.08E-10	9.00E-05	7.35E-05	2.29E-04	2.30E-04	8.59E-05
CN[>4 & <=8]	1.40E-09	1.11E-04	0.00E+00	2.61E-08	2.82E-04	1.33E-04
CN[>8]	5.61E-10	7.10E-09	6.01E-10	1.67E-09	0.00E+00	1.59E-04
CNCP[0]	3.45E-05	1.74E-11	1.40E-11	0.00E+00	1.22E-05	0.00E+00
CNCP[1]	0.00E+00	3.10E-04	2.41E-04	3.06E-04	5.73E-04	1.97E-04
CNCP[2]	0.00E+00	1.33E-04	9.67E-06	1.23E-04	3.09E-04	9.11E-05
CNCP[3]	1.56E-09	5.71E-05	0.00E+00	2.41E-10	1.64E-04	6.58E-05
CNCP[4]	1.11E-09	2.41E-05	0.00E+00	0.00E+00	7.81E-05	6.30E-05
CNCP[>4 & <=8]	1.35E-09	1.81E-09	0.00E+00	0.00E+00	7.69E-05	1.03E-04
CNCP[>8]	7.11E-08	0.00E+00	2.55E-09	3.29E-09	2.21E-09	8.31E-05
OsCN[0]	3.07E-05	7.40E-05	6.93E-05	9.87E-32	1.16E-04	1.54E-04
OsCN[1]	1.20E-05	6.68E-05	8.47E-05	7.98E-05	1.32E-04	7.59E-05
OsCN[2]	3.89E-10	1.76E-05	2.65E-05	2.97E-05	9.48E-06	2.97E-05
OsCN[3]	2.15E-11	1.48E-05	2.51E-05	2.62E-05	3.33E-05	2.32E-05
OsCN[4]	5.75E-10	7.73E-06	1.36E-05	4.12E-06	0.00E+00	6.45E-06
OsCN[>4 & <=10]	2.60E-10	1.30E-05	1.73E-05	0.00E+00	2.33E-05	6.83E-06
OsCN[>10]	1.49E-09	4.50E-06	9.70E-06	2.28E-07	1.04E-07	3.98E-06
SS[<=2]	1.37E-09	5.31E-06	4.05E-06	2.10E-06	8.68E-06	1.33E-05
