Samples	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G
0009b464-b376-4fbc-8a56-da538269a02f	0	1523	272	480	372	0	26
003819bc-c415-4e76-887c-931d60ed39e7	442	0	0	12	7	6	0
0040b1b6-b07a-4b6e-90ef-133523eaf412	210	3	288	59	99	0	0
00493087-9d9d-40ca-86d5-936f1b951c93	416	0	34	25	16	2	0
00508f2b-36bf-44fc-b66b-97e1f3e40bfa	345	0	21	256	207	29	0
005794f1-5a87-45b5-9811-83ddf6924568	446	0	0	12	27	0	1
005e85a3-3571-462d-8dc9-2babfc7ace21	391	0	31	54	19	27	0
007aab66-2f07-459d-8952-3041d6ea24a8	447	0	0	5	4	0	5
008aef39-0c97-48ce-9dfd-f12d67116c59	333	0	71	113	271	37	0
008bad10-d41b-4bbb-86fa-9976ecea46b1	301	0	93	150	69	110	0
00aa769d-622c-433e-8a8a-63fb5c41ea42	420	0	26	3	7	10	5
00b9d0e6-69dc-4345-bffd-ce32880c8eef	441	0	10	10	6	19	0
00bf0350-8c7c-4b9e-8143-13ea2dc1122f	429	0	22	46	27	3	0
00c27940-c623-11e3-bf01-24c6515278c0	361	55	92	36	31	36	0
00db1b95-8ca3-4cc4-bb46-6b8c8019a7c7	242	270	198	39	16	0	0
00db4dc2-3ec7-4ff9-9233-d69c8c8a607f	84	587	186	370	490	193	72
01658141-8398-4585-9f0f-8355dd9b0604	0	969	358	257	440	0	398
0168a2a6-c3af-4d58-a51c-d33f0fc7876d	404	0	61	32	13	6	1
0176cf1d-0760-4769-a493-277f4bb7585e	311	93	94	209	162	61	45
0192d529-7340-45d8-a5f0-249cbb11ca19	311	0	98	142	130	55	0
01b0848c-ae36-4ade-a3da-d297b003c99f	35	854	246	385	255	237	0
01c8e465-2b4e-4519-bdef-c3ac06b43eeb	400	0	56	27	26	12	0
01dc6872-c623-11e3-bf01-24c6515278c0	323	30	136	10	92	65	16
01df36af-3617-40fc-9892-f54ce433cf71	0	747	414	125	414	0	0
02078f77-2b35-4fa3-ab02-2c017181295e	449	0	0	8	2	1	1
020fab36-c7de-4933-b2bf-dc7b019a1326	185	662	193	201	63	0	414
0250e6f7-2538-4d1f-a8ff-ca34a7057dde	118	564	203	0	100	393	14
02706819-bcab-4c49-a569-a4a8c60db1c0	460	0	0	11	0	0	3
