MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G
BP10MB[0]	2.76E-04	2.30E-04	1.72E-03	1.21E-03	1.36E-03	1.89E-03	4.41E-04
BP10MB[1]	2.65E-05	8.10E-04	2.65E-04	1.18E-03	4.20E-06	1.23E-04	8.75E-05
BP10MB[2]	0.00E+00	7.65E-04	2.30E-04	3.86E-04	4.96E-04	1.00E-04	0.00E+00
BP10MB[3]	1.26E-09	5.83E-04	1.71E-04	4.91E-04	7.09E-05	1.69E-04	4.85E-05
BP10MB[4]	4.03E-11	2.08E-04	0.00E+00	2.77E-04	8.66E-05	6.46E-05	3.93E-22
BP10MB[5]	3.15E-10	1.38E-04	0.00E+00	1.76E-04	3.88E-05	4.19E-05	2.61E-05
BP10MB[>5]	9.96E-10	4.56E-04	0.00E+00	2.27E-04	6.54E-04	9.53E-06	1.30E-04
BPArm[0]	7.78E-05	3.03E-05	1.48E-04	5.47E-05	8.59E-05	7.15E-05	4.41E-05
BPArm[1]	1.67E-05	0.00E+00	4.44E-05	1.78E-06	1.73E-10	0.00E+00	9.40E-06
BPArm[2]	4.65E-05	0.00E+00	9.74E-05	2.77E-05	4.18E-05	1.13E-04	1.92E-07
BPArm[3]	1.98E-09	4.61E-06	3.72E-05	3.59E-05	4.56E-07	2.09E-05	8.20E-06
BPArm[4]	1.04E-09	0.00E+00	3.63E-05	8.11E-05	5.58E-05	5.30E-05	1.25E-06
BPArm[5]	5.91E-10	3.54E-05	3.20E-05	7.64E-05	4.50E-11	1.96E-05	2.61E-06
BPArm[6]	3.28E-10	1.83E-05	2.12E-05	5.41E-05	5.01E-05	2.88E-05	3.86E-06
BPArm[7]	5.65E-10	5.55E-05	2.08E-05	8.18E-05	0.00E+00	1.69E-05	5.30E-06
BPArm[8]	3.07E-10	4.29E-05	2.78E-05	3.50E-05	4.26E-05	2.04E-05	0.00E+00
BPArm[9]	3.68E-10	4.84E-05	1.81E-05	5.53E-05	7.12E-06	1.69E-05	4.21E-06
BPArm[10]	5.34E-10	4.24E-05	1.47E-05	2.76E-05	2.61E-05	1.84E-05	1.32E-06
