Samples	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H
0009b464-b376-4fbc-8a56-da538269a02f	0	232	957	724	121	616	0	23
003819bc-c415-4e76-887c-931d60ed39e7	441	0	0	8	10	3	5	0
0040b1b6-b07a-4b6e-90ef-133523eaf412	206	275	4	35	69	62	8	0
00493087-9d9d-40ca-86d5-936f1b951c93	408	46	0	0	39	0	0	0
00508f2b-36bf-44fc-b66b-97e1f3e40bfa	286	110	0	37	378	47	0	0
005794f1-5a87-45b5-9811-83ddf6924568	443	0	2	0	34	6	0	1
005e85a3-3571-462d-8dc9-2babfc7ace21	382	49	0	9	63	0	19	0
007aab66-2f07-459d-8952-3041d6ea24a8	447	0	0	3	5	2	0	4
008aef39-0c97-48ce-9dfd-f12d67116c59	295	132	0	0	306	92	0	0
008bad10-d41b-4bbb-86fa-9976ecea46b1	266	146	18	25	191	0	77	0
00aa769d-622c-433e-8a8a-63fb5c41ea42	416	27	3	0	12	0	9	4
00b9d0e6-69dc-4345-bffd-ce32880c8eef	438	14	0	3	13	0	18	0
00bf0350-8c7c-4b9e-8143-13ea2dc1122f	422	31	0	17	51	6	0	0
00c27940-c623-11e3-bf01-24c6515278c0	339	124	60	0	77	0	11	0
00db1b95-8ca3-4cc4-bb46-6b8c8019a7c7	234	201	170	94	0	66	0	0
00db4dc2-3ec7-4ff9-9233-d69c8c8a607f	113	118	400	362	290	469	185	45
01658141-8398-4585-9f0f-8355dd9b0604	0	329	676	359	173	535	0	350
0168a2a6-c3af-4d58-a51c-d33f0fc7876d	393	74	5	0	43	0	0	2
0176cf1d-0760-4769-a493-277f4bb7585e	301	94	58	144	169	114	48	47
0192d529-7340-45d8-a5f0-249cbb11ca19	268	179	7	0	259	10	13	0
01b0848c-ae36-4ade-a3da-d297b003c99f	73	147	533	502	145	362	250	0
01c8e465-2b4e-4519-bdef-c3ac06b43eeb	391	73	0	0	50	0	5	2
01dc6872-c623-11e3-bf01-24c6515278c0	312	149	38	0	79	35	48	11
01df36af-3617-40fc-9892-f54ce433cf71	0	391	472	265	85	487	0	0
02078f77-2b35-4fa3-ab02-2c017181295e	446	0	0	7	4	1	2	1
020fab36-c7de-4933-b2bf-dc7b019a1326	190	167	464	306	23	196	0	372
0250e6f7-2538-4d1f-a8ff-ca34a7057dde	78	247	435	0	0	237	395	0
02706819-bcab-4c49-a569-a4a8c60db1c0	458	0	0	7	6	0	1	2
02917220-6a7a-46a1-8656-907e96bef88e	334	113	0	0	61	6	19	0
0292a46f-a282-4b7f-a7d6-ac55cc7324fb	445	0	3	5	4	3	4	0
