MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H
BP10MB[0]	0.7009254384040833	0.4919952991604805	0.0010929400359744495	0.0214327054489757	0.0471408709756016	0.0121341462177788	0.1697125540673733	0.02253854017239064
BP10MB[1]	0.0006439525554424109	0.059185258261859414	0.0036560135187755803	0.03682811949867755	0.004207360124273691	0.00012190885667223483	0.0	0.0021305663880775683
BP10MB[2]	3.4664099803194404e-06	0.03948947988450527	0.0017412923301837805	0.041500027353716294	0.017323841410689055	0.006015717844049502	0.06917286708950997	0.0
BP10MB[3]	1.3220953374859513e-08	0.0010302412076634937	0.006089691241504625	0.019660712466575206	0.006840492931078188	0.00023703273152932524	0.0012972202899982222	0.0006645626798490412
BP10MB[4]	4.971022343758236e-10	0.0	0.002941719718510285	0.013785625421442092	0.005677106620278209	0.006722004628973082	0.010652130427770317	0.0
BP10MB[5]	1.8316383876282315e-08	0.0	0.0032306367246201263	0.005471575813135132	0.0023165342537686227	0.0012780076620401814	0.00013756008060347824	0.0011030997009947895
BP10MB[>5]	3.017457768511589e-09	0.0	0.006874978299601935	0.0005588457819375581	0.0040070825209659235	0.02096114763058722	8.410982409259304e-05	0.01242280644364655
BPArm[0]	0.09957275226712227	0.02081868891604245	0.0003667231603485178	0.0010538929601534618	0.002447589541989146	0.00030922798187723227	0.0069353180890902874	0.0010015520108572673
BPArm[1]	0.0018795000982936472	0.012393967704847455	2.387904593206258e-06	1.5939603251960976e-05	3.195621850359487e-05	7.5785984518006445e-06	7.1549584798091815e-06	0.00034692190885834864
BPArm[2]	0.0023738506773952396	0.02249812729656696	1.5907360761957533e-10	6.863270307633229e-10	0.0010568353341122538	5.980729467225387e-11	0.004772868829313666	9.8111620900454e-07
BPArm[3]	6.847430723766479e-08	0.008143760068342089	1.1976408905829812e-05	0.0007370623841643464	7.863911417172354e-05	1.5548372569662572e-06	0.0008685334571055137	5.972770972027863e-05
BPArm[4]	3.775643626191538e-08	0.008685259339399636	2.1264170329171605e-06	0.00019656930791740024	0.0017524496093392372	8.10998971279675e-06	0.006796727976761758	5.535648242585012e-06
BPArm[5]	3.4224811695793275e-08	0.0036645146692171693	8.719063131138682e-05	0.0024178678140742704	0.0001587469415855769	6.127330064893966e-06	0.0009879327547969296	2.3680465532020522e-05
BPArm[6]	6.353249338841849e-09	0.003119309775065631	9.699149570676191e-05	0.0013662063520079215	0.0013840475166216493	8.639445679250467e-05	0.005058226976543665	1.1870578873640625e-05
BPArm[7]	3.031776753203985e-08	0.0016114809887949376	0.00017493777534356895	0.00274558303761296	0.00019963295217379162	2.8412110114004464e-05	0.0007906750964957609	9.1949875923234e-05
BPArm[8]	1.3787411732302247e-08	0.0007558257156051695	0.0003285650412638625	0.001891119881765917	0.0014177890081191436	6.193301375333249e-05	0.0030687065119855104	0.0
BPArm[9]	2.272631757449517e-08	0.00029395507786830424	0.00045565426376924733	0.0020119392476044594	0.00048012630024459215	6.185802091692949e-05	0.0007791126939628157	3.504944374526531e-05
BPArm[10]	1.8515005333341606e-08	0.00010711723272781248	0.0002092525176312421	0.0019464990287087858	0.0008935213215590921	0.0001520386683654351	0.0019465332047548145	2.2241299120651094e-06
