MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H
BP10MB[0]	1.99E-04	2.19E-03	6.77E-04	2.12E-03	2.84E-03	8.90E-04	2.88E-03	4.51E-04
BP10MB[1]	3.07E-05	3.43E-04	5.36E-04	1.46E-03	5.87E-04	8.37E-05	0.00E+00	1.05E-04
BP10MB[2]	3.47E-06	4.35E-04	3.92E-04	1.13E-03	6.48E-04	4.61E-04	3.88E-04	0.00E+00
BP10MB[3]	1.30E-09	7.85E-05	3.02E-04	5.86E-04	2.93E-04	1.33E-04	8.13E-05	3.92E-05
BP10MB[4]	4.89E-10	0.00E+00	1.70E-04	3.12E-04	1.28E-04	1.62E-04	1.75E-04	0.00E+00
BP10MB[5]	4.96E-10	0.00E+00	9.01E-05	1.87E-04	6.21E-05	7.62E-05	2.63E-05	2.91E-05
BP10MB[>5]	1.16E-09	0.00E+00	2.22E-04	2.23E-04	1.81E-04	3.14E-04	3.33E-05	8.27E-05
BPArm[0]	1.00E-04	1.98E-04	3.31E-05	8.54E-05	1.12E-04	2.96E-05	9.58E-05	4.65E-05
BPArm[1]	2.43E-05	4.34E-05	1.25E-06	6.15E-06	1.47E-05	7.58E-06	3.31E-06	9.75E-06
BPArm[2]	4.69E-05	1.28E-04	1.59E-10	5.23E-10	1.27E-04	4.24E-11	2.48E-04	6.99E-07
BPArm[3]	2.31E-09	3.89E-05	5.06E-06	4.60E-05	2.96E-05	9.89E-07	3.68E-05	7.94E-06
BPArm[4]	1.21E-09	3.65E-05	2.13E-06	5.91E-05	6.76E-05	7.62E-06	1.34E-04	2.16E-06
BPArm[5]	8.07E-10	3.49E-05	2.53E-05	7.85E-05	2.92E-05	5.96E-06	1.82E-05	4.42E-06
BPArm[6]	3.56E-10	3.70E-05	1.35E-05	8.79E-05	3.49E-05	1.45E-05	3.08E-05	3.11E-06
BPArm[7]	6.73E-10	3.13E-05	3.50E-05	6.57E-05	3.67E-05	1.46E-05	2.77E-05	8.61E-06
BPArm[8]	4.20E-10	2.75E-05	2.91E-05	4.86E-05	3.03E-05	1.66E-05	2.40E-05	0.00E+00
BPArm[9]	5.97E-10	2.09E-05	2.89E-05	4.42E-05	3.16E-05	1.76E-05	2.68E-05	5.73E-06
BPArm[10]	5.75E-10	1.22E-05	2.37E-05	4.03E-05	2.78E-05	2.16E-05	3.58E-05	1.12E-06
BPArm[>10 & <=20]	9.45E-10	0.00E+00	1.57E-04	2.66E-04	1.41E-04	1.13E-04	1.31E-04	2.63E-05
BPArm[>20 & <=30]	1.38E-09	0.00E+00	6.18E-05	1.04E-04	2.54E-05	3.42E-05	1.22E-05	2.05E-05
BPArm[>30]	2.57E-09	0.00E+00	3.65E-05	1.09E-05	1.26E-05	6.44E-05	0.00E+00	2.03E-05
CN[0]	1.68E-06	7.19E-06	9.09E-06	4.53E-04	1.51E-04	0.00E+00	2.35E-04	8.97E-09
CN[1]	4.38E-05	1.20E-04	0.00E+00	7.07E-04	6.53E-04	2.10E-04	3.97E-04	3.89E-05
CN[2]	4.36E-05	3.32E-04	2.07E-04	9.42E-04	8.76E-04	9.27E-04	9.69E-04	9.64E-05
CN[3]	8.27E-06	7.07E-04	1.29E-03	2.54E-03	9.60E-05	9.62E-04	3.93E-04	3.31E-04
CN[4]	0.00E+00	2.02E-04	1.21E-03	1.15E-03	0.00E+00	9.77E-04	2.43E-04	3.88E-04
CN[>4 & <=8]	1.09E-10	0.00E+00	2.12E-03	1.46E-03	0.00E+00	1.02E-03	4.95E-04	5.84E-04
CN[>8]	8.55E-10	4.28E-09	6.09E-08	1.06E-08	5.17E-10	1.02E-08	7.39E-10	3.98E-04
CNCP[0]	9.82E-05	0.00E+00	0.00E+00	1.04E-05	3.96E-11	9.19E-12	1.64E-05	0.00E+00
CNCP[1]	0.00E+00	7.40E-04	2.26E-03	4.31E-03	1.63E-03	2.52E-03	6.39E-04	3.42E-04
CNCP[2]	0.00E+00	2.58E-04	1.68E-03	1.63E-03	6.90E-04	1.06E-03	2.01E-03	6.60E-04
CNCP[3]	1.81E-09	0.00E+00	4.97E-04	1.58E-03	1.70E-08	4.26E-05	1.01E-03	1.89E-04
CNCP[4]	1.68E-09	0.00E+00	1.87E-04	7.25E-04	0.00E+00	8.43E-08	4.27E-04	1.60E-04
CNCP[>4 & <=8]	2.63E-09	0.00E+00	3.10E-05	8.33E-04	0.00E+00	0.00E+00	4.03E-04	4.69E-04
CNCP[>8]	6.82E-10	2.93E-09	0.00E+00	2.26E-08	3.24E-09	0.00E+00	2.64E-09	1.96E-04
OsCN[0]	9.16E-05	0.00E+00	7.34E-04	1.82E-03	5.49E-04	7.72E-04	2.38E-06	3.38E-04
OsCN[1]	1.46E-05	1.58E-04	2.05E-04	1.71E-03	3.63E-04	2.50E-04	8.82E-04	1.49E-04
OsCN[2]	4.87E-10	4.84E-05	8.11E-05	2.79E-04	1.08E-04	7.65E-05	6.29E-06	4.66E-05
OsCN[3]	1.39E-10	4.26E-05	8.61E-05	1.17E-04	8.12E-05	9.30E-05	8.96E-05	2.00E-05
OsCN[4]	5.97E-10	1.23E-05	3.48E-05	7.78E-05	2.93E-05	3.29E-05	1.30E-09	8.43E-07
OsCN[>4 & <=10]	4.69E-10	0.00E+00	6.60E-05	1.01E-04	9.71E-05	1.33E-04	8.36E-05	0.00E+00
