Samples	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I
0009b464-b376-4fbc-8a56-da538269a02f	0	161	830	681	117	514	0	0	370
003819bc-c415-4e76-887c-931d60ed39e7	441	0	0	8	9	2	7	0	0
0040b1b6-b07a-4b6e-90ef-133523eaf412	198	270	0	35	66	55	14	0	21
00493087-9d9d-40ca-86d5-936f1b951c93	405	50	0	1	37	0	0	0	0
00508f2b-36bf-44fc-b66b-97e1f3e40bfa	283	117	0	54	347	37	0	0	20
005794f1-5a87-45b5-9811-83ddf6924568	444	0	3	0	33	5	0	1	0
005e85a3-3571-462d-8dc9-2babfc7ace21	379	50	0	12	57	0	24	0	0
007aab66-2f07-459d-8952-3041d6ea24a8	447	0	0	3	6	1	0	4	0
008aef39-0c97-48ce-9dfd-f12d67116c59	287	153	0	0	286	99	0	0	0
008bad10-d41b-4bbb-86fa-9976ecea46b1	267	142	14	38	170	0	92	0	0
00aa769d-622c-433e-8a8a-63fb5c41ea42	413	29	3	0	12	0	10	4	0
00b9d0e6-69dc-4345-bffd-ce32880c8eef	437	15	0	3	12	0	19	0	0
00bf0350-8c7c-4b9e-8143-13ea2dc1122f	422	33	0	19	47	5	1	0	0
00c27940-c623-11e3-bf01-24c6515278c0	333	130	57	0	75	0	16	0	0
00db1b95-8ca3-4cc4-bb46-6b8c8019a7c7	229	202	162	98	0	74	0	0	0
00db4dc2-3ec7-4ff9-9233-d69c8c8a607f	113	58	312	326	264	351	146	11	401
01658141-8398-4585-9f0f-8355dd9b0604	0	263	581	347	157	444	0	303	327
0168a2a6-c3af-4d58-a51c-d33f0fc7876d	389	77	5	0	41	0	3	2	0
0176cf1d-0760-4769-a493-277f4bb7585e	296	90	51	133	156	99	42	38	70
0192d529-7340-45d8-a5f0-249cbb11ca19	260	177	2	7	235	4	24	0	27
01b0848c-ae36-4ade-a3da-d297b003c99f	73	150	502	489	134	376	252	0	36
01c8e465-2b4e-4519-bdef-c3ac06b43eeb	388	72	0	0	45	0	7	0	9
01dc6872-c623-11e3-bf01-24c6515278c0	305	129	17	0	73	0	30	0	118
01df36af-3617-40fc-9892-f54ce433cf71	0	354	413	268	91	434	0	0	140
02078f77-2b35-4fa3-ab02-2c017181295e	446	0	0	6	4	1	4	0	0
020fab36-c7de-4933-b2bf-dc7b019a1326	190	77	370	240	10	108	0	296	427
0250e6f7-2538-4d1f-a8ff-ca34a7057dde	71	262	412	0	0	263	384	0	0
02706819-bcab-4c49-a569-a4a8c60db1c0	458	0	0	7	5	0	2	2	0
02917220-6a7a-46a1-8656-907e96bef88e	329	116	0	0	57	8	23	0	0
0292a46f-a282-4b7f-a7d6-ac55cc7324fb	445	0	2	5	4	2	6	0	0
02c6a893-49c5-49d1-8eb1-195021e70d52	317	143	24	2	55	24	25	3	10
02c97e2b-914e-4afc-bf50-78f0cfbfa67b	244	181	84	42	70	0	81	22	0
02e5c36f-5bec-45e2-a048-875653b85ca1	279	122	60	41	68	53	43	28	81
030695f6-c623-11e3-bf01-24c6515278c0	230	175	38	137	200	0	0	29	74
031962d6-fc7d-4c6c-9d47-ffa45997b249	456	0	0	13	3	0	0	3	12
0332b017-17d5-4083-8fc4-9d6f8fdbbbde	356	105	74	3	0	8	0	59	0
0363fe2c-d765-450e-8b1a-d13a23d9af2a	463	0	0	8	0	0	0	5	0
0385961e-ea99-40b2-ad79-6872bc30d8a1	426	10	0	6	11	13	13	0	0
03ad38a6-0902-4aaa-84a3-91ea88fa9883	399	32	6	2	27	11	41	0	0
03b5268e-881e-49e7-824f-170c3fc8b11b	268	214	79	0	0	17	0	53	0
03c3c692-8a86-4843-85ae-e045f0fa6f88	0	250	341	254	51	205	269	121	214
03c88506-d72e-4a44-a34e-a7f0564f1799	266	204	0	0	111	49	5	0	31
03ced0ce-186a-4349-8d98-572c2bc90382	0	343	551	311	7	250	163	64	22
03cff38d-7e29-4409-a508-749bddb1b3df	0	301	210	250	47	309	302	0	0
041e3b42-c623-11e3-bf01-24c6515278c0	228	192	79	7	97	27	29	0	108
04339769-517c-448d-a7ca-951f83608c60	321	112	0	14	113	61	0	76	0
0448206f-3ade-4087-b1a9-4fb2d14e1367	29	0	774	995	754	747	107	259	131
046d7386-95c8-4501-9e55-c85bec272a7a	37	347	12	96	581	37	0	0	77
047f9e4d-86b5-4943-aef5-68199bf29e8c	206	194	51	51	94	95	91	143	60
04aa6b77-8074-480c-872e-a1a47afa5314	78	371	84	18	20	129	52	0	131
04b570c2-3224-4e9b-81cc-089b4a7ff07a	439	16	0	0	18	0	13	0	0
04b9837e-9ab5-4eb9-9a9c-ef49e3a62662	252	239	75	0	0	2	0	0	0
04c09376-8756-41d9-bbca-f464170a8cfb	257	139	37	159	59	214	78	0	43
04db8bef-8777-48ac-bc2e-3c9acb103f48	395	61	14	7	0	11	0	1	0
05070acd-3ec1-44bb-9c32-26d3a483a72a	300	122	18	106	168	0	30	4	0
051cb117-16fd-459e-81e5-002eca2b7eea	428	25	0	11	0	2	0	2	13
052015bc-8c24-467c-8ff7-9e0dc4ad39fd	244	182	0	42	198	0	33	3	0
