MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I
BP10MB[0]	0.7012699085474015	0.5050214159488678	0.0007953968581354895	0.017091214901278944	0.03786638114886039	0.00758389166334144	0.1640270994976163	0.020909126014448703	0.10786246659467585
BP10MB[1]	0.0004537805732486788	0.06309514022432268	0.002061563950119307	0.04396426003426313	0.0038455205467471387	2.46491254074499e-06	0.0001990206551391285	0.0024908358430548107	0.0024915027769959984
BP10MB[2]	0.0	0.03537736067117294	0.0008349625333357835	0.04070575656369328	0.009531476153146732	0.0036367378478187285	0.07500868413597345	0.0	0.02545373482733339
BP10MB[3]	9.106050528062681e-09	0.0011798104172339662	0.005221334710950032	0.02270940298214555	0.006141615690430626	0.00011812979355454444	0.001823721632390516	0.0008359971751633566	0.0017621885434496707
BP10MB[4]	8.6116272002279e-10	6.399711855920032e-07	0.0023442962695622784	0.014105831449851393	0.0043821532314177606	0.005836250738211674	0.012384190363809467	2.707550379454915e-07	0.004522379394256859
BP10MB[5]	1.7912261753849634e-08	0.0	0.0029198487102985384	0.006040073516778648	0.002163797524990514	0.0011922181753106996	0.00021691944813483131	0.0011348159858607686	0.0018094888472114689
BP10MB[>5]	1.88846478232918e-09	0.0	0.006758920848369598	9.43452111587817e-05	0.004221869840985164	0.02049043897073716	1.3092418448650278e-05	0.012387555465102196	0.007326051842038303
BPArm[0]	0.10012321174144745	0.022022457448765635	0.00037926025750188274	0.0009868739767242346	0.002070557323478302	0.0002653605930265925	0.006803314192220569	0.0009554739058512496	0.003804206226853568
BPArm[1]	0.001696897626388818	0.013861587084829808	1.5117324437596834e-06	3.535109182218443e-05	4.5769364701606224e-05	4.542516576222511e-09	2.1421810743049717e-07	0.0002848914129815938	0.00027344895959686256
BPArm[2]	0.002171100794803351	0.022512981202453375	1.5853427459688874e-10	4.0567503310739995e-06	0.0008933276185987805	2.2583661607455952e-11	0.0045116669381968675	2.618418605457862e-06	0.0032778276255247653
BPArm[3]	5.620002246686795e-08	0.00854941753204912	9.30227018216101e-06	0.0009425260654825252	6.43151799959063e-05	4.038070446943376e-07	0.0008036821277346462	4.059130725318383e-05	0.0005303814646113392
BPArm[4]	2.3701341678172837e-08	0.008284654626622796	3.9600927311145283e-07	7.10415432704492e-05	0.0012777285966876662	1.5488111946648786e-06	0.007003058369737119	3.8261140144300046e-05	0.002157325367265912
BPArm[5]	3.0623850335587124e-08	0.003649229125585407	1.3298988475227703e-05	0.0028054404037538916	7.213184360510994e-05	6.782441066246525e-21	0.0010685351776191965	2.6740672742260328e-05	0.0004291567348367131
BPArm[6]	3.821905804751724e-09	0.0028161173523403703	6.251545480538764e-05	0.0011953942308900879	0.0009669677772481578	5.846120640877528e-05	0.005334763105493039	1.7720603864290755e-05	0.0017975433588954103
BPArm[7]	2.951355668301403e-08	0.0014577522379113361	8.547889711527584e-05	0.003119716278742999	9.873917265631693e-05	4.470609096642874e-06	0.0009153423072348233	9.431561657513576e-05	0.0005038458261632373
BPArm[8]	1.4604835780751556e-08	0.0005834643989273047	0.0002659480279058002	0.0019385546527337283	0.0011418809514725581	3.247565436140576e-05	0.0033394197188317777	6.871695222798735e-07	0.0009818278540215885
BPArm[9]	2.2562684085514206e-08	0.00024320589567651042	0.0003315408495235709	0.002240166635019705	0.00035043988227698717	3.568783373850692e-05	0.0008962552293087356	3.333610258437301e-05	0.0005155311396751472
BPArm[10]	2.0763763650677446e-08	8.794084137434765e-05	8.49487678161137e-05	0.0019595826172735544	0.0006367352826248407	0.00010291129774259389	0.0021977987419813873	6.655475677774802e-07	0.0007942164156315812
BPArm[>10 & <=20]	3.0904088380023788e-09	0.0	0.0013504900979023659	0.010848936084657907	0.0016330911968702822	0.001645319229210145	0.003966851902659983	0.00020737733522268313	0.0028499213955910816
BPArm[>20 & <=30]	2.8694646223570432e-08	0.0	0.0011249583659810015	0.00163402228965424	0.0001665538460443372	0.0018374008945772858	8.333826385229927e-05	0.0005787506311935431	0.0008917095052129298
BPArm[>30]	7.367879760522555e-08	0.0	0.00016725663361938814	1.0034485057985876e-07	1.0141649966911581e-05	0.003297419730806723	0.0	0.0023402938013896346	0.000581082304706797
CN[0]	3.846383365768702e-07	1.0466269070019684e-05	4.3028727247929056e-11	0.00011049391378077366	0.005885441827396463	0.0	0.04318476069718599	5.420101114070874e-05	0.000413847419762714
CN[1]	0.0037043778784573078	0.000286361743346788	0.0	0.000926202562986873	0.1672247987985611	0.0007570018192014771	0.025166464142967016	0.0001334604223666247	0.0097427494902513
CN[2]	0.043499206006526944	0.00835997738991864	0.0	0.02746099592652172	0.18023092091083526	0.05712224251707085	0.09095355913043023	0.00031527196857496947	0.02874782626051456
CN[3]	3.8812249329911454e-05	0.03205125996842981	0.00035513595270464463	0.10605974972248078	0.0	0.10123296160250903	0.002919765951375186	0.0006857654293710272	0.05484263001433987
CN[4]	9.593387062523107e-10	0.00650484379963018	0.12616045489907265	0.01527583674993366	0.0	0.02416215170058422	0.005246391008485913	0.005263718969217734	0.03208044410683215
CN[>4 & <=8]	6.631968041403979e-10	0.0	0.15465389288961887	0.0007408189286334733	0.0	0.0005571617707996257	0.008147189416554852	0.06737730119377375	0.027661784201169336
CN[>8]	1.241911876048718e-07	1.1465611308381086e-07	1.2606081682520199e-06	7.711357774553562e-10	3.0401893990728013e-07	1.413057923027594e-07	4.435645664102594e-09	0.13487467862665653	5.2564687391798044e-05
CNCP[0]	0.04300797056406736	0.0	0.0	5.006200911858993e-06	0.0	0.0	0.0004197168512450844	0.0	1.8697549691104598e-06
CNCP[1]	0.0	0.04539450269192457	1.6725829397159338e-19	0.17524098090827464	0.23000673338770866	0.27268979474902155	0.0021717987199401166	0.0	0.10009982544673267
CNCP[2]	1.0342622935866075e-09	0.00152166422807289	0.14198470056056978	0.00038886410633494963	0.010377761727320446	0.0016232197289456998	0.1115801452100277	0.014312763315668567	0.023748704888039356
CNCP[3]	7.865458937494906e-09	0.0	0.029803484315052628	0.003087254035746041	6.164956163345892e-09	6.195091857250645e-06	0.025915396788941506	0.03094677485525608	0.025680087894783127
CNCP[4]	7.818947050708403e-08	9.433663628044542e-11	0.01023169532418251	0.0003711515129720766	0.0	0.0	0.011010297900923262	0.03258473442867398	0.011921744276352796
