MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I
BP10MB[0]	3.53E-04	2.28E-03	2.30E-04	1.49E-03	2.97E-03	6.94E-04	4.75E-03	8.05E-04	1.34E-02
BP10MB[1]	4.04E-05	1.31E-03	3.37E-04	8.99E-04	3.70E-04	2.46E-06	5.30E-05	1.24E-04	1.16E-03
BP10MB[2]	0.00E+00	1.15E-03	2.07E-04	7.84E-04	8.39E-04	4.38E-04	1.39E-03	0.00E+00	3.00E-03
BP10MB[3]	1.08E-09	9.70E-05	1.68E-04	2.18E-04	1.33E-04	5.86E-05	1.09E-04	5.05E-05	2.53E-04
BP10MB[4]	4.99E-10	6.40E-07	1.02E-04	2.87E-04	1.57E-04	2.50E-04	1.42E-04	2.42E-07	4.56E-04
BP10MB[5]	5.80E-10	0.00E+00	8.13E-05	1.42E-04	5.95E-05	1.02E-04	3.55E-05	3.66E-05	1.81E-04
BP10MB[>5]	7.52E-10	0.00E+00	1.85E-04	4.64E-05	1.38E-04	4.23E-04	7.57E-06	1.52E-04	7.92E-04
BPArm[0]	1.05E-04	1.92E-04	3.01E-05	6.23E-05	1.23E-04	3.02E-05	1.51E-04	5.36E-05	5.44E-04
BPArm[1]	2.43E-05	2.95E-04	9.05E-07	1.06E-05	1.35E-05	1.90E-09	2.14E-07	1.55E-05	2.37E-04
BPArm[2]	3.44E-05	2.65E-04	1.36E-10	4.06E-06	1.24E-04	2.26E-11	2.64E-04	2.07E-06	7.76E-04
BPArm[3]	2.43E-09	1.29E-04	5.15E-06	6.29E-05	2.31E-05	2.32E-07	3.33E-05	7.57E-06	1.42E-04
BPArm[4]	1.66E-09	1.56E-04	3.96E-07	1.86E-05	1.02E-04	1.55E-06	2.47E-04	7.90E-06	4.72E-04
BPArm[5]	9.33E-10	4.67E-05	1.18E-05	5.84E-05	1.70E-05	6.78E-21	3.27E-05	4.74E-06	7.72E-05
