Samples	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H
0009b464-b376-4fbc-8a56-da538269a02f	0	242	980	763	0	688	0	0
003819bc-c415-4e76-887c-931d60ed39e7	467	0	0	0	0	0	0	0
0040b1b6-b07a-4b6e-90ef-133523eaf412	198	306	0	0	82	73	0	0
00493087-9d9d-40ca-86d5-936f1b951c93	408	46	0	0	39	0	0	0
00508f2b-36bf-44fc-b66b-97e1f3e40bfa	262	156	0	0	440	0	0	0
005794f1-5a87-45b5-9811-83ddf6924568	447	0	0	0	39	0	0	0
005e85a3-3571-462d-8dc9-2babfc7ace21	384	65	0	0	73	0	0	0
007aab66-2f07-459d-8952-3041d6ea24a8	461	0	0	0	0	0	0	0
008aef39-0c97-48ce-9dfd-f12d67116c59	295	132	0	0	306	92	0	0
008bad10-d41b-4bbb-86fa-9976ecea46b1	264	162	0	0	209	0	88	0
00aa769d-622c-433e-8a8a-63fb5c41ea42	471	0	0	0	0	0	0	0
00b9d0e6-69dc-4345-bffd-ce32880c8eef	486	0	0	0	0	0	0	0
00bf0350-8c7c-4b9e-8143-13ea2dc1122f	458	0	0	0	69	0	0	0
00c27940-c623-11e3-bf01-24c6515278c0	340	129	63	0	79	0	0	0
00db1b95-8ca3-4cc4-bb46-6b8c8019a7c7	236	204	171	154	0	0	0	0
00db4dc2-3ec7-4ff9-9233-d69c8c8a607f	113	118	400	362	290	469	185	45
01658141-8398-4585-9f0f-8355dd9b0604	0	329	676	359	173	535	0	350
0168a2a6-c3af-4d58-a51c-d33f0fc7876d	398	74	0	0	45	0	0	0
0176cf1d-0760-4769-a493-277f4bb7585e	301	94	58	144	169	114	48	47
0192d529-7340-45d8-a5f0-249cbb11ca19	269	192	0	0	275	0	0	0
01b0848c-ae36-4ade-a3da-d297b003c99f	0	252	545	467	162	352	234	0
01c8e465-2b4e-4519-bdef-c3ac06b43eeb	393	76	0	0	52	0	0	0
01dc6872-c623-11e3-bf01-24c6515278c0	310	188	59	0	115	0	0	0
