MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H
BP10MB[0]	0.70092544	0.49199530	0.00109294	0.02143271	0.04714087	0.01213415	0.16971255	0.02253854
BP10MB[1]	0.00064395	0.05918526	0.00365601	0.03682812	0.00420736	0.00012191	0.00000000	0.00213057
BP10MB[2]	0.00000347	0.03948948	0.00174129	0.04150003	0.01732384	0.00601572	0.06917287	0.00000000
BP10MB[3]	0.00000001	0.00103024	0.00608969	0.01966071	0.00684049	0.00023703	0.00129722	0.00066456
BP10MB[4]	0.00000000	0.00000000	0.00294172	0.01378563	0.00567711	0.00672200	0.01065213	0.00000000
BP10MB[5]	0.00000002	0.00000000	0.00323064	0.00547158	0.00231653	0.00127801	0.00013756	0.00110310
BP10MB[>5]	0.00000000	0.00000000	0.00687498	0.00055885	0.00400708	0.02096115	0.00008411	0.01242281
BPArm[0]	0.09957275	0.02081869	0.00036672	0.00105389	0.00244759	0.00030923	0.00693532	0.00100155
BPArm[1]	0.00187950	0.01239397	0.00000239	0.00001594	0.00003196	0.00000758	0.00000715	0.00034692
BPArm[2]	0.00237385	0.02249813	0.00000000	0.00000000	0.00105684	0.00000000	0.00477287	0.00000098
BPArm[3]	0.00000007	0.00814376	0.00001198	0.00073706	0.00007864	0.00000155	0.00086853	0.00005973
BPArm[4]	0.00000004	0.00868526	0.00000213	0.00019657	0.00175245	0.00000811	0.00679673	0.00000554
BPArm[5]	0.00000003	0.00366451	0.00008719	0.00241787	0.00015875	0.00000613	0.00098793	0.00002368
BPArm[6]	0.00000001	0.00311931	0.00009699	0.00136621	0.00138405	0.00008639	0.00505823	0.00001187
BPArm[7]	0.00000003	0.00161148	0.00017494	0.00274558	0.00019963	0.00002841	0.00079068	0.00009195
BPArm[8]	0.00000001	0.00075583	0.00032857	0.00189112	0.00141779	0.00006193	0.00306871	0.00000000
BPArm[9]	0.00000002	0.00029396	0.00045565	0.00201194	0.00048013	0.00006186	0.00077911	0.00003505
BPArm[10]	0.00000002	0.00010712	0.00020925	0.00194650	0.00089352	0.00015204	0.00194653	0.00000222
BPArm[>10 & <=20]	0.00000000	0.00000000	0.00196917	0.01002280	0.00216460	0.00197675	0.00356714	0.00026336
BPArm[>20 & <=30]	0.00000003	0.00000000	0.00133122	0.00140762	0.00026763	0.00199308	0.00008403	0.00050912
BPArm[>30]	0.00000008	0.00000000	0.00013333	0.00001824	0.00003451	0.00333631	0.00000000	0.00224641
CN[0]	0.00000217	0.00000977	0.00000909	0.00149009	0.00700992	0.00000000	0.03736776	0.00000001
CN[1]	0.00415145	0.00036497	0.00000000	0.00288180	0.14516270	0.00062441	0.02775446	0.00018708
CN[2]	0.04390253	0.01148119	0.00020742	0.02868618	0.17113104	0.06036732	0.08358147	0.00026101
CN[3]	0.00002540	0.03401914	0.00585364	0.10541638	0.00013492	0.10669388	0.00293388	0.00239710
CN[4]	0.00000000	0.00664029	0.11652803	0.01730975	0.00000000	0.02443959	0.00867718	0.00854143
CN[>4 & <=8]	0.00000000	0.00000000	0.13979325	0.00471611	0.00000000	0.00218602	0.01117217	0.06774896
CN[>8]	0.00000012	0.00000016	0.00000101	0.00000003	0.00000000	0.00000012	0.00000000	0.12312823
CNCP[0]	0.04251943	0.00000000	0.00000000	0.00003072	0.00000000	0.00000000	0.00036846	0.00000000
CNCP[1]	0.00000000	0.05063173	0.00981596	0.16778531	0.21507453	0.27501614	0.00601272	0.00076855
CNCP[2]	0.00000000	0.00170048	0.13133429	0.00368335	0.01325911	0.00295265	0.10195540	0.01648931
CNCP[3]	0.00000001	0.00000000	0.02777785	0.00710148	0.00000003	0.00004256	0.02964774	0.03214533
CNCP[4]	0.00000007	0.00000000	0.00931448	0.00254644	0.00000000	0.00000008	0.01261839	0.03220626
CNCP[>4 & <=8]	0.00000004	0.00000000	0.00003143	0.00277375	0.00000000	0.00000000	0.01184753	0.07375636
CNCP[>8]	0.00000018	0.00000015	0.00000000	0.00000007	0.00000014	0.00000000	0.00000002	0.05512574
